レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026020105010201,2026.2.1,日,東京,1東2,1,,未勝利,ダート,1400,,2,良,晴,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,リゾートライン,牡,3,506,+ 4,+ 4,8,48.0, ,103,10,57,,*,菅原明良,(美),伊坂重信,ドレフォン,ロードカナロア,,,1,12,1中5,初,新馬,ダ,1200,良,,荻野,57.0,,7,13.5,5,0.9,1,,,2,3,36.30,38.5,9,スローモーション
1,,2,キミガイチバンイイ,牡,3,478,- 2,- 2,13,266.5, , 92,14,57,,*,木幡巧也,(美),鈴木慎太,スズカコーズウェイ,ハービンジャー,ニアークティック系,ニアークティック系,9,28,4中9,初,新馬,ダ,1200,良,,菊沢,55.0,,10,94.6,14,3.9,13,,,6,7,35.70,40.8,15,サノノアルペン
2,,3,セーヌデローヴ,牡,3,448,+ 6,+ 6,10,56.8, ,101,11,54,▲,*,遠藤汰月,(美),黒岩陽一,ダノンキングリー,ヴィクトワールピサ,,ロイヤルチャージャー系,1,10,1中3,3,未勝利,芝,1600,良,,佐々,57.0,,6,32.6,5,0.9,6,,8,6,6,36.00,34.9,8,ディールメーカー
2,,4,グラスアロー,牡,3,494,+24,+24,15,382.4, , 91,15,54,▲,*,上里直汰,(美),菊川正達,イスラボニータ,Singspiel,,ニアークティック系,7,19,2福7,初,新馬,芝,1800,良,,木幡,55.0,,11,70.0,15,3.1,7,5,4,4,6,38.20,39.9,15,ザーフィル
3,,5,アイアンナックル,牡,3,454,+ 6,+ 6,7,27.7, ,109,5,57,,*,田辺裕信,(美),尾形和幸,ゴールドドリーム,サウスヴィグラス,,ネイティヴダンサー系,10,26,4東9,2,未勝利*,ダ,1400,不,,小林,56.0,,6,16.7,3,0.5,3,,,8,9,37.13,36.5,3,エスシーレイジュ
3,,6,ナックスプレンダー,牡,3,506,  0,0,3,5.3, ,110,3,57,,,吉田豊,(美),小野次郎,エスポワールシチー,アグネスタキオン,,ロイヤルチャージャー系,12,6,5中1,初,新馬,ダ,1200,良,,吉田,56.0,,8,15.7,2,0.4,6,,,9,8,36.90,36.6,1,トワイライトサイト
4,,7,シカゴキャッツ,牡,3,488,+ 4,+ 4,14,354.3, , 86,16,57,,*,原優介,(美),新開幸一,エスポワールシチー,ロードカナロア,,,11,16,3福4,初,新馬,ダ,1700,良,,石田,53.0,▲,14,114.9,15,6.5,14,6,6,8,9,37.96,43.8,15,ロンギングフォユー
4,,8,オダイ,牝,3,420,-14,-14,16,387.2, , 96,13,53,△,*,長浜鴻緒,(美),根本康広,フォーウィールドライブ,ネオユニヴァース,,ロイヤルチャージャー系,12,14,5中4,3,未勝利*,ダ,1200,稍,,野中,55.0,,9,54.7,9,1.2,4,,,8,8,35.00,39.1,9,ヴェネチアンキング
5,B,9,タイセイゴッシュ,牡,3,494,+18,+18,5,10.6, ,107,6,57,,*,キング,(美),池上昌和,アルアイン,ロードカナロア,,,10,19,4東7,連,未勝利*,ダ,1400,良,,原優,56.0,,6,18.6,3,0.8,3,,,7,6,36.90,37.9,2,リフレックス
5,,10,ケブランリ,牡,3,500,- 2,- 2,1,2.1, ,115,2,57,,*,ルメール,(美),加藤士津,ゴールドドリーム,"Forest Camp",,ニアークティック系,11,9,5東2,初,新馬,ダ,1600,稍,,プー,56.0,,3,6.9,2,0.3,8,,,3,3,37.14,37.4,4,ピースサイン
