レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092106040701,2026.9.21,月,中山,4中7,1,,未勝利,障害(直線ダ),2880,,,,,14,09:45,,定量,３上
1,,1,スノーキャップ,牡,2, , 88,13,55,,,柴田大知,(美),嘉藤貴行,フィレンツェファイア,ブラックタイド,,ロイヤルチャージャー系,9,6,4中2,2,未勝利*,芝,1200,稍,,柴田,55.0,,13,382.8,10,0.8,7,,,9,9,35.60,35.5,5,セイウンリリーナ
2,,2,ゴータマ,牡,2, , 93,12,55,,*,丹内祐次,(美),池上昌和,ディスクリートキャット,パイロ,,ナスルーラ系,8,9,2新6,初,新馬,芝,1200,良,,原優,55.0,,9,74.8,9,1.4,11,,,4,5,35.10,35.8,11,イスクメル
3,,3,ナナレイ,牝,2, , 87,14,55,,,丸山元気,(美),小野次郎,カリフォルニアクローム,ドリームジャーニー,,ロイヤルチャージャー系,6,20,3東5,初,新馬,芝,1600,稍,,丸山,55.0,,8,140.9,9,2.1,8,,,8,8,38.16,35.3,8,レッチュベルク
3,,4,スペシャルサンクス,牝,2, ,108,2,55,,,嶋田純次,(美),矢嶋大樹,フィレンツェファイア,フレンチデピュティ,,ニアークティック系,9,6,4中2,5,未勝利*,芝,1200,稍,,嶋田,55.0,,6,18.2,4,0.4,5,,,2,3,35.00,35.7,8,セイウンリリーナ
4,,5,ナリタライズ,牡,2, , 98,9,53,△,*,石田拓郎,(栗),高橋亮,イスラボニータ,ローエングリン,,ニアークティック系,9,5,4阪1,初,新馬,ダ,1400,稍,,田山,54.0,☆,3,6.6,12,4.6,8,,,9,8,36.38,41.3,11,デザートキャンドル
4,,6,ニシノタカオ,牡,2, ,101,7,55,,,野中悠太,(美),堀内岳志,セイウンコウセイ,ベーカバド,,ニアークティック系,8,1,2新3,初,新馬,芝,1400,良,,野中,55.0,,13,96.7,10,1.9,17,,,3,4,35.40,36.3,16,ボーデコール
5,,7,シジマ,牝,2, ,102,6,55,,*,三浦皇成,(美),池上昌和,アメリカンペイトリオット,コマンズ,,ニアークティック系,8,9,2新6,初,新馬,芝,1200,良,,岩田,55.0,,4,6.9,6,0.8,6,,,2,3,34.90,35.4,9,イスクメル
5,,8,バタフライ,牝,2, ,109,1,55,,,原田和真,(美),松山将樹,タワーオブロンドン,"Intense Focus",,ニアークティック系,8,29,2札3,3,未勝利・牝*,芝,1500,稍,,原田,55.0,,7,18.1,2,0.5,8,,1,1,1,35.73,36.9,4,タプティ
6,,9,ニシノムホウモノ,牡,2, ,101,7,55,,*,横山和生,(美),村田一誠,ビッグアーサー,ディープインパクト,,ロイヤルチャージャー系,8,29,3新3,初,新馬,芝,1400,良,,ミシ,55.0,,7,22.5,12,2.0,8,,,14,14,37.28,35.4,1,エクラドリオン
6,,10,ニシノアトール,牡,2, ,106,3,55,,,杉原誠人,(美),武市康男,ネロ,オルフェーヴル,,,8,1,2新3,初,新馬,芝,1400,良,,杉原,55.0,,6,14.0,12,2.1,11,,,1,1,35.03,37.0,18,ボーデコール
7,,11,ハミングリップス,牝,2, , 94,10,55,,*,菊沢一樹,(美),青木孝文,タワーオブロンドン,ディープインパクト,,ロイヤルチャージャー系,9,5,2札5,3,未勝利*,芝,1200,稍,,藤懸,55.0,,9,47.5,8,2.3,9,,,2,5,34.60,38.1,10,ミハテヌユメ
7,,12,ダンシングアワー,牝,2, , 94,10,55,,,小林脩斗,(美),室井潔,ディーマジェスティ,スマートボーイ,,ニアークティック系,7,5,2福4,初,新馬,芝,1200,良,,小林,55.0,,13,190.4,6,0.4,12,,,8,8,35.60,35.0,2,ピクニックマーチ
8,,13,トーセンルルド,牝,2, ,105,4,55,,*,佐々木大,(美),杉浦宏昭,ハイランドリール,"Red Runner",,,8,30,2札4,5,未勝利*,芝,1200,良,,武豊,55.0,,4,9.1,6,0.7,2,,,6,6,35.40,35.4,6,ギャルズマインド
8,,14,タワーウマザンマイ,牡,2, ,103,5,55,,,原優介,(美),青木孝文,タワーオブロンドン,ダイワメジャー,,ロイヤルチャージャー系,8,29,3新3,初,新馬,芝,1400,良,,原優,55.0,,8,40.2,15,2.6,5,,,2,2,35.55,38.3,18,エクラドリオン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092106040703,2026.9.21,月,中山,4中7,3,,未勝利,ダート,1200,,2,,,16,10:50,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ビスクヴィート,牡,2, , 92,9,55,,,内田博幸,(美),中舘英二,マインドユアビスケッツ,ダイワメジャー,,ロイヤルチャージャー系,8,29,3新3,4,未勝利*,芝,1600,良,,内田,55.0,,10,211.2,7,2.4,7,,,9,9,36.54,36.4,6,キムケンシーサー
2,,2,モミスケ,牡,2, , 90,10,54,☆,*,長浜鴻緒,(美),水野貴広,ビッグアーサー,ゼンノロブロイ,,ロイヤルチャージャー系,8,16,1札8,3,未勝利*,芝,1200,良,,小林,52.0,▲,4,8.1,8,5.9,1,,,8,8,36.60,39.7,8,タイフーンナイン
3,,3,ソウラスフロス,牡,2, ,107,3,55,,,三浦皇成,(美),金成貴史,フォーウィールドライブ,ディープインパクト,,ロイヤルチャージャー系,9,5,4中1,初,新馬,ダ,1200,重,,三浦,55.0,,4,8.0,9,2.9,7,,,2,3,34.00,40.2,14,ポッドビート
