レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091206040301,2026.9.12,土,中山,4中3,1,,未勝利,ダート,1800,,4,不(暫定),曇(暫定),16,09:45,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
5,,5,ヒズストーリー,牡,2,12,114.9, , 91,9,55,,*,小崎綾也,(美),中川公成,ダノンスマッシュ,ジョーカプチーノ,,ロイヤルチャージャー系,8,30,3新4,初,新馬,芝,1800,良,,嶋田,55.0,,10,130.5,8,2.8,9,,,7,8,38.05,35.7,7,チェスティーノ
5,,6,マーズワース,牝,2,5,7.0, , 94,8,55,,*,石橋脩,(美),小手川準,アドマイヤマーズ,フレンチデピュティ,,ニアークティック系,7,26,2新2,4,未勝利・牝*,芝,1400,良,,大野,55.0,,6,17.1,7,0.7,4,,,9,10,36.08,34.6,1,リリカルフレア
6,,7,コスモティタノ,牡,2,8,24.3, ,100,5,55,,,嶋田純次,(美),武市康男,ヘンリーバローズ,ヨハネスブルグ,,ニアークティック系,8,23,3新2,4,未勝利*,芝,1400,良,,嶋田,55.0,,10,196.3,4,1.3,11,,,5,5,35.48,35.7,5,ノーセット
6,B,8,アミノショコラ,牡,2,9,38.8, , 85,12,55,,,木幡巧也,(美),杉浦宏昭,ダノンスマッシュ,ハーツクライ,,ロイヤルチャージャー系,8,8,2新5,3,未勝利*,芝,1400,良,,木幡,55.0,,13,316.0,13,1.8,13,,,13,13,36.00,35.5,5,グルーヴェンス
7,,9,ヨドノプレミアム,牡,2,1,3.3, ,109,1,55,,,吉田豊,(美),菊川正達,ダノンプレミアム,グラスワンダー,,ロイヤルチャージャー系,8,16,2新8,初,新馬,芝,1600,良,,吉田,55.0,,9,78.8,3,0.6,13,,,1,1,36.36,34.3,7,トップレイアー
7,,10,アイファーマーリン,牡,2,3,5.5, ,108,2,55,,*,松岡正海,(美),蛯名利弘,サンライズノヴァ,ルーラーシップ,,ネイティヴダンサー系,8,22,3新1,初,新馬,芝,1600,良,,藤懸,55.0,,11,157.1,2,0.3,8,,,10,10,38.10,32.8,1,ジップスパーク
8,,11,スピカテソーロ,牡,2,4,6.7, ,105,3,55,,*,菊沢一樹,(美),伊藤圭三,エピファネイア,"Scat Daddy",,ニアークティック系,8,22,2札1,初,新馬,芝,1500,良,,丹内,55.0,,4,8.1,8,1.2,1,,7,8,12,36.47,36.3,8,ツキミ
8,,12,ビシット,牝,2,10,61.1, , 89,10,52,▲,,佐藤翔馬,(美),石栗龍彦,マカヒキ,ネオユニヴァース,,ロイヤルチャージャー系,9,6,4中2,初,新馬,芝,1600,稍,,佐藤,52.0,▲,15,232.6,13,3.9,15,,6,6,8,37.50,38.2,15,アイムオンアロール
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091206040303,2026.9.12,土,中山,4中3,3,,未勝利,ダート,1200,,2,不(暫定),曇(暫定),16,10:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ミクロスギガース,牝,3,11,15.8, ,110,8,55,,,杉原誠人,(美),西田雄一,シルバーステート,ロードカナロア,,,8,30,3新4,3,未勝利,芝,1400,良,,杉原,55.0,,8,27.5,4,0.2,8,,,9,7,35.10,35.6,3,ステキサプライズ
1,B,2,セイウンヤオヨロズ,牡,3,6,11.0, ,115,3,54,▲,,佐藤翔馬,(美),上原博之,セイウンコウセイ,Congrats,,ナスルーラ系,9,6,4中2,2,未勝利,ダ,1200,不,B,佐藤,54.0,▲,6,21.4,3,0.2,5,,,1,1,33.10,38.0,12,ロジザボード
2,,3,ジャメビュ,牝,3,3,7.6, ,110,8,55,,,原優介,(美),佐藤吉勝,ダノンレジェンド,ファスリエフ,,ニアークティック系,8,22,3新1,6,未勝利,ダ,1200,良,,原優,55.0,,4,10.8,2,0.7,3,,,5,5,36.30,36.8,1,ミスタートントン
2,,4,フレンチブラッサム,牝,3,2,7.6, , 96,14,53,◇,*,小林美駒,(美),柄崎将寿,ホッコータルマエ,ゴールドアリュール,,ロイヤルチャージャー系,8,29,2札3,2,未勝利,芝,1500,稍,,横山,55.0,,10,38.8,5,1.0,10,,3,3,3,34.93,37.9,6,ペカリーナ
3,,5,ツクバヴァンガード,牡,3,5,10.5, ,113,6,56,☆,,長浜鴻緒,(美),奥平雅士,リーチザクラウン,キャプテンスティーヴ,ロイヤルチャージャー系,その他のエクリプス系,9,6,2札6,3,未勝利,ダ,1700,稍,,長浜,56.0,☆,7,18.6,4,1.2,7,2,2,2,1,36.71,38.5,10,ヘイジュード
3,,6,スマートレイナ,牝,3,8,13.6, ,116,2,55,,*,斎藤新,(美),加藤征弘,イスラボニータ,"Tale of the Cat",,ニアークティック系,9,6,4中2,3,未勝利,ダ,1200,不,,ルメ,55.0,,1,2.8,5,0.5,9,,,2,2,33.20,38.2,13,ロジザボード
4,,7,チェストー,牡,3,15,51.4, ,104,12,57,,*,石橋脩,(美),高橋文雅,レッドファルクス,フリオーソ,,ロイヤルチャージャー系,7,16,浦和,6,ツイン,ダ,1400,良,,野畑,56.0,,--,,消,----,,,,,,,----,,ドリームファイター
4,B,8,ハングローズ,牝,3,1,5.7, ,114,4,55,,*,戸崎圭太,(美),奥村武,ドレフォン,キングカメハメハ,,ネイティヴダンサー系,9,6,4中2,4,未勝利,ダ,1200,不,B,岩田,55.0,,4,6.3,4,0.2,11,,,3,3,33.50,37.6,7,ロジザボード
5,,9,エリースノー,牝,3,9,14.4, ,117,1,55,,,津村明秀,(美),武市康男,サンダースノー,ケイムホーム,,ネイティヴダンサー系,8,29,3新3,4,未勝利,ダ,1200,稍,,津村,55.0,,2,4.0,2,0.3,2,,,3,3,35.90,37.2,1,ロンバスブレス
5,,10,ジーティーニッツァ,牡,3,10,15.8, ,113,6,54,▲,*,遠藤汰月,(美),伊藤伸一,ミスチヴィアスアレックス,ディープインパクト,,ロイヤルチャージャー系,8,23,3新2,3,未勝利,ダ,1200,良,,上里,54.0,▲,1,3.7,4,0.9,1,,,4,4,35.70,37.6,7,ミエスタ
6,B,11,トリエンナーレ,牝,3,14,32.3, ,109,10,53,△,,石神深道,(美),森一誠,マインドユアビスケッツ,クロフネ,,ニアークティック系,8,29,3新3,7,未勝利,ダ,1200,稍,B,石神,53.0,△,3,6.6,5,1.2,7,,,7,8,36.30,37.7,6,ロンバスブレス
6,,12,サワエ,牝,3,16,56.0, ,  0,,52,▲,,土田真翔,(美),加藤和宏,サトノクラウン,"More Than Ready",,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,13,エンジェルサン,牡,3,7,11.7, ,108,11,57,,,丹内祐次,(美),矢嶋大樹,ベンバトル,トーセンホマレボシ,,ロイヤルチャージャー系,9,6,2札6,4,未勝利,芝,1200,良,B,丹内,57.0,,8,16.3,4,0.5,2,,,4,3,34.10,35.8,11,メイショウテンジン
7,,14,ブルーダイヤシチー,牡,3,12,19.3, ,103,13,54,▲,*,上里直汰,(美),上原博之,エスポワールシチー,ロードカナロア,,,8,23,3新2,2,未勝利,ダ,1200,良,,佐藤,54.0,▲,7,16.0,5,1.0,6,,,7,7,35.90,37.5,5,ミエスタ
8,,15,ミッキーサウザンド,牡,3,4,8.3, ,114,4,57,,*,横山武史,(美),古賀大生,ミッキーアイル,キングカメハメハ,,ネイティヴダンサー系,8,23,3新2,9,未勝利,ダ,1200,良,B,津村,57.0,,2,4.8,3,0.8,7,,,1,1,35.10,38.1,12,ミエスタ
8,B,16,ポンテヴェッキオ,牡,3,13,29.5, , 92,15,57,,*,菊沢一樹,(美),栗田徹,フィレンツェファイア,キングカメハメハ,,ネイティヴダンサー系,4,26,1福6,18,未勝利・若,ダ,1700,良,,上里,54.0,▲,13,319.3,9,2.5,14,14,13,13,11,38.29,38.7,3,エリーニック
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091206040304,2026.9.12,土,中山,4中3,4,,未勝利,芝,2000,B,4,重(暫定),曇(暫定),18,11:20,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,クールチェンジ,牡,3,14,34.9, , 96,16,57,,*,武藤雅,(美),和田正一,ドレフォン,ディープインパクト,,ロイヤルチャージャー系,7,26,2新2,10,未勝利,芝,1600,稍,,コレ,57.0,,7,14.8,14,1.3,10,,,18,17,36.72,35.3,11,アドマイヤウルトラ
1,,2,ミナヅキ,牡,3,1,4.0, ,110,6,57,,*,石橋脩,(美),清水英克,ガルボ,アグネスデジタル,,ネイティヴダンサー系,8,16,1札8,3,未勝利,芝,2000,良,,西村,57.0,,3,4.8,6,0.8,5,1,1,1,1,36.26,36.6,9,ウイルソン
2,,3,シルバープレミア,牝,3,11,23.2, ,106,11,52,▲,,上里直汰,(美),西田雄一,ワールドプレミア,"Sea The Stars",,ニアークティック系,8,22,3新1,4,未勝利,芝,2000,良,,上里,52.0,▲,5,13.9,5,0.5,5,3,3,3,2,36.73,35.6,7,ワンダースアン
2,,4,カーヴドヴァン,牝,3,18,62.7, ,100,15,54,☆,*,長浜鴻緒,(美),大和田成,ロードカナロア,ダイワメジャー,,ロイヤルチャージャー系,7,26,2新2,9,未勝利,芝,1600,稍,,西村,55.0,,9,27.7,8,0.5,8,,,16,13,36.60,34.7,7,アドマイヤウルトラ
3,,5,モントーヤ,牡,3,12,30.5, ,101,13,57,,*,斎藤新,(美),浅利英明,インディチャンプ,ワークフォース,,ネイティヴダンサー系,8,2,2新4,26,未勝利,芝,1400,良,,小崎,57.0,,6,25.0,9,0.8,4,,,16,13,35.48,34.7,3,ノーブルクロンヌ
3,B,6,グランフルス,牡,3,6,13.9, ,108,9,55,◇,*,小林美駒,(美),矢野英一,イスラボニータ,コンデュイット,,ナスルーラ系,8,29,3新3,3,未勝利,芝,2000,稍,B,菊沢,57.0,,10,74.8,4,0.3,13,17,17,10,10,37.29,35.9,3,ピースフルマインド
4,,7,アンヴデット,牝,3,7,14.5, ,109,7,53,△,,石神深道,(美),高橋文雅,リアルスティール,"Not A Single Doubt",,,8,29,3新3,8,未勝利,芝,2200,稍,,石神,53.0,△,7,17.6,5,0.2,2,6,6,6,5,37.69,36.0,3,ヤマメホープ
4,,8,ヤマニンリンキング,牡,3,10,19.5, ,118,2,57,,,大野拓弥,(美),辻哲英,ディーマジェスティ,ダイワメジャー,,ロイヤルチャージャー系,8,29,3新3,3,未勝利,芝,2000,稍,,大野,57.0,,4,14.3,2,0.2,4,5,6,5,5,37.16,36.1,6,ピースフルマインド
5,,9,タイキヴィグルーズ,牡,3,17,52.1, , 92,17,57,,,丸田恭介,(美),大竹正博,ハービンジャー,オルフェーヴル,ニアークティック系,,8,2,2新4,7,未勝利,芝,2200,良,,丸田,57.0,,13,188.6,9,1.5,13,7,7,7,7,36.75,36.0,9,クイーンズレイン
5,,10,ジェイエルグリーン,牝,3,13,33.0, ,108,9,55,,,原優介,(美),平岩大典,アニマルキングダム,バゴ,,ナスルーラ系,9,6,4中2,4,未勝利,芝,2000,重,,原優,55.0,,15,155.8,2,0.2,18,4,3,4,2,37.41,37.3,5,カテドラルクォーツ
6,,11,エリュグレイス,牝,3,2,7.6, ,118,2,55,,,戸崎圭太,(美),和田勇介,エピファネイア,ノヴェリスト,,その他のエクリプス系,8,29,3新3,21,未勝利,芝,2000,稍,,戸崎,55.0,,3,8.2,5,0.3,14,15,14,2,2,37.07,36.4,9,ピースフルマインド
6,,12,ナイトバード,牡,3,5,10.0, ,119,1,57,,,菊沢一樹,(美),中舘英二,キズナ,ジャスタウェイ,,,8,22,3新1,3,未勝利,芝,2000,良,,菊沢,57.0,,2,3.6,2,0.2,3,5,6,6,5,36.81,35.1,2,ワンダースアン
7,,13,コスモアルペジオ,牡,3,9,15.8, ,116,4,57,,*,丹内祐次,(美),鹿戸雄一,ゴールドシップ,Australia,,,8,29,3新3,7,未勝利,芝,2000,稍,,石橋,57.0,,5,21.4,3,0.3,11,8,8,5,5,37.16,36.2,7,ピースフルマインド
7,,14,ウインスターリング,牡,3,8,15.3, ,109,7,57,,,ミシェル,(美),畠山吉宏,シルバーステート,アドマイヤコジーン,,ナスルーラ系,9,6,4中2,14,未勝利,芝,2000,重,,ミシ,57.0,,9,37.6,4,0.5,5,8,7,6,4,37.50,37.4,6,カテドラルクォーツ
7,B,15,イーガービーバー,牡,3,15,35.5, ,101,13,57,,*,横山琉人,(美),和田正一,トランセンド,スペシャルウィーク,ニアークティック系,ロイヤルチャージャー系,7,26,2新2,9,未勝利,芝,1600,稍,B,田口,57.0,,8,25.3,9,0.5,9,,,12,13,36.66,34.6,5,アドマイヤウルトラ
8,,16,ヒシナスキロ,牝,3,3,7.6, ,112,5,55,,*,三浦皇成,(美),堀宣行,コントレイル,"Tiz Wonderful",,マンノウォー系,6,21,1函4,5,未勝利,芝,1800,良,,丹内,55.0,,1,3.3,8,0.3,2,3,3,4,4,36.30,36.0,11,ベアサナエチャン
8,,17,シェンロン,牡,3,4,9.6, ,  0,,57,,,内田博幸,(美),尾関知人,"Bricks and Mortar","More Than Ready",,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,18,ベルバード,牝,3,16,51.4, ,102,12,55,,*,川須栄彦,(美),武井亮,スワーヴリチャード,シンボリクリスエス,,ロイヤルチャージャー系,8,2,2新4,12,未勝利,芝,1400,良,,上里,52.0,▲,11,42.0,6,0.5,12,,,7,7,34.88,35.2,9,ノーブルクロンヌ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091206040305,2026.9.12,土,中山,4中3,5,,新馬,芝,1600,B,3,重(暫定),曇(暫定),16,12:10,,馬齢,２歳
