レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062002010301,2026.6.20,土,函館,1函3,1,,未勝利,芝,1200,A,2,良(暫定),曇(暫定),16,9:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ナオミニオールイン,牝,3,3,4.8, ,101,10,55,,*,北村友一,(栗),佐藤悠太,シルバーステート,Eltish,,ロイヤルチャージャー系,4,2,笠松,12,太田宿,ダ,1400,稍,,永島,53,◇,2,,7,5,,5,4,5,7,,----,,クリノセーラーマン
1,B,2,チョウブク,牡,3,6,18, ,96,14,54,▲,,石田拓郎,(美),新開幸一,パドトロワ,Gleneagles,,,3,22,2中8,5,未勝利,ダ,1200,良,,石田,54,▲,7,22.4,13,3.2,5,,,10,11,35.9,39.1,10,マダックス
2,,3,ミルトメロディー,牝,3,5,17.9, ,107,4,51,★,,河原田菜,(美),青木孝文,インディチャンプ,アイルハヴアナザー,,ネイティヴダンサー系,6,14,1函2,4,未勝利,芝,1200,良,,河原,51,★,6,12.8,5,0.5,1,,,4,4,34.2,34.8,9,カガラプンツェル
2,,4,ハッピーローヴァー,牝,3,1,3.3, ,120,1,55,,*,武豊,(栗),渡辺薫彦,リアルスティール,キンシャサノキセキ,,ロイヤルチャージャー系,4,26,1福6,9,未勝利,芝,1200,良,,幸英,55,,3,5,2,0,4,,,4,2,34.9,34.5,3,ララアルカー
3,,5,ブルーハーツ,牡,3,15,84.9, ,104,7,57,,*,吉田隼人,(美),勢司和浩,エポカドーロ,ネオユニヴァース,,ロイヤルチャージャー系,4,25,1福5,2,未勝利,芝,1200,良,,武藤,57,,7,26.5,7,1.1,15,,,12,11,35.1,34.7,3,フィラーエ
3,B,6,テイクマイハート,牝,3,13,67.5, ,102,8,55,,*,池添謙一,(栗),森田直行,サートゥルナーリア,スウェプトオーヴァーボード,,ネイティヴダンサー系,4,23,名古,6,名古屋,ダ,1500,不,,小崎,55,,1,,4,2.7,,1,1,1,3,,----,,マイコンチェルト
4,,7,メーテルリンク,牝,3,12,65, ,95,15,54,☆,*,長浜鴻緒,(美),深山雅史,ブリックスアンドモルタル,リーチザクラウン,,ロイヤルチャージャー系,4,19,1福4,9,未勝利,芝,1200,良,,石神,52,▲,11,48.8,8,0.6,8,,,11,10,35,34,1,リラベガ
4,,8,ブラックジャック,牡,3,9,32.6, ,102,8,54,▲,*,小林美駒,(栗),須貝尚介,ダノンスマッシュ,ジャイアントレッカー,,ニアークティック系,3,22,1名4,16,未勝利,芝,1600,良,,横山,57,,5,12.4,9,1.1,9,,7,11,11,36,35,6,エンヴェロップ
5,,9,クリオロゴールド,牡,3,2,4.1, ,109,3,57,,,横山武史,(美),高柳瑞樹,ロードカナロア,オルフェーヴル,,,4,18,3中7,2,未勝利,ダ,1200,良,,横山,57,,1,1.9,6,0.9,1,,,4,4,35.7,37.5,8,ベアゴーフォー
