レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026020810010601,2026.2.8,日,小倉,1小6,1,,未勝利,ダート,1700,,4,良,曇,16,09:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,モズジェネラル,牡,3,498,- 4,- 4,4,8.5, ,110,1,57,,*,松本大輝,(栗),田中克典,モズアスコット,"Uncle Mo",,ナスルーラ系,1,25,1京9,7,未勝利,ダ,1400,良,,高杉,57.0,,3,7.3,4,0.6,2,,,1,1,38.18,37.3,6,ワイドグンサ
1,,2,ノリノドラゴン,牡,3,448,- 4,- 4,6,10.8, , 93,12,57,,*,富田暁,(栗),荒川義之,ホッコータルマエ,ストロングリターン,,,11,9,4京2,3,未勝利*,ダ,1400,稍,,城戸,56.0,,7,19.0,9,1.0,6,,,13,12,36.98,37.7,2,ムテキシャチョウ
2,,3,ユイノサダハル,牡,3,464,- 4,- 4,7,12.3, ,103,4,57,,*,長岡禎仁,(美),古賀慎明,キセキ,フォーティナイナーズサン,,ネイティヴダンサー系,1,12,1中5,3,未勝利,ダ,1800,良,,江田,57.0,,8,13.0,6,1.2,7,6,7,6,6,38.30,40.8,7,ジェイエルモーダル
2,,4,シャープインサイト,牡,3,430,- 4,- 4,12,42.9, , 91,13,57,,*,角田大和,(栗),東田明士,サンダースノー,ノヴェリスト,,その他のエクリプス系,11,23,4京6,2,未勝利*,ダ,1400,良,,高杉,56.0,,8,40.0,12,3.2,4,,,9,9,36.15,40.0,11,ホットシート
3,,5,レッツエンジョイ,牡,3,526,  0,0,5,9.2, ,102,6,54,▲,,田山旺佑,(栗),石坂公一,シュヴァルグラン,"Carpe Diem",,,12,7,5阪2,2,未勝利*,ダ,1400,良,,田山,53.0,▲,10,34.3,5,0.8,4,,,1,2,35.85,38.7,6,ジョアン
3,,6,オーパパ,牡,3,482,- 4,- 4,10,17.4, , 96,9,57,,*,斎藤新,(美),斎藤誠,アメリカンペイトリオット,エピファネイア,,,1,4,1中1,9,未勝利,ダ,1800,稍,,横山,57.0,,4,9.9,11,3.9,5,2,4,6,9,37.45,44.2,12,サトノリシャール
4,,7,ロンバルドシチー,牡,3,450,  0,0,11,21.4, ,105,3,57,,*,松若風馬,(栗),西園翔太,ルヴァンスレーヴ,ルーラーシップ,,ネイティヴダンサー系,1,11,1京4,3,未勝利,ダ,1800,良,,高杉,57.0,,9,66.9,5,1.6,7,2,2,2,2,38.70,39.1,9,キタノシャカール
4,,8,バケラッタ,牡,3,472,- 4,- 4,3,6.0, ,103,4,57,,,鮫島克駿,(栗),河嶋宏樹,ホッコータルマエ,スズカマンボ,,ロイヤルチャージャー系,1,25,1京9,2,未勝利,ダ,1800,良,,鮫島,57.0,,7,31.9,5,0.5,6,6,6,4,4,39.40,37.8,5,ロックバンド
5,,9,シュトルムカイザー,セ,3,470,-18,-18,13,90.3, , 84,16,57,,,国分恭介,(栗),野中賢二,クリソベリル,サウスヴィグラス,,ネイティヴダンサー系,1,4,1京1,4,未勝利,ダ,1200,良,B,国分,57.0,,14,172.7,15,1.9,10,,,15,16,37.70,37.4,9,リーグナイト
