レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010501,2026.4.25,土,福島,1福5,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ヒカ,牝,3,15,138.4, , 83,14,52,▲,*,和田陽希,(栗),飯田祐史,クリソベリル,サウスヴィグラス,,ネイティヴダンサー系,1,24,1京8,初,新馬,ダ,1800,良,,太宰,55.0,,16,164.2,15,2.5,11,12,12,15,15,40.25,39.1,14,ホーナー
2,,2,エイユーサクラ,牝,3,5,8.1, ,104,5,55,,*,横山琉人,(栗),高橋義忠,ダノンレジェンド,サクラバクシンオー,,ナスルーラ系,12,21,5名6,初,新馬,ダ,1400,稍,,秋山,55.0,,8,19.4,7,1.4,12,,,1,1,36.38,38.9,11,ペルセポネ
2,,3,サイモンセレーノ,牝,3,8,33.8, , 97,8,52,▲,*,石神深道,(美),勢司和浩,カリフォルニアクローム,ディープインパクト,,ロイヤルチャージャー系,2,1,1東2,6,未勝利・牝,ダ,1600,良,,木幡,55.0,,11,137.2,8,2.0,14,,,13,13,37.50,38.5,6,ジュワネング
3,,4,サツキマーメイド,牝,3,13,76.5, , 88,11,55,,,菅原隆一,(美),石栗龍彦,ビーチパトロール,アーネストリー,,ロイヤルチャージャー系,2,7,1東3,初,新馬,芝,1800,良,,菅原,55.0,,16,179.5,15,2.0,14,,2,1,1,37.35,36.8,15,ベルウッドクレド
3,,5,ゴールドドレッサ,牝,3,2,4.8, ,105,4,52,▲,,石田拓郎,(美),中川公成,ゴールドドリーム,エンパイアメーカー,,ネイティヴダンサー系,4,4,3中3,2,未勝利,ダ,1800,稍,,石田,52.0,▲,9,45.9,3,1.1,12,4,5,3,3,37.90,39.4,2,アオハルブルース
4,,6,エイシンキーンラン,牝,3,1,3.8, ,109,2,55,,*,菊沢一樹,(美),田中剛,エイシンヒカリ,ジャスタウェイ,,,4,12,1福2,9,未勝利,ダ,1700,良,,永島,53.0,◇,7,32.8,3,1.6,11,2,2,2,2,36.55,40.3,7,イサチルシーキング
4,,7,ノヴェルカフナ,牝,3,10,36.7, , 85,13,52,▲,*,小林美駒,(美),秋本大介,スマートオーディン,スペシャルウィーク,,ロイヤルチャージャー系,2,22,1東8,9,未勝利,芝,1800,良,,遠藤,52.0,▲,15,546.1,15,2.4,16,,15,13,13,37.60,34.9,13,マイネルグレート
5,,8,レインボーワールド,牝,3,11,42.8, ,  0,,55,,,野中悠太,(美),畠山吉宏,トゥザワールド,トーセンラー,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,ロジマギー,牝,3,3,4.9, ,112,1,55,,,丸山元気,(美),宮田敬介,ハービンジャー,ハーツクライ,ニアークティック系,ロイヤルチャージャー系,3,1,2中2,8,未勝利・牝,ダ,1800,稍,,丸山,55.0,,5,8.1,3,0.6,3,2,2,2,2,37.40,41.0,5,ピュアエンブレム
6,,10,ホテルストリート,牝,3,4,5.6, ,108,3,55,,,丹内祐次,(美),伊藤大士,オルフェーヴル,ヨハネスブルグ,,ニアークティック系,4,12,1福2,9,未勝利・牝,ダ,1700,良,,丹内,55.0,,2,5.1,5,0.9,3,10,9,8,8,38.18,38.6,2,エアトベーレ
6,,11,メイショウサザナミ,牝,3,12,49.6, , 93,9,52,▲,*,遠藤汰月,(栗),本田優,マジェスティックウォリアー,リオンディーズ,,,2,14,2京5,初,新馬,ダ,1800,稍,,太宰,55.0,,11,59.0,13,7.9,9,10,11,9,10,39.10,45.0,13,リアンドゥクール
7,,12,チカマヨルキーナ,牝,3,9,34.0, ,101,6,55,,*,松本大輝,(栗),藤岡健一,ナダル,ハーツクライ,,ロイヤルチャージャー系,2,28,1小B,2,未勝利・牝,ダ,1700,不,,舟山,52.0,▲,5,11.2,11,2.8,10,10,8,6,10,37.31,39.6,11,フレットローソ
7,,13,ピンクカメリア,牝,3,14,84.4, , 87,12,55,,*,川又賢治,(栗),笹田和秀,リアルスティール,ノヴェリスト,,その他のエクリプス系,1,25,1小2,初,新馬,芝,1200,良,,河原,51.0,★,16,137.7,14,2.1,4,,,13,13,35.50,35.0,11,エンプレスケー
8,,14,タイセイパフューム,牝,3,7,22.0, , 90,10,53,◇,*,古川奈穂,(栗),牧浦充徳,マインドユアビスケッツ,ジャスタウェイ,,,2,22,1阪2,2,未勝利・牝,ダ,1800,良,,小崎,55.0,,9,99.3,8,2.8,6,4,3,4,5,38.70,40.3,9,アーネストアイズ
8,,15,シュヴェスター,牝,3,6,14.1, , 98,7,55,,*,長岡禎仁,(栗),高橋亮,シニスターミニスター,Aldebaran,ナスルーラ系,ネイティヴダンサー系,2,21,1阪1,19,未勝利・牝,ダ,1200,良,,松山,55.0,,6,10.0,13,1.2,8,,,5,6,36.40,39.0,14,コマチチャン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010502,2026.4.25,土,福島,1福5,2,,未勝利,芝,1200,B,2,良(暫定),晴(暫定),16,10:15,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,フェブリノ,牝,3,3,9.7, , 91,11,55,,*,小沢大仁,(栗),加藤公太,マクフィ,ヨハネスブルグ,,ニアークティック系,2,21,1小9,4,未勝利,芝,1800,良,,国分,55.0,,10,50.8,8,0.9,6,7,7,7,9,37.05,36.1,9,レッドラージャ
1,,2,ブルーハーツ,牡,3,6,26.0, ,111,2,57,,*,武藤雅,(美),勢司和浩,エポカドーロ,ネオユニヴァース,,ロイヤルチャージャー系,4,12,1福2,9,未勝利,芝,1200,良,,菊沢,57.0,,5,12.8,4,0.5,14,,,12,10,35.00,34.8,2,タガノアルブラック
2,,3,ジョーヌミモザ,牝,3,15,100.8, , 95,8,52,▲,*,大久保友,(美),小野次郎,ノーブルミッション,アドマイヤムーン,,ネイティヴダンサー系,1,25,1中9,初,未勝利,芝,1600,良,,吉田,55.0,,11,132.8,8,2.0,11,,11,7,8,35.16,36.7,7,ナイスプレーアスク
2,,4,フクオトコ,牡,3,1,1.6, ,119,1,57,,,菊沢一樹,(美),菊沢隆徳,フィエールマン,キンシャサノキセキ,,ロイヤルチャージャー系,2,22,1小A,4,未勝利,芝,1200,良,,菊沢,57.0,,1,3.5,3,0.7,3,,,6,7,33.70,34.9,3,ロジケープ
3,,5,ブレッティレディ,牝,3,13,77.7, ,103,4,55,,,横山琉人,(栗),高橋一哉,シュヴァルグラン,ディープブリランテ,,ロイヤルチャージャー系,2,28,1小B,9,未勝利,芝,1200,稍,,横山,55.0,,11,56.1,7,0.5,12,,,11,10,35.00,35.4,4,ダブルチャレンジ
3,,6,セイウンプーパ,牝,3,14,86.1, , 94,9,52,▲,*,遠藤汰月,(美),奥平雅士,キタサンブラック,"Soldier Hollow",,,2,28,1小B,11,未勝利,芝,1200,稍,,古川,52.0,▲,15,129.7,11,0.9,18,,,5,4,34.30,36.5,15,ダブルチャレンジ
4,,7,ケイツースクード,牡,3,16,131.6, , 87,14,54,▲,,上里直汰,(美),萱野浩二,ダノンスマッシュ,ヴィクトワールピサ,,ロイヤルチャージャー系,2,7,1東3,6,未勝利,芝,1600,良,,上里,54.0,▲,16,381.3,14,1.2,14,,,7,5,36.42,35.4,14,ターンザテーブルス
4,,8,ウィズアツインクル,牡,3,2,5.2, ,108,3,57,,*,富田暁,(美),牧光二,ダノンバラード,サクラバクシンオー,,ナスルーラ系,4,11,3中5,6,未勝利,芝,1600,良,,石橋,57.0,,10,52.4,3,0.4,7,,1,1,1,35.76,35.4,10,シヴィータス
5,,9,ジューンスマッシュ,牡,3,10,52.6, , 92,10,57,,*,本田正重,(栗),杉山佳明,ダノンスマッシュ,カンパニー,,ナスルーラ系,1,12,1京5,3,未勝利,芝,1400,良,,西村,57.0,,15,145.2,12,1.1,14,,,17,17,35.93,35.4,3,ケールハイム
5,,10,エンチャンテッド,牝,3,11,55.7, , 87,14,53,◇,*,今村聖奈,(美),佐藤吉勝,ミスターメロディ,マンハッタンカフェ,,ロイヤルチャージャー系,2,21,1小9,11,未勝利・牝,芝,1200,良,,河原,51.0,★,18,349.0,17,1.6,16,,,5,4,34.20,36.2,18,ムーンリットアイル
6,,11,フィラーエ,牝,3,4,12.3, , 99,7,55,,*,国分恭介,(栗),高橋康之,ノーブルミッション,キングヘイロー,,ニアークティック系,2,21,1小9,8,未勝利,芝,1800,良,,斎藤,55.0,,7,13.5,7,0.9,13,4,4,4,3,36.90,36.4,12,レッドラージャ
6,,12,ナデシコザクラ,牝,3,7,26.6, , 91,11,52,▲,*,小林美駒,(栗),秋山真一,ビーチパトロール,アドマイヤジャパン,,ロイヤルチャージャー系,2,21,1阪1,2,未勝利・牝,ダ,1200,良,,菱田,55.0,,13,71.2,12,1.2,11,,,7,6,36.50,38.9,13,コマチチャン
7,,13,エクスペクタント,牡,3,9,34.3, ,102,6,54,▲,,和田陽希,(栗),西園翔太,ミッキーアイル,"Mr. Greeley",,ネイティヴダンサー系,4,11,1福1,22,未勝利,芝,1200,良,,和田,54.0,▲,9,38.5,4,0.9,11,,,4,5,34.50,35.0,8,デンプシー
7,,14,アヴァンフライト,牝,3,8,33.6, , 90,13,52,▲,*,石田拓郎,(美),上原佑紀,パドトロワ,Flatter,,ナスルーラ系,1,31,1小3,6,未勝利,ダ,1000,良,,小林,52.0,▲,7,33.8,14,2.8,13,,,12,14,36.15,37.6,13,ウーマンズパワー
8,B,15,バッカス,牡,3,12,76.4, , 86,16,57,,*,斎藤新,(栗),長谷川浩,レッドファルクス,ロージズインメイ,,ロイヤルチャージャー系,1,10,1京3,初,新馬,ダ,1400,良,,吉村,57.0,,12,56.8,14,4.4,1,,,15,15,37.88,39.1,13,ビービークローサー
8,,16,シルバーアックス,牡,3,5,18.3, ,103,4,55,△,*,舟山瑠泉,(美),村田一誠,シスキン,ディープインパクト,,ロイヤルチャージャー系,4,11,1福1,9,未勝利,ダ,1150,良,,松岡,57.0,,9,40.3,5,0.6,11,,,3,3,34.91,38.0,11,ベルゼビュート
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010503,2026.4.25,土,福島,1福5,3,,未勝利,芝,2000,B,4,良(暫定),晴(暫定),16,10:45,牝,馬齢,３歳
