レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026072501010101,2026.7.25,土,札幌,1札1,1,,未勝利,ダート,1000,,2,良(暫定),晴(暫定),12,10:00,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,カプリースカラー,牝,3,4,9.2, ,101,3,55,,*,丹内祐次,(美),金成貴史,ホークビル,ジャングルポケット,,ナスルーラ系,7,5,1函8,7,未勝利,ダ,1000,良,,鷲頭,53.0,△,8,51.3,4,1.1,4,,,10,9,36.30,36.5,2,グレイトソン
2,B,2,テイクマイハート,牝,3,7,25.9, , 97,6,55,,*,池添謙一,(栗),森田直行,サートゥルナーリア,スウェプトオーヴァーボード,,ネイティヴダンサー系,7,11,1函9,3,未勝利,芝,1200,稍,B,長浜,54.0,☆,10,25.3,10,1.1,14,,,7,7,34.30,35.9,12,アルサック
3,,3,カッサンドラ,牝,3,1,1.5, ,115,1,55,,,横山琉人,(栗),高橋義忠,インディチャンプ,ファンタスティックライト,,ナスルーラ系,7,5,1函8,2,未勝利,ダ,1000,良,,横山,55.0,,2,4.9,2,0.7,3,,,3,5,35.10,36.9,4,グレイトソン
4,,4,クリコイーコ,牝,3,8,28.5, , 97,6,55,,*,吉田隼人,(栗),荒川義之,ディーマジェスティ,キングカメハメハ,,ネイティヴダンサー系,7,12,1函A,6,未勝利,ダ,1000,不,,河原,51.0,★,8,61.6,7,0.5,10,,,8,8,35.40,35.4,4,ビタミンドロップ
5,B,5,アイビーミャーオ,牝,3,3,6.8, , 98,4,54,☆,*,舟山瑠泉,(栗),小林真也,フォーウィールドライブ,キングヘイロー,,ニアークティック系,6,27,1函5,4,未勝利・牝,ダ,1000,不,B,松本,55.0,,4,6.8,11,1.7,4,,,5,6,34.95,36.2,10,マリブサーフ
6,,6,ロングフルスペック,牝,3,5,16.4, , 98,4,55,,,古川吉洋,(栗),大根田裕,フォーウィールドライブ,アドマイヤムーン,,ネイティヴダンサー系,6,27,1函5,11,未勝利・牝,ダ,1000,不,,古川,55.0,,10,36.4,6,1.4,7,,,12,10,36.30,35.0,2,マリブサーフ
7,,7,カレンココナ,牝,3,2,6.6, ,102,2,52,▲,*,小林美駒,(栗),小林真也,カレンブラックヒル,トーセンホマレボシ,,ロイヤルチャージャー系,6,27,1函5,18,未勝利・牝,ダ,1000,不,,斎藤,55.0,,6,13.0,9,1.5,10,,,2,3,34.65,36.2,10,マリブサーフ
8,B,8,レヴヴィ,牝,3,6,17.4, , 92,8,55,,*,松本大輝,(栗),新谷功一,"Good Magic","Majestic Warrior",,ナスルーラ系,6,13,3阪3,11,未勝利,芝,1600,良,,吉村,55.0,,13,256.7,17,2.3,14,,,5,6,36.42,35.8,18,フェルギナス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026072501010102,2026.7.25,土,札幌,1札1,2,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,10:30,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サノノベリー,牝,2,6,9.9, ,105,6,54,☆,,舟山瑠泉,(美),天間昭一,グレーターロンドン,"Macho Uno",,その他のエクリプス系,7,11,1函9,初,新馬,芝,1200,稍,,舟山,54.0,☆,9,40.7,3,1.4,5,,,3,3,35.30,35.4,3,フレイコン
2,,2,ヴィヴィアンリーチ,牝,2,1,3.5, ,108,5,52,▲,,小林美駒,(栗),東田明士,タワーオブロンドン,トーセンジョーダン,,,6,13,1函1,初,新馬,芝,1200,稍,,小林,52.0,▲,5,7.8,4,0.4,5,,,8,7,34.60,35.2,4,ダイメイビッグボス
3,,3,テイクケア,牝,2,7,22.7, , 95,8,55,,,横山琉人,(美),和田正一,ジャンダルム,ヘニーヒューズ,ロイヤルチャージャー系,,7,4,1函7,3,未勝利・牝*,芝,1200,良,,横山,55.0,,7,46.2,5,0.9,7,,,5,5,34.80,34.9,5,ショウナンカノア
