レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020301,2026.3.7,土,中山,2中3,1,,未勝利,ダート,1200,,2,,,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
3,,5,ダンシングアウェイ,牡,3, ,107,2,57,,,津村明秀,(美),相沢郁,ジャスタウェイ,ルーラーシップ,,ネイティヴダンサー系,2,15,1東6,3,未勝利,ダ,2100,良,,津村,57.0,,6,15.5,4,1.4,6,7,11,3,3,38.64,39.4,7,エクセルクラウン
4,,6,サクセスドラム,牡,3, ,  0,,57,,,菊沢一樹,(美),高柳瑞樹,ディスクリートキャット,キングカメハメハ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,エタンセル,牡,3, ,110,1,57,,*,丹内祐次,(美),高木登,ブリックスアンドモルタル,ディープインパクト,,ロイヤルチャージャー系,2,15,1東6,初,新馬,ダ,1600,良,,菅原,57.0,,10,56.4,3,0.3,5,,,2,2,37.14,38.2,7,タイセイジェイド
5,,8,ロイヤルヤマト,牡,3, , 93,12,54,▲,,佐藤翔馬,(美),伊藤圭三,フィエールマン,ハービンジャー,,ニアークティック系,1,24,1中8,6,未勝利,芝,2200,良,,佐藤,54.0,▲,12,116.3,14,1.4,9,16,16,14,15,36.45,36.2,6,ミッキーファルコン
5,,9,ミアルーチェ,牝,3, ,104,3,52,▲,*,上里直汰,(美),加藤士津,ルーラーシップ,マリエンバード,ネイティヴダンサー系,ニアークティック系,2,14,1東5,初,新馬,ダ,1400,良,,北村,55.0,,6,12.8,8,2.0,4,,,8,10,38.10,38.2,9,ノースブルースカイ
6,B,10,エリーニック,牝,3, , 94,11,55,,*,大野拓弥,(美),千葉直人,タリスマニック,アルデバラン2,,ネイティヴダンサー系,2,22,1阪2,9,未勝利,芝,2000,良,,菱田,55.0,,7,40.7,13,3.3,8,2,3,3,3,36.47,38.3,13,ロングトールサリー
6,,11,ブルースパーダ,牡,3, ,101,6,57,,*,松岡正海,(美),矢野英一,ゴールドドリーム,ボーナスフィーバー,,ネイティヴダンサー系,3,1,2中2,3,未勝利,ダ,1800,稍,,原優,57.0,,9,55.3,12,2.3,9,12,14,7,4,38.15,41.0,14,アトラステソーロ
7,B,12,ライヴジントニック,牡,3, , 97,8,54,▲,*,舟山瑠泉,(美),尾形和幸,ホッコータルマエ,ゼンノロブロイ,,ロイヤルチャージャー系,2,21,1東7,初,新馬,ダ,1600,良,,上里,54.0,▲,11,140.6,11,2.6,12,,,13,12,37.74,38.8,7,ナムラダリア
7,,13,ソルテソーロ,牡,3, , 91,13,57,,,石川裕紀,(美),西田雄一,シャンハイボビー,ディープインパクト,,ロイヤルチャージャー系,12,21,5中6,初,新馬,ダ,1200,重,,石川,56.0,,9,27.0,14,4.2,11,,,14,14,38.40,38.1,10,ファンシーズ
8,,14,マッキュラシオン,牡,3, ,103,4,57,,,原優介,(美),武市康男,イスラボニータ,ハーツクライ,,ロイヤルチャージャー系,2,15,1東6,12,未勝利,芝,1800,良,,原優,57.0,,10,65.6,10,1.2,8,,6,2,2,36.75,35.5,14,ナックホワイト
8,,15,インスウィング,セ,3, , 98,7,57,,*,小林脩斗,(美),青木孝文,アメリカンペイトリオット,ステイゴールド,,ロイヤルチャージャー系,2,25,佐賀,7,グリー,ダ,1400,不,,丹内,56.0,,2,,2,0.1,,7,6,5,5,,----,,サイオウガウマ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020303,2026.3.7,土,中山,2中3,3,,未勝利,ダート,1200,,2,,,16,11:05,,馬齢,３歳
