レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026032206020801,2026.3.22,日,中山,2中8,1,,未勝利,ダート,1200,,2,良,晴,16,09:55,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,バル,牡,3,514,+ 2,+ 2,8,54.2, ,107,4,57,,*,菊沢一樹,(美),武市康男,マテラスカイ,スペシャルウィーク,,ロイヤルチャージャー系,1,25,1中9,3,未勝利,ダ,1200,良,,柴田,57.0,,3,15.3,10,2.2,6,,,4,4,34.60,40.5,13,サトノエスケープ
1,,2,シュートザムーン,牡,3,416,- 2,- 2,14,479.1, , 94,9,57,,*,野中悠太,(美),伊藤伸一,サトノジェネシス,クリーンエコロジー,,,2,10,1東4,7,未勝利,ダ,1400,稍,,原優,57.0,,11,135.0,12,2.5,11,,,3,4,38.40,38.8,13,ベアハンドキャッチ
2,,3,テルケンレンタッチ,牡,3,522,,,11,246.3, ,  0,,57,,,木幡育也,(美),勢司和浩,エスケンデレヤ,ドゥラメンテ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,デスサイズ,牡,3,462,+ 2,+ 2,1,1.7, ,123,1,57,,,石川裕紀,(美),小手川準,シスキン,ステイゴールド,,ロイヤルチャージャー系,2,28,2中1,4,未勝利,ダ,1200,重,,石川,57.0,,2,4.1,2,0.4,2,,,2,2,34.40,36.9,5,リゾートライン
3,,5,メイショウバリスタ,牡,3,448,,,9,66.8, ,  0,,57,,,柴田善臣,(美),西田雄一,ワールドエース,ノヴェリスト,,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,パンジー,牝,3,446,+ 6,+ 6,10,139.3, , 93,10,55,,*,黛弘人,(美),深山雅史,ウインブライト,ディープブリランテ,,ロイヤルチャージャー系,2,15,2京6,連,未勝利・牝,芝,2000,良,,橋木,52.0,▲,10,68.8,13,2.9,9,2,4,3,3,37.46,37.6,15,ピカキウイ
4,,7,ヨドノティアラ,牝,3,448,  0,0,2,5.9, ,108,3,55,,,津村明秀,(美),矢嶋大樹,マテラスカイ,アンライバルド,,ロイヤルチャージャー系,2,14,1東5,17,未勝利,芝,1400,良,,津村,55.0,,5,14.7,6,0.4,3,,,2,2,36.30,34.5,9,サンデースマッシュ
4,,8,ウシャス,牝,3,440,+ 4,+ 4,15,485.9, , 81,13,53,△,*,長浜鴻緒,(美),平岩大典,ゴールドドリーム,グラスワンダー,,ロイヤルチャージャー系,2,14,2京5,4,未勝利,ダ,1200,稍,,藤懸,55.0,,16,526.3,15,4.0,15,,,15,14,38.00,38.6,13,メイショウバルク
5,,9,マダックス,牡,3,454,- 2,- 2,4,8.2, ,104,5,57,,,大野拓弥,(美),高柳瑞樹,マクフィ,ダイワメジャー,,ロイヤルチャージャー系,2,28,2中1,19,未勝利,ダ,1200,重,,大野,57.0,,7,19.8,4,0.9,8,,,8,6,34.90,36.9,5,リゾートライン
5,,10,ハンナパール,牝,3,436,,,12,288.3, ,  0,,55,,,吉田豊,(美),小野次郎,ミッキーグローリー,トーホウエンペラー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,シルバープレート,セ,3,464,+ 8,+ 8,16,576.2, , 89,12,57,,*,小林脩斗,(美),青木孝文,シルバーステート,ワークフォース,,ネイティヴダンサー系,9,15,4中5,初,新馬,ダ,1200,良,,原優,55.0,,9,95.6,11,6.1,7,,,5,6,35.20,43.0,11,カリヨンアヴォン
6,,12,アクシズ,牡,3,442,  0,0,13,366.8, , 92,11,57,,*,横山琉人,(美),尾形和幸,ダノンプレミアム,Galileo,,ニアークティック系,2,7,1小5,4,未勝利,ダ,1000,良,,中井,57.0,,11,114.8,10,1.8,4,,,9,8,36.30,36.9,7,パドゼフィール
7,,13,チョウブク,牡,3,484,- 6,- 6,7,22.4, ,104,5,54,▲,,石田拓郎,(美),新開幸一,パドトロワ,Gleneagles,,,2,14,1小7,33,未勝利,芝,1200,良,,石田,54.0,▲,4,9.5,13,1.6,10,,,12,14,33.80,36.4,12,マーゴットミスト
7,B,14,ワルキューレキング,牡,3,492,- 4,- 4,5,12.2, , 97,8,57,,*,原優介,(美),伊藤大士,サートゥルナーリア,ゴールドアリュール,,ロイヤルチャージャー系,2,14,1東5,7,未勝利,ダ,1600,良,,佐々,57.0,,11,204.9,12,3.2,8,,,1,2,36.96,40.1,15,リアライズタキオン
8,,15,カンノンミッキー,牡,3,466,-10,-10,3,6.7, ,112,2,57,,,木幡巧也,(美),手塚貴徳,ミッキーロケット,フサイチリシャール,,ニアークティック系,3,1,2中2,3,未勝利,ダ,1200,稍,,木幡,57.0,,4,19.9,4,1.2,3,,,11,10,35.70,36.9,1,モーゲンセン
8,,16,ヘルヴィッツ,牡,3,456,- 6,- 6,6,17.1, ,103,7,57,,*,横山和生,(美),柄崎将寿,ミスターメロディ,バゴ,,ナスルーラ系,2,14,1東5,初,新馬,ダ,1400,良,,丸田,57.0,,10,30.4,6,1.1,10,,,2,2,37.58,38.0,7,ノースブルースカイ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026032206020802,2026.3.22,日,中山,2中8,2,,未勝利,ダート,1800,,4,良,晴,16,10:25,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,プリンセスダーコ,牝,3,458,-12,-12,7,36.4, ,111,3,55,,,原優介,(美),清水英克,マクフィ,ディープインパクト,,ロイヤルチャージャー系,1,11,1中4,2,未勝利・牝,ダ,1800,良,,原優,55.0,,6,27.8,4,1.3,8,8,9,6,6,39.10,40.0,3,ノーブルクラウド
2,,2,トーケンジンロック,セ,3,476,- 6,- 6,6,27.6, ,106,6,55,△,,長浜鴻緒,(美),小野次郎,サトノクラウン,ディープインパクト,,ロイヤルチャージャー系,3,1,2中2,3,未勝利,ダ,1800,稍,,長浜,55.0,△,13,112.1,4,1.3,16,2,2,2,2,37.90,40.5,9,アトラステソーロ
2,,3,イーグルロック,牡,3,560,- 4,- 4,2,3.4, ,115,2,57,,,石川裕紀,(美),相沢郁,ナダル,ハービンジャー,,ニアークティック系,2,21,1東7,初,新馬,ダ,1600,良,,石川,57.0,,4,5.7,3,0.5,7,,,9,8,37.32,37.4,2,ナムラダリア
3,,4,ブッチギレ,牡,3,470,+ 4,+ 4,9,55.9, ,101,8,57,,*,横山和生,(美),栗田徹,マジェスティックウォリアー,キングヘイロー,,ニアークティック系,11,24,5東6,2,未勝利*,ダ,1600,良,,内田,56.0,,7,56.3,8,2.9,4,,,2,4,36.66,38.9,9,マクリール
3,,5,ネオアカジョウ,牡,3,496,+ 8,+ 8,15,628.6, , 90,13,54,▲,*,上里直汰,(美),松尾卓哉,ダノンスマッシュ,クロフネ,,ニアークティック系,3,1,2中2,6,未勝利,ダ,1200,稍,,田辺,57.0,,9,133.8,15,3.7,9,,,15,15,36.10,39.0,14,モーゲンセン
4,,6,アイデアユー,牡,3,474,- 4,- 4,1,1.9, ,122,1,57,,,戸崎圭太,(美),鹿戸雄一,シニスターミニスター,"Oasis Dream",ナスルーラ系,ニアークティック系,1,24,1中8,2,未勝利,ダ,1800,良,,戸崎,57.0,,1,1.8,3,0.4,1,2,1,2,2,37.55,42.3,7,スノースコール
4,,7,ラヴィニアパーク,牡,3,474,+ 2,+ 2,4,11.3, , 99,9,57,,*,津村明秀,(美),萩原清,ハービンジャー,ホワイトマズル,ニアークティック系,ニアークティック系,1,24,1中8,9,未勝利,芝,2200,良,,長浜,55.0,△,11,79.3,12,1.4,8,10,11,9,6,36.26,36.7,14,ミッキーファルコン
5,,8,レッツゴーファイト,牡,3,460,- 4,- 4,14,493.9, , 85,14,57,,*,小林脩斗,(美),伊藤伸一,ノーブルミッション,ハービンジャー,,ニアークティック系,3,14,1名1,16,未勝利・若,芝,1600,良,,水沼,54.0,▲,16,391.6,15,2.2,10,,13,8,9,36.48,35.6,14,ルージュリリック
5,,9,イサチルシーキング,牡,3,530,- 6,- 6,5,12.1, ,105,7,57,,*,石橋脩,(美),辻哲英,アメリカンペイトリオット,"More Than Ready",,ロイヤルチャージャー系,11,8,5東1,初,新馬,芝,1800,良,,プー,56.0,,5,35.7,8,1.7,12,,3,3,5,36.60,35.2,11,ラヴェニュー
6,,10,クアッドフォルツァ,牡,3,474,  0,0,10,66.4, , 99,9,54,▲,,佐藤翔馬,(美),伊藤圭三,ゴールドドリーム,キングカメハメハ,,ネイティヴダンサー系,3,1,2中2,5,未勝利,ダ,1800,稍,,佐藤,54.0,▲,8,41.3,11,2.3,4,12,11,15,16,38.60,40.1,6,アトラステソーロ
6,,11,ラッキースウィッチ,牡,3,476,- 6,- 6,3,7.9, ,108,5,57,,*,荻野極,(美),蛯名正義,"Lucky Vega",Galileo,,ニアークティック系,3,8,2中4,10,未勝利,ダ,1800,稍,,横山,57.0,,3,6.5,4,1.0,1,3,3,4,4,38.50,40.2,4,ホノボノ
7,,12,ジュンノシャップ,牝,3,470,,,13,407.7, ,  0,,52,▲,,遠藤汰月,(美),高柳瑞樹,ジュンツバサ,ノヴェリスト,,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,ロジシーザ,牡,3,486,- 2,- 2,8,45.9, ,109,4,57,,,岩田康誠,(美),古賀慎明,ドレフォン,エピファネイア,,,2,21,1東7,初,新馬,ダ,1600,良,,岩田,57.0,,5,19.9,7,2.0,4,,,3,4,37.08,39.3,9,ナムラダリア
8,,14,ヴァルク,牡,3,466,-12,-12,12,240.6, , 98,11,57,,*,菊沢一樹,(美),武市康男,パドトロワ,クロフネ,,ニアークティック系,2,28,2中1,12,未勝利,ダ,1800,重,,丸田,57.0,,13,232.1,7,4.4,10,10,10,10,9,38.45,40.1,5,パラダイスフェイス
8,,15,シュタットパーク,牡,3,472,+ 2,+ 2,11,71.8, , 96,12,57,,*,木幡巧也,(美),金成貴史,サトノクラウン,スウェプトオーヴァーボード,,ネイティヴダンサー系,12,21,5中6,初,新馬,芝,1600,重,,丹内,56.0,,9,61.2,10,3.0,8,,16,15,15,37.02,36.4,5,ロデオドライブ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026032206020803,2026.3.22,日,中山,2中8,3,,1勝,ダート,1200,,2,良,晴,16,10:55,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,タイセイエキサイト,牡,3,512,+ 3,+ 3,14,419.2,>, 76,13,55,△,*,長浜鴻緒,(美),青木孝文,アジアエクスプレス,アイルハヴアナザー,,ネイティヴダンサー系,2,26,浦和,7,ツイン,ダ,1400,不,,野畑,56.0,,4,,1,-0.4,,1,1,1,1,,----,,(ノースラノビア)
2,B,2,タカスタカスタカス,牡,3,506,- 4,- 4,4,5.1, ,126,2,57,,,三浦皇成,(栗),藤原英昭,"Mor Spirit","Liam's Map",,,2,21,1東7,22,１勝ｸﾗｽ*,ダ,1400,良,,三浦,57.0,,2,3.6,2,0.3,4,,,2,2,36.30,37.2,4,サマーゲール
3,,3,ヒナノムサシ,牡,3,526,- 6,- 6,13,240.2, , 95,12,57,,,柴田善臣,(美),本間忍,ミッキーアイル,タニノギムレット,,ロイヤルチャージャー系,2,21,1東7,12,１勝ｸﾗｽ*,ダ,1400,良,,柴田,57.0,,14,58.9,14,2.1,9,,,1,1,36.23,39.1,15,サマーゲール
3,,4,ジェイエルキャリア,牡,3,466,-10,-10,9,53.1, , 96,11,57,,*,吉田豊,(美),松尾卓哉,ミスチヴィアスアレックス,ハービンジャー,,ニアークティック系,2,7,1東3,13,１勝ｸﾗｽ*,ダ,1400,良,,田辺,57.0,,13,161.7,7,1.8,13,,,13,11,37.20,36.4,3,マジッククッキー
4,,5,ビップムーラン,牝,3,468,+ 8,+ 8,11,65.8, ,104,10,55,,*,戸崎圭太,(美),田島俊明,アルアイン,フレンチデピュティ,,ニアークティック系,1,11,1中4,5,１勝ｸﾗｽ*,ダ,1200,良,,大野,55.0,,11,54.2,11,2.4,8,,,2,2,34.90,39.6,12,エコロシード
4,,6,シエルライズ,牡,3,504,+ 6,+ 6,12,239.7,>, 76,13,57,,*,菊沢一樹,(美),小手川準,マテラスカイ,ダンスインザダーク,,ロイヤルチャージャー系,1,14,名古,6,名古屋,ダ,1500,良,,加藤,57.0,,2,,1,-0.8,,2,2,2,1,,----,,(ジャズホリック)
