レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026031406020501,2026.3.14,土,中山,2中5,1,,未勝利,ダート,1800,,4,良(暫定),曇(暫定),16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ジェネラスキング,牡,3,2,4.6, ,120,1,57,,,佐々木大,(美),久保田貴,ルーラーシップ,ゴールドアリュール,ネイティヴダンサー系,ロイヤルチャージャー系,1,18,1中7,3,未勝利,ダ,1800,良,,佐々,57.0,,4,7.6,2,0.4,2,6,6,7,5,38.75,38.6,2,サイモフェーン
1,,2,クリュメノス,牡,3,12,57.8, , 99,10,55,△,*,長浜鴻緒,(美),室井潔,マジェスティックウォリアー,シンボリクリスエス,,ロイヤルチャージャー系,2,28,2中1,2,未勝利,ダ,1800,重,,小林,57.0,,4,16.5,9,2.7,4,8,8,9,9,38.20,41.1,8,インディヴァイン
2,,3,ドゥーニ,牡,3,10,28.5, ,113,3,57,,,津村明秀,(美),矢嶋大樹,マテラスカイ,ネオユニヴァース,,ロイヤルチャージャー系,2,28,2中1,2,未勝利,ダ,1800,重,,津村,57.0,,5,25.1,3,2.3,2,5,3,3,2,37.75,39.4,3,パラダイスフェイス
2,B,4,ウィリーズロック,牡,3,8,16.2, , 97,13,57,,,原優介,(美),黒岩陽一,スワーヴリチャード,"Kitten's Joy",,ニアークティック系,2,21,1東7,9,未勝利,ダ,1600,良,,原優,57.0,,11,84.9,7,1.0,11,,,2,2,36.12,39.6,9,エムノビアンカ
3,,5,ミスターキャンベラ,牡,3,1,3.4, ,117,2,57,,,戸崎圭太,(美),稲垣幸雄,クリソベリル,エンパイアメーカー,,ネイティヴダンサー系,1,31,1東1,3,未勝利,ダ,1600,良,,戸崎,57.0,,1,1.9,3,0.9,4,,,5,5,37.14,37.5,3,タイキブリッツェン
3,,6,エオリアンリッジ,牡,3,9,25.5, , 99,10,57,,*,大野拓弥,(美),尾関知人,アドマイヤマーズ,Dushyantor,,ニアークティック系,11,30,5東8,2,未勝利*,芝,2000,良,,松山,56.0,,6,23.4,11,2.6,5,,2,2,2,36.77,36.7,11,ファムクラジューズ
4,,7,セブンワンダーズ,牡,3,6,13.6, ,107,7,57,,*,斎藤新,(美),斎藤誠,キセキ,クロフネ,,ニアークティック系,2,21,1東7,2,未勝利,ダ,1600,良,,岩田,57.0,,4,6.2,5,0.6,3,,,9,9,36.96,37.8,4,エムノビアンカ
4,,8,マイネルスラーヴァ,牡,3,15,129.2, , 98,12,57,,,柴田大知,(美),高木登,ダノンバラード,Tapit,,ナスルーラ系,2,22,1東8,3,未勝利,ダ,2100,良,,柴田,57.0,,7,99.7,9,3.9,9,5,6,5,8,39.68,38.7,8,バスキュール
5,,9,コパノエイダン,牡,3,5,12.2, ,112,4,57,,*,田辺裕信,(美),上原博之,コパノリッキー,キンシャサノキセキ,,ロイヤルチャージャー系,2,15,1東6,3,未勝利,ダ,2100,良,,原優,57.0,,2,3.4,5,1.5,2,10,5,8,5,38.72,39.3,5,エクセルクラウン
5,B,10,ブライトラン,牡,3,14,123.9, ,100,9,54,▲,,佐藤翔馬,(美),尾形和幸,マインドユアビスケッツ,キングカメハメハ,,ネイティヴダンサー系,2,22,1東8,9,未勝利,ダ,1400,良,,佐藤,54.0,▲,10,90.5,8,1.5,7,,,5,6,37.58,37.6,11,アトミックブレス
