レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011206010501,2026.1.12,月,中山,1中5,1,,未勝利,ダート,1200,,2,良,晴,16,09:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ターコイズテソーロ,牝,3,438,  0,0,15,360.7, , 86,15,52,▲,,大久保友,(美),畠山吉宏,フィエールマン,Kingman,,,12,21,5名6,9,未勝利*,芝,1400,稍,,大久,52.0,▲,17,594.4,16,2.2,16,,,16,15,36.30,35.7,15,テルヴィセクス
1,,2,オッピポイカ,牡,3,462,+ 2,+ 2,11,89.6, ,103,9,57,,,菊沢一樹,(美),鈴木慎太,ダノンレジェンド,ブラックタイド,,ロイヤルチャージャー系,12,27,5中7,初,新馬,ダ,1200,稍,,菊沢,56.0,,8,23.8,5,1.5,6,,,7,6,36.10,37.3,3,ジェラートキティ
2,B,3,スリーコーズ,牡,3,482,+10,+10,2,2.8, ,120,1,57,,,横山武史,(美),伊藤圭三,スズカコーズウェイ,スズカマンボ,ニアークティック系,ロイヤルチャージャー系,10,26,4東9,4,未勝利*,ダ,1400,不,,横山,56.0,,1,1.7,2,0.2,1,,,1,1,36.60,36.9,4,エスシーレイジュ
2,,4,ニンジャトットリ,牡,3,466,  0,0,4,20.9, ,112,4,57,,,木幡育也,(美),松永康利,ミッキーアイル,シンボリクリスエス,,ロイヤルチャージャー系,12,20,5中5,3,未勝利*,ダ,1200,良,,木幡,56.0,,3,6.3,3,0.5,5,,,10,9,35.20,37.8,2,シュピラー
3,,5,アイスメルティング,牝,3,424,- 2,- 2,3,4.1, ,120,1,55,,,戸崎圭太,(美),田島俊明,サンダースノー,マイネルラヴ,,ネイティヴダンサー系,12,27,5中7,初,新馬,ダ,1200,稍,,戸崎,55.0,,1,3.2,2,0.3,7,,,2,2,34.40,37.8,5,ジェラートキティ
3,B,6,ケイベエ,牡,3,458,- 8,- 8,13,149.7, ,108,7,57,,*,木幡初也,(美),杉浦宏昭,エピファネイア,"Country Reel",,ニアークティック系,12,21,5中6,4,未勝利*,ダ,1200,不,,木幡,56.0,,3,7.8,7,1.8,14,,,3,3,34.70,38.4,11,ホウオウヘッセン
4,,7,ノボリフジ,牡,3,462,+ 2,+ 2,5,28.1, ,102,10,54,▲,,遠藤汰月,(美),伊藤伸一,ミッキーグローリー,スウェプトオーヴァーボード,,ネイティヴダンサー系,12,21,5中6,4,未勝利*,ダ,1800,不,,遠藤,53.0,▲,5,9.2,12,2.0,10,2,2,1,2,37.55,40.8,14,ヘルメスギャング
4,,8,イトシサ,牡,3,512,+ 6,+ 6,1,2.1, ,120,1,57,,,三浦皇成,(美),田中博康,インディチャンプ,"Harlan's Holiday",,ニアークティック系,11,24,5東6,3,未勝利*,芝,1400,良,,三浦,56.0,,2,3.1,3,0.4,7,,,7,7,35.93,33.8,3,ミッキーダムール
5,,9,カプリースカラー,牝,3,404,+ 2,+ 2,16,502.0, , 85,16,55,,*,武藤雅,(美),金成貴史,ホークビル,ジャングルポケット,,ナスルーラ系,11,8,3福1,初,新馬,芝,1200,良,,江田,55.0,,11,94.2,15,2.7,6,,,15,15,36.60,35.3,7,ディヴァインスカイ
5,,10,セイカユウヒ,牡,3,412,  0,0,12,129.1, , 95,12,57,,*,丸田恭介,(美),南田美知,グレーターロンドン,グラスワンダー,,ロイヤルチャージャー系,12,13,5阪3,3,未勝利*,芝,1200,良,,秋山,56.0,,13,105.4,6,0.5,2,,,9,9,34.90,34.7,6,ナクソス
6,,11,ムーンブランシュ,牝,3,478,- 4,- 4,9,79.1, , 92,13,55,,,木幡巧也,(美),牧光二,ドレフォン,Paynter,,,10,25,4東8,初,新馬,ダ,1600,稍,,木幡,55.0,,6,21.9,15,3.7,11,,,11,13,37.86,38.2,14,ホウオウルクソール
6,,12,ジーティーソレイユ,牝,3,420,- 4,- 4,6,44.4, ,109,5,55,,,杉原誠人,(美),千葉直人,キタサンブラック,"Invincible Spirit",,ニアークティック系,11,16,5東4,7,未勝利・牝*,芝,1400,良,,杉原,55.0,,7,71.8,6,0.4,18,,,18,18,36.45,33.9,1,イヌボウノウタゴエ
7,,13,クールフィールド,牝,3,438,- 4,- 4,8,64.4, ,109,5,55,,,石橋脩,(美),矢野英一,フォーウィールドライブ,ケイムホーム,,ネイティヴダンサー系,12,21,5中6,連,未勝利*,ダ,1200,不,,石橋,55.0,,5,8.6,4,1.2,4,,,3,3,34.70,37.8,4,ホウオウヘッセン
7,,14,コロッセウム,牡,3,458,+ 2,+ 2,7,49.3, ,108,7,57,,*,丹内祐次,(美),清水英克,ポエティックフレア,ディープインパクト,,ロイヤルチャージャー系,12,27,5中7,16,未勝利*,ダ,1200,稍,,岩田,56.0,,4,16.7,5,1.4,7,,,8,8,34.90,38.2,6,パータリプトラ
8,,15,タケノリダー,牡,3,446,- 2,- 2,14,335.7, , 91,14,55,△,*,長浜鴻緒,(美),武市康男,マテラスカイ,スクリーンヒーロー,,ロイヤルチャージャー系,11,29,5東7,初,新馬,ダ,1400,良,,岩田,56.0,,11,58.3,11,3.2,4,,,14,14,37.65,38.9,10,オクトーバーナイン
8,,16,コハクロン,牡,3,502,  0,0,10,81.7, , 99,11,54,▲,*,舟山瑠泉,(美),尾形和幸,デクラレーションオブウォー,ルーラーシップ,,ネイティヴダンサー系,12,21,5阪6,初,新馬,芝,1200,重,,田口,56.0,,9,77.0,7,2.3,9,,,2,3,36.30,36.5,9,ワイドシュテルケ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011206010502,2026.1.12,月,中山,1中5,2,,未勝利,ダート,1800,,4,良,晴,16,10:20,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ブルーサーマル,牝,3,518,- 2,- 2,3,6.8, ,104,6,55,,,内田博幸,(美),池上昌和,アメリカンペイトリオット,ディープスカイ,,ロイヤルチャージャー系,12,20,5中5,13,未勝利・牝*,ダ,1800,良,,内田,55.0,,12,87.1,2,0.8,12,14,14,9,6,37.95,39.5,2,ケイツーリーブル
1,,2,サプーズ,牝,3,466,- 4,- 4,7,25.4, ,108,4,55,,*,原優介,(美),伊藤大士,サトノダイヤモンド,Flatter,,ナスルーラ系,12,20,5中5,初,新馬・牝,芝,1800,良,,菅原,55.0,,2,5.6,9,1.5,9,4,3,3,5,37.60,36.2,13,リュクスパトロール
2,,3,マスカルポーネ,牝,3,442,+ 4,+ 4,13,162.0, , 91,14,55,,*,武藤雅,(美),水野貴広,リオンディーズ,キズナ,,,12,20,5中5,8,未勝利・牝*,ダ,1800,良,,福原,55.0,,16,258.5,8,1.8,16,16,16,15,11,38.20,40.0,4,ケイツーリーブル
2,,4,ホールドザデイ,牝,3,466,+ 2,+ 2,1,3.1, ,117,1,55,,,木幡巧也,(美),田中勝春,ダノンスマッシュ,オルフェーヴル,,,12,20,5中5,3,未勝利・牝*,ダ,1800,良,,木幡,55.0,,1,3.9,4,1.2,7,2,2,2,2,37.40,41.0,6,ケイツーリーブル
3,,5,ティンブロポップ,牝,3,438,- 6,- 6,9,51.4, , 94,11,55,,*,横山和生,(美),和田勇介,ジャスタウェイ,アイルハヴアナザー,,ネイティヴダンサー系,10,13,4東5,初,新馬・牝,芝,1600,良,,大野,55.0,,13,123.9,11,1.3,14,,,14,13,36.72,34.3,4,ノーザンタイタン
3,,6,トラストレガート,牝,3,450,- 6,- 6,16,502.7, , 87,16,55,,,吉田豊,(美),高橋文雅,マクフィ,Tobougg,,ニアークティック系,12,28,5中8,10,未勝利*,ダ,1800,良,,吉田,55.0,,13,186.1,13,2.3,10,13,11,14,15,39.30,40.6,7,タイセツナヒ
4,,7,グラスハーティー,牝,3,494,+ 4,+ 4,8,27.3, ,103,7,55,,*,大野拓弥,(美),松山将樹,ダノンプレミアム,キングカメハメハ,,ネイティヴダンサー系,12,20,5中5,8,未勝利・牝*,ダ,1800,良,,斎藤,55.0,,6,10.1,9,1.9,8,6,6,6,6,37.75,41.0,6,ケイツーリーブル
4,,8,アリストクラット,牝,3,380,- 2,- 2,15,229.4, , 95,10,52,▲,*,石田拓郎,(美),田島俊明,ダノンバラード,カジノドライヴ,,ナスルーラ系,12,20,5中5,初,新馬,ダ,1800,良,,石神,52.0,▲,9,116.2,8,2.2,13,8,8,10,9,38.70,40.0,8,ゴールドブレイズ
5,,9,アンデルストープ,牝,3,462,- 6,- 6,11,63.1, , 92,13,55,,*,丹内祐次,(美),宮田敬介,インディチャンプ,"Giant's Causeway",,ニアークティック系,11,22,3福5,13,未勝利*,芝,1800,良,,野中,55.0,,13,91.1,12,1.6,12,5,5,7,8,36.60,36.5,12,アロンソア
5,,10,バーヴァンシー,牝,3,480,- 6,- 6,10,59.4, ,100,9,52,▲,,舟山瑠泉,(美),村田一誠,リオンリオン,アグネスタキオン,,ロイヤルチャージャー系,1,4,1中1,5,未勝利・牝,ダ,1200,稍,,舟山,52.0,▲,11,54.4,6,1.3,3,,,15,15,35.50,38.5,2,フュルスティン
6,,11,ハングローズ,牝,3,438,  0,0,4,7.6, ,105,5,55,,,佐々木大,(美),奥村武,ドレフォン,キングカメハメハ,,ネイティヴダンサー系,12,27,5中7,14,未勝利*,ダ,1800,稍,,佐々,55.0,,7,15.8,5,1.3,6,11,10,6,6,38.40,39.1,5,パッセージピーク
6,,12,ポイズンオーク,牝,3,532,- 4,- 4,5,10.0, ,112,3,55,,*,横山武史,(美),浅利英明,キズナ,ハービンジャー,,ニアークティック系,12,13,5中3,初,新馬,ダ,1800,良,,プー,55.0,,3,5.3,4,2.2,2,3,3,4,5,38.85,40.8,5,タイセイエムロード
7,,13,ナンヨーリクエスト,牝,3,420,-12,-12,14,196.8, , 89,15,53,△,*,長浜鴻緒,(美),中舘英二,ドレフォン,キングカメハメハ,,ネイティヴダンサー系,11,16,5東4,初,新馬,ダ,1600,良,,吉村,54.0,☆,11,101.3,12,1.8,11,,,11,12,38.88,37.5,10,アジアントレジャー
7,,14,フラクタル,牝,3,458,+ 2,+ 2,12,152.4, , 94,11,55,,*,石橋脩,(美),牧光二,フィレンツェファイア,ネオユニヴァース,,ロイヤルチャージャー系,12,20,5阪5,2,未勝利*,芝,1600,良,,酒井,55.0,,18,594.5,12,1.3,11,,,3,2,35.64,35.5,16,サトノセプター
8,,15,ジャストマイウェイ,牝,3,516,  0,0,2,3.1, ,117,1,55,,*,三浦皇成,(美),国枝栄,"No Nay Never","War Front",,ニアークティック系,12,14,5中4,9,未勝利*,芝,2000,稍,,荻野,55.0,,3,5.5,4,1.5,5,1,1,2,1,37.11,37.9,10,ラージアンサンブル
8,,16,フィーユレアル,牝,3,468,- 4,- 4,6,10.7, ,101,8,55,,,横山琉人,(美),斎藤誠,リオンディーズ,ハーツクライ,,ロイヤルチャージャー系,12,21,5中6,10,未勝利*,芝,1600,重,,横山,55.0,,8,22.0,7,1.1,3,,6,7,8,35.58,36.4,5,ジッピーチューン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011206010503,2026.1.12,月,中山,1中5,3,,未勝利,ダート,1800,,4,良,晴,16,10:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ジェイエルモーダル,牡,3,456,- 2,- 2,6,11.7, ,102,9,57,,*,田辺裕信,(美),小西一男,デクラレーションオブウォー,ヨハネスブルグ,,ニアークティック系,12,20,5中5,3,未勝利*,ダ,1800,良,,吉田,56.0,,8,28.8,6,1.9,11,7,11,13,13,39.25,38.7,2,エコロガノン
1,,2,ウインターアヘッド,牡,3,472,  0,0,12,181.9, , 87,15,57,,*,嶋田純次,(美),小島茂之,ミッキーグローリー,アイルハヴアナザー,,ネイティヴダンサー系,10,18,4東6,2,未勝利*,芝,1800,良,,内田,56.0,,6,43.2,8,1.6,6,,7,8,7,36.70,35.7,8,ダノンセフィーロ
2,,3,ソニックキャット,牡,3,514,+ 2,+ 2,9,16.0, ,110,4,57,,,三浦皇成,(美),田村康仁,ダイワメジャー,"Tale of the Cat",ロイヤルチャージャー系,ニアークティック系,12,28,5中8,18,未勝利*,ダ,1800,良,,三浦,56.0,,3,7.7,4,0.8,3,5,6,1,2,38.50,40.7,8,タイセツナヒ
