レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021505010601,2026.2.15,日,東京,1東6,1,,未勝利,ダート,1300,,2,良,晴,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ピーエムキンチャン,牡,3,454,  0,0,12,193.5, , 98,9,55,△,*,長浜鴻緒,(美),和田正一,タリスマニック,パイロ,,ナスルーラ系,12,27,5中7,5,未勝利*,ダ,1200,稍,,石神,53.0,▲,10,103.2,7,1.7,10,,,7,7,34.60,38.8,11,パータリプトラ
1,,2,トヨサカエ,牡,3,470,+ 2,+ 2,3,4.1, ,108,5,57,,,吉田豊,(美),高橋文雅,ディーマジェスティ,アルデバラン2,,ネイティヴダンサー系,1,25,1中9,初,未勝利,ダ,1200,良,,吉田,57.0,,9,121.2,3,0.3,10,,,12,10,36.30,36.9,1,アンプイットアップ
2,,3,ガーディアンスター,牝,3,458,+ 8,+ 8,15,461.1, , 84,14,55,,*,武藤雅,(美),武藤善則,マクフィ,ゴールドアリュール,,ロイヤルチャージャー系,12,14,5中4,初,新馬,ダ,1200,稍,,佐藤,52.0,▲,13,97.8,14,7.4,11,,,14,14,40.10,40.5,14,ルクスポップスター
2,,4,プレシャスノワール,牝,3,430,- 6,- 6,13,322.0, , 83,15,51,★,*,谷原柚希,(美),村田一誠,ダノンキングリー,Speightstown,,ネイティヴダンサー系,12,14,5中4,初,新馬,芝,1600,稍,,遠藤,52.0,▲,16,220.4,13,3.5,16,,15,14,14,37.56,37.5,13,ジーティーシンドウ
3,,5,ドロボーネコ,牝,3,492,+24,+24,10,144.4, , 98,9,52,▲,*,上里直汰,(美),武井亮,キンシャサノキセキ,フレンチデピュティ,ロイヤルチャージャー系,ニアークティック系,8,9,2新5,初,新馬,芝,1200,良,,石神,52.0,▲,9,28.7,13,1.9,7,,,10,8,35.60,36.1,13,ベルフラム
3,B,6,ニシノトマラナイ,セ,3,472,+12,+12,8,46.5, ,100,8,57,,,杉原誠人,(美),矢野英一,ドレフォン,リーチザクラウン,,ロイヤルチャージャー系,11,30,5東8,2,未勝利*,ダ,1400,良,B,杉原,56.0,,7,22.6,8,1.3,10,,,9,8,37.20,38.5,8,ヒナノムサシ
4,,7,ラインジーク,牡,3,448,+ 2,+ 2,2,3.9, ,120,2,57,,*,松山弘平,(美),水野貴広,シニスターミニスター,クロフネ,ナスルーラ系,ニアークティック系,11,30,5東8,3,未勝利*,ダ,1400,良,,レー,56.0,,1,2.5,3,0.1,1,,,3,2,36.83,37.8,3,ヒナノムサシ
4,,8,ジーティーニッツァ,牡,3,458,+ 8,+ 8,9,99.5, ,101,7,54,▲,,遠藤汰月,(美),伊藤伸一,ミスチヴィアスアレックス,ディープインパクト,,ロイヤルチャージャー系,1,17,1中6,4,未勝利,ダ,1200,良,,遠藤,54.0,▲,14,311.5,4,0.4,12,,,3,3,34.70,38.7,4,サントマーレ
5,B,9,シルバークラフト,牝,3,510,+ 4,+ 4,7,37.3, , 93,12,55,,*,木幡巧也,(美),牧光二,コパノリッキー,"Lantana Mob",,,12,13,5中3,初,新馬,ダ,1800,良,,石橋,55.0,,10,35.5,13,7.0,15,11,11,9,10,39.25,44.8,15,タイセイエムロード
5,,10,ユイノカタリベ,牡,3,518,  0,0,5,8.9, ,116,3,57,,,木幡初也,(美),竹内正洋,タワーオブロンドン,エイシンフラッシュ,,,2,7,1東3,8,未勝利,ダ,1300,良,,木幡,57.0,,4,5.9,2,0.5,5,,,6,6,36.94,37.7,4,ジャスフォール
6,,11,ハリエンジュ,牝,3,440,- 8,- 8,11,191.5, , 96,11,55,,*,吉村誠之,(美),小手川準,シニスターミニスター,マンハッタンカフェ,ナスルーラ系,ロイヤルチャージャー系,12,27,5中7,初,新馬,ダ,1200,稍,,今村,53.0,◇,7,18.5,9,2.1,8,,,7,9,36.00,38.0,6,ジェラートキティ
6,,12,シュヴァルツシルト,牡,3,474,+ 8,+ 8,4,4.5, ,108,5,57,,*,津村明秀,(美),田島俊明,ミスチヴィアスアレックス,ワークフォース,,ネイティヴダンサー系,12,14,5名4,2,未勝利*,ダ,1400,稍,,丸山,56.0,,5,10.1,3,0.7,8,,,1,1,35.10,39.8,10,クラシオン
7,,13,フェスティヴニーサ,牡,3,460,+ 4,+ 4,16,551.1, , 87,13,54,▲,,佐藤翔馬,(美),奥平雅士,フィエールマン,ハービンジャー,,ニアークティック系,11,29,5東7,初,新馬,ダ,1400,良,,佐藤,53.0,▲,16,205.5,12,3.3,12,,,9,9,37.35,39.4,12,オクトーバーナイン
7,,14,ジャックナダル,牡,3,522,- 6,- 6,1,3.6, ,125,1,57,,*,キング,(美),伊坂重信,ナダル,"New Approach",,ニアークティック系,1,25,1中9,11,未勝利,ダ,1200,良,,荻野,57.0,,1,2.3,2,0.3,4,,,4,3,34.70,38.5,2,アンプイットアップ
