レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011706010601,2026.1.17,土,中山,1中6,1,,未勝利,ダート,1200,,2,良,晴,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ビックリパラダイス,牡,3,484,-10,-10,16,444.9, , 83,14,57,,*,岩部純二,(美),萱野浩二,スマートファルコン,ロードカナロア,ロイヤルチャージャー系,,12,27,5中7,13,未勝利*,ダ,1200,稍,,遠藤,53.0,▲,16,718.0,14,3.2,14,,,15,15,36.20,38.7,10,パータリプトラ
1,,2,カシスピーチ,牝,3,404,,,15,342.9, ,  0,,55,,,菅原隆一,(美),蛯名利弘,ノーブルミッション,キズナ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,アシャカバッハ,牡,3,468,+ 8,+ 8,8,43.5, , 99,9,54,▲,*,小林美駒,(美),小笠倫弘,モーニン,ハーツクライ,,ロイヤルチャージャー系,6,28,2福1,初,新馬,ダ,1150,良,,石神,52.0,▲,7,36.5,5,0.8,1,,,4,4,35.67,38.5,3,セイカミナミホリエ
2,,4,エコロバロン,牡,3,492,- 4,- 4,4,6.8, ,111,2,57,,,菊沢一樹,(美),菊沢隆徳,フォーウィールドライブ,オルフェーヴル,,,1,5,1中2,12,未勝利,ダ,1200,稍,,菊沢,57.0,,4,8.3,3,0.7,3,,,12,10,35.80,37.3,1,ヴァイオスペース
3,,5,アイアムステキ,牝,3,450,+ 2,+ 2,5,8.8, ,106,6,55,,,松岡正海,(美),奥平雅士,リオンディーズ,ディープインパクト,,ロイヤルチャージャー系,10,18,4東6,初,新馬・牝,芝,1400,良,,松岡,55.0,,12,86.9,5,0.4,10,,,6,7,37.58,33.6,6,エピッククイーン
3,,6,アシャカルッカ,牝,3,442,+ 4,+ 4,10,51.6, ,103,8,52,▲,,石田拓郎,(美),鈴木伸尋,シニスターミニスター,スマートファルコン,ナスルーラ系,ロイヤルチャージャー系,12,27,5中7,2,新馬,ダ,1200,稍,,石田,52.0,▲,9,47.6,5,1.5,13,,,10,9,36.20,37.2,2,ジェラートキティ
4,,7,ウチュウノハナ,牝,3,428,+ 4,+ 4,11,250.4, , 96,11,55,,,木幡巧也,(美),牧光二,ベストウォーリア,パイロ,,ナスルーラ系,11,29,5東7,初,新馬,ダ,1400,良,,木幡,55.0,,9,41.5,10,3.2,13,,,7,8,37.20,39.5,13,オクトーバーナイン
4,B,8,ラストシャイニー,牝,3,426,- 2,- 2,9,49.3, ,107,5,55,,*,横山和生,(美),千葉直人,ダノンプレミアム,フジキセキ,,ロイヤルチャージャー系,1,4,1中1,13,未勝利・牝,ダ,1200,稍,,矢野,55.0,,5,22.4,5,1.3,10,,,8,8,34.80,39.2,4,フュルスティン
5,,9,イイクニパッション,牡,3,510,+ 4,+ 4,3,5.7, ,121,1,57,,,内田博幸,(美),深山雅史,ビッグアーサー,Birdstone,,ネイティヴダンサー系,12,28,5中8,4,未勝利*,ダ,1200,良,,内田,56.0,,2,3.2,2,0.5,1,,,1,1,34.10,39.5,11,ピュール
5,,10,タイセイガナール,牡,3,474,- 4,- 4,7,24.0, ,106,6,55,△,,長浜鴻緒,(美),伊藤圭三,タワーオブロンドン,ゴールドアリュール,,ロイヤルチャージャー系,12,28,5中8,3,未勝利*,ダ,1200,良,,長浜,54.0,△,8,26.7,4,0.6,14,,,6,3,34.60,39.1,8,ピュール
6,,11,サントマーレ,牡,3,518,+ 2,+ 2,1,2.6, ,110,3,57,,*,戸崎圭太,(美),尾関知人,ロードカナロア,ディープインパクト,,ロイヤルチャージャー系,12,27,5中7,11,未勝利*,ダ,1200,稍,,マー,56.0,,3,4.4,3,0.8,5,,,5,4,34.50,38.0,3,パータリプトラ
6,,12,ウシャス,牝,3,436,+ 4,+ 4,12,257.1, , 93,13,55,,*,佐々木大,(美),小西一男,ゴールドドリーム,グラスワンダー,,ロイヤルチャージャー系,12,21,5中6,初,新馬,ダ,1200,重,,丸田,55.0,,14,121.7,8,1.9,14,,,10,11,36.40,37.8,7,ファンシーズ
7,,13,ヌクレオチド,牡,3,484,+12,+12,6,11.9, , 98,10,57,,,柴田善臣,(美),粕谷昌央,モズアスコット,エピファネイア,,,11,9,5東2,3,未勝利*,ダ,1600,稍,,柴田,56.0,,10,202.8,10,2.6,9,,,1,1,36.24,39.8,10,サンラザール
7,,14,エバーラスト,牡,3,498,+10,+10,2,4.2, ,109,4,54,▲,,石神深道,(美),和田正一,ミスターメロディ,Shamardal,,ニアークティック系,9,6,4中1,初,新馬,芝,1200,良,,石神,52.0,▲,5,21.2,4,0.5,16,,,9,7,35.50,34.0,1,ランプローグ
8,,15,グラデュエール,牝,3,418,  0,0,13,289.1, , 81,15,55,,,木幡初也,(美),粕谷昌央,ミスチヴィアスアレックス,ダンスインザダーク,,ロイヤルチャージャー系,12,21,5中6,初,新馬,芝,1600,重,,木幡,55.0,,16,318.0,14,4.2,16,,6,10,14,36.36,38.7,14,ロデオドライブ
8,,16,ジーティーニッツァ,牡,3,450,- 4,- 4,14,311.5, , 95,12,54,▲,,遠藤汰月,(美),伊藤伸一,ミスチヴィアスアレックス,ディープインパクト,,ロイヤルチャージャー系,12,21,5中6,8,未勝利*,ダ,1200,不,,遠藤,53.0,▲,13,109.4,8,1.9,13,,,8,9,35.10,38.1,7,ホウオウヘッセン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011706010602,2026.1.17,土,中山,1中6,2,,未勝利,ダート,1800,,4,良,晴,16,10:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,セブンワンダーズ,牡,3,470,- 4,- 4,6,23.6, ,101,3,57,,,横山琉人,(美),斎藤誠,キセキ,クロフネ,,ニアークティック系,1,5,1中2,8,未勝利,ダ,1800,稍,,横山,57.0,,9,84.5,5,1.6,10,6,6,5,5,38.35,40.8,7,カフェラジェム
1,,2,ザンテソーロ,牡,3,448,+ 2,+ 2,7,37.9, , 95,10,57,,,原優介,(美),畠山吉宏,オルフェーヴル,ルーラーシップ,,ネイティヴダンサー系,1,5,1中2,2,未勝利,ダ,1800,稍,,原優,57.0,,11,153.5,6,1.7,7,11,11,11,9,38.80,40.0,4,カフェラジェム
2,,3,マツリダシリウス,牡,3,472,  0,0,8,51.6, , 99,4,57,,,武藤雅,(美),水野貴広,ウインバリアシオン,クロフネ,,ニアークティック系,12,28,5中8,7,未勝利*,ダ,1800,良,,武藤,56.0,,7,83.7,9,1.6,11,14,15,14,12,39.30,39.9,4,タイセツナヒ
2,,4,ブラックパロット,牡,3,524,-16,-16,4,18.0, ,106,2,57,,*,内田博幸,(美),国枝栄,アドマイヤマーズ,"Rockport Harbor",,ネイティヴダンサー系,11,15,5東3,6,未勝利*,ダ,1600,良,,プー,56.0,,2,5.6,9,1.7,2,,,11,10,37.62,38.7,9,ムーランオランジュ
3,,5,トモジャユニベール,牡,3,464,+14,+14,13,193.6, , 95,10,54,▲,,小林美駒,(美),小笠倫弘,アドマイヤマーズ,Galileo,,ニアークティック系,10,11,4東3,初,新馬,ダ,1600,稍,,小林,53.0,▲,9,35.3,10,2.4,7,,,14,14,37.92,39.1,8,セイントエルモズ
3,,6,サムシングニュー,牡,3,476,  0,0,5,21.0, , 98,5,54,▲,*,舟山瑠泉,(美),鹿戸雄一,エイシンフラッシュ,タートルボウル,,ニアークティック系,9,28,4中9,3,未勝利*,芝,2000,良,,柴田,55.0,,10,177.3,8,2.0,6,9,9,9,8,37.80,34.5,4,コッツォリーノ
4,,7,テンバコウクウ,牡,3,472,+ 6,+ 6,15,415.2, , 85,16,57,,*,松岡正海,(美),柄崎将寿,ハッピースプリント,スピルバーグ,,,10,18,4新1,4,未勝利*,ダ,1800,良,,丸田,56.0,,13,288.5,13,4.8,13,11,13,10,12,38.60,42.3,13,ゴールデンブラッド
4,,8,ライヴマルガリータ,牝,3,460,- 4,- 4,12,170.1, , 97,7,55,,,木幡巧也,(美),牧光二,モズアスコット,サムライハート,,ロイヤルチャージャー系,1,11,1中4,4,未勝利・牝,ダ,1800,良,,木幡,55.0,,9,47.6,10,2.6,9,8,12,12,12,39.40,40.7,9,ノーブルクラウド
5,,9,チャンピオンホース,牡,3,464,- 2,- 2,10,114.4, , 95,10,57,,*,石川裕紀,(美),尾形和幸,ダノンスマッシュ,クロフネ,,ニアークティック系,12,28,5中8,2,未勝利*,ダ,1200,良,,舟山,53.0,▲,7,23.8,14,1.9,3,,,4,6,34.50,40.5,14,ピュール
5,,10,ユイノナナフシギ,牡,3,472,- 2,- 2,9,56.6, , 92,13,54,▲,*,石神深道,(美),深山雅史,ヤマカツエース,ワールドエース,,,1,4,1中1,17,未勝利,芝,1600,良,,長岡,57.0,,13,171.2,10,1.1,8,,6,7,9,35.82,35.9,13,タイセイアストロ
6,,11,パワポケウォーズ,牡,3,430,+ 2,+ 2,11,146.5, , 97,7,57,,,小林凌大,(美),大和田成,リアルスティール,スクリーンヒーロー,,ロイヤルチャージャー系,12,28,5中8,2,未勝利*,ダ,1800,良,,小林,56.0,,9,115.8,11,2.1,4,3,3,4,4,38.75,41.5,13,タイセツナヒ
6,,12,モリインビクタス,牡,3,476,  0,0,16,559.4, , 90,14,54,▲,,遠藤汰月,(美),伊藤伸一,ストーミーシー,タイキシャトル,,ロイヤルチャージャー系,1,4,1中1,4,未勝利,ダ,1800,稍,,遠藤,54.0,▲,10,184.1,11,4.8,11,12,12,11,11,39.10,41.1,8,フィンガー
7,,13,ウリズンベー,牡,3,470,+ 2,+ 2,1,1.7, ,107,1,57,,*,横山武史,(美),萩原清,ルヴァンスレーヴ,キングカメハメハ,,ネイティヴダンサー系,11,1,4東A,3,未勝利*,ダ,1600,不,,岩田,56.0,,2,5.6,5,0.8,2,,,8,8,35.88,37.0,3,アルカディアカフェ
7,,14,ショウナンバーボン,牡,3,464,+ 4,+ 4,3,5.0, , 98,5,57,,*,戸崎圭太,(美),加藤士津,サートゥルナーリア,ハーツクライ,,ロイヤルチャージャー系,12,20,5中5,16,未勝利*,芝,1800,良,,横山,56.0,,7,32.6,10,1.5,2,14,14,11,9,36.95,35.2,8,ミスターライト
8,,15,ツウキンカイソク,牡,3,458,  0,0,2,4.0, , 97,7,57,,,菅原明良,(美),岩戸孝樹,サトノアラジン,スウェプトオーヴァーボード,,ネイティヴダンサー系,12,20,5中5,2,未勝利*,芝,1800,良,,菅原,56.0,,12,116.4,5,1.0,14,2,2,2,2,36.65,35.3,11,ミスターライト
8,,16,シャトーベスト,牡,3,506,-16,-16,14,341.6, , 86,15,57,,,原田和真,(美),蛯名利弘,アメリカンペイトリオット,ゴールドアリュール,,ロイヤルチャージャー系,1,4,1中1,9,未勝利,ダ,1800,稍,,原田,57.0,,12,313.9,12,4.4,11,11,11,11,11,37.90,43.8,10,サトノリシャール
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011706010603,2026.1.17,土,中山,1中6,3,,新馬,ダート,1800,,4,良,晴,16,11:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,エッジランナー,牡,3,444,,,13,82.7, ,  0,,57,,,松岡正海,(美),戸田博文,サンダースノー,エスポワールシチー,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,エメラルファイン,牡,3,486,,,10,49.6, ,  0,,54,▲,,上里直汰,(美),勢司和浩,ルヴァンスレーヴ,スペシャルウィーク,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,サイモングリーマン,牡,3,488,,,16,209.6, ,  0,,57,,,丸山元気,(美),根本康広,リアルインパクト,キンシャサノキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,クワッドマリニン,牡,3,490,,,11,72.5, ,  0,,57,,,木幡巧也,(美),久保田貴,ニューイヤーズデイ,ハービンジャー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,ジーティーブラック,牡,3,518,,,5,14.0, ,  0,,57,,,菊沢一樹,(美),菊沢隆徳,キタサンブラック,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,モロノカガヤキ,牡,3,484,,,4,11.3, ,  0,,57,,,津村明秀,(美),林徹,ゴールドドリーム,カレンブラックヒル,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,ガムラスタン,牡,3,530,,,6,14.4, ,  0,,57,,,横山琉人,(美),斎藤誠,サンダースノー,ネオユニヴァース,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,サンライズジョー,牡,3,484,,,8,21.8, ,  0,,54,▲,,石神深道,(栗),小椋研介,サンライズソア,アグネスタキオン,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,キイチムーブメント,セ,3,488,,,15,196.8, ,  0,,57,,,小林脩斗,(美),青木孝文,エスポワールシチー,ディープスカイ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,タイセイブルーム,牡,3,498,,,14,84.8, ,  0,,57,,,北村宏司,(美),古賀慎明,マテラスカイ,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,ベルウッドバモス,牡,3,522,,,7,21.5, ,  0,,57,,,横山武史,(美),中舘英二,ビッグアーサー,ダイワメジャー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,ゴンタ,牡,3,524,,,9,29.7, ,  0,,57,,,石橋脩,(栗),小崎憲,ホッコータルマエ,ゴールドアリュール,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,スターツトゥデイ,牡,3,492,,,1,2.8, ,  0,,57,,,石川裕紀,(美),萩原清,ナダル,キンシャサノキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,インディヴァイン,牡,3,536,,,3,4.8, ,  0,,54,▲,,舟山瑠泉,(美),林徹,インディチャンプ,キンシャサノキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,ロードクローザー,牡,3,524,,,2,3.8, ,  0,,57,,,横山和生,(美),田村康仁,ナダル,シンボリクリスエス,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,イエローマジック,牡,3,506,,,12,77.9, ,  0,,55,△,,長浜鴻緒,(美),根本康広,マインドユアビスケッツ,ステイゴールド,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011706010604,2026.1.17,土,中山,1中6,4,,未勝利,障害(直線ダ),2880,,,良,晴,14,11:35,,定量,４上
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ゴーツウキリシマ,牝,6,458,- 6,- 6,4,7.7, ,101,7,58,,,黒岩悠,(栗),牧田和弥,ナムラタイタン,グラスワンダー,,ロイヤルチャージャー系,12,21,5中6,12,障害未勝利,障ダ,2880,重,,黒岩,58.0,,5,5.4,11,9.1,6,6,6,8,7,,14.3,,ダノンロッキー
2,,2,ワキノノーブル,牝,5,458,- 8,- 8,12,264.9, , 87,11,58,,*,難波剛健,(栗),宮本博,トウケイヘイロー,スペシャルウィーク,,ロイヤルチャージャー系,12,7,5名2,17,１勝ｸﾗｽ・牝,ダ,1400,良,,川端,53.0,▲,15,420.3,16,2.8,16,,,4,3,35.93,40.1,16,マーゴットレーヴ
