レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081601010801,2026.8.16,日,札幌,1札8,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
2,,2,ゴートゥービッツン,牝,2,7,37.2, , 89,7,52,▲,,遠藤汰月,(美),伊藤伸一,ダノンスマッシュ,ハービンジャー,,ニアークティック系,8,8,1札5,3,未勝利*,芝,1500,稍,,遠藤,52.0,▲,12,147.9,12,1.3,11,,2,2,6,36.00,37.4,13,チカバリエンテ
3,,3,タイフーンナイン,牝,2,1,3.1, ,123,1,55,,,佐々木大,(栗),柴田卓,ダノンプレミアム,"Storm Cat",,ニアークティック系,7,19,1函C,5,未勝利*,芝,1200,重,,佐々,55.0,,2,4.9,2,0.1,2,,,1,1,35.70,36.4,4,ステラトップガン
4,,4,テイクケア,牝,2,5,15.0, , 86,8,51,★,*,河原田菜,(美),和田正一,ジャンダルム,ヘニーヒューズ,ロイヤルチャージャー系,,7,25,1札1,3,未勝利*,芝,1200,良,,横山,55.0,,7,77.8,7,1.4,5,,,8,8,36.10,35.3,6,ヌーンベルク
5,,5,リアルジャパン,牡,2,2,3.2, ,101,3,55,,,吉田隼人,(栗),大橋勇樹,シスキン,"Pioneerof the Nile",,ネイティヴダンサー系,8,8,1札5,3,未勝利*,芝,1500,稍,,吉田,55.0,,6,11.2,10,1.1,5,,3,2,3,36.07,37.1,12,チカバリエンテ
6,,6,キチロクタワー,牡,2,3,3.2, ,109,2,54,☆,,長浜鴻緒,(美),松永康利,タワーオブロンドン,アグネスタキオン,,ロイヤルチャージャー系,7,19,1函C,2,未勝利*,芝,1200,重,,長浜,54.0,☆,3,5.1,4,0.3,3,,,2,2,35.70,36.6,6,ステラトップガン
7,,7,スクレイプバイ,牡,2,8,39.0, , 99,4,55,,,横山琉人,(栗),高橋義忠,ミスターメロディ,キングヘイロー,,ニアークティック系,8,1,1札3,初,新馬,芝,1500,稍,,横山,55.0,,9,111.6,10,3.1,8,,4,4,4,36.80,38.3,9,ブルージェイ
8,,8,モミスケ,牡,2,4,5.7, , 95,6,52,▲,*,小林美駒,(美),水野貴広,ビッグアーサー,ゼンノロブロイ,,ロイヤルチャージャー系,7,25,2新1,初,新馬,ダ,1200,稍,,武藤,55.0,,10,39.1,10,1.9,14,,,12,12,36.80,38.1,4,ミカミッチー
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081601010803,2026.8.16,日,札幌,1札8,3,,1勝,芝,1800,A,4,良(暫定),晴(暫定),14,11:00,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
