レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026010406010101,2026.1.4,日,中山,1中1,1,,未勝利,ダート,1200,,2,稍,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ジーナグレイス,牝,3,422,-10,-10,13,118.8, , 95,11,55,,*,丸山元気,(美),田中勝春,キセキ,ステイゴールド,,ロイヤルチャージャー系,11,1,4東A,初,新馬,ダ,1400,不,,遠藤,52.0,▲,14,104.3,6,1.8,16,,,6,5,36.75,37.3,8,ビルバンテ
1,,2,フロリスタン,牝,3,474,- 6,- 6,16,362.7, , 87,15,55,,,原田和真,(美),松山将樹,スマートファルコン,ティンバーカントリー,ロイヤルチャージャー系,ネイティヴダンサー系,10,11,4東3,4,未勝利*,ダ,1300,良,,原田,55.0,,13,244.5,15,3.6,15,,,8,9,37.37,40.1,15,マジッククッキー
2,,3,ファストワーカー,牝,3,496,- 2,- 2,12,78.0, , 93,13,55,,*,菊沢一樹,(美),伊藤大士,ニューイヤーズデイ,ゼンノロブロイ,,ロイヤルチャージャー系,10,11,4東3,2,未勝利*,ダ,1300,良,,丹内,55.0,,6,14.5,16,4.2,6,,,4,9,37.37,40.7,16,マジッククッキー
2,,4,マメーアップル,牝,3,438,+10,+10,3,7.9, ,114,2,52,▲,,小林美駒,(美),岩戸孝樹,マテラスカイ,キングカメハメハ,,ネイティヴダンサー系,12,13,5中3,8,未勝利・牝*,ダ,1200,良,,小林,52.0,▲,6,9.9,2,0.2,4,,,2,2,34.40,39.3,3,ベアアッコチャン
3,,5,メインテーマ,牝,3,488,+ 6,+ 6,8,43.3, ,108,3,55,,*,内田博幸,(美),小手川準,サートゥルナーリア,ダイワメジャー,,ロイヤルチャージャー系,12,20,5中5,5,未勝利*,ダ,1200,良,,丹内,55.0,,4,6.6,6,1.2,4,,,7,6,35.00,38.7,8,シュピラー
3,,6,バーヴァンシー,牝,3,486,+ 2,+ 2,11,54.4, , 97,9,52,▲,*,舟山瑠泉,(美),村田一誠,リオンリオン,アグネスタキオン,,ロイヤルチャージャー系,11,29,5東7,13,未勝利*,芝,1400,良,,三浦,55.0,,11,79.3,9,0.9,18,,,15,15,36.38,34.1,1,アグネスクレスト
4,,7,ラストシャイニー,牝,3,428,- 2,- 2,5,22.4, ,107,5,55,,*,矢野貴之,(美),千葉直人,ダノンプレミアム,フジキセキ,,ロイヤルチャージャー系,10,4,4東1,3,未勝利*,ダ,1600,良,,横山,55.0,,5,13.5,6,2.9,7,,,3,2,36.30,41.3,10,テンカムテキ
4,,8,トウシンラヴ,牝,3,446,- 2,- 2,9,46.6, , 96,10,55,,,菅原明良,(美),高柳瑞樹,ビッグアーサー,スペシャルウィーク,,ロイヤルチャージャー系,10,18,4東6,初,新馬・牝,芝,1400,良,,菅原,55.0,,9,17.0,9,1.0,8,,,9,9,37.65,34.1,14,エピッククイーン
5,,9,タマモシルエット,牝,3,468,  0,0,6,22.4, ,105,7,55,,*,丹内祐次,(美),伊藤圭三,シャンハイボビー,ダノンシャンティ,,ロイヤルチャージャー系,12,6,5中1,初,新馬,ダ,1200,良,,横山,55.0,,5,9.0,7,1.1,7,,,10,10,37.20,37.0,2,トワイライトサイト
