レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060705030201,2026.6.7,日,東京,3東2,1,,未勝利,ダート,1400,,2,良(暫定),晴(暫定),16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,カゼノオモイデ,牝,3,10,39.3, , 84,15,55,,*,野中悠太,(美),佐藤吉勝,イスラボニータ,アドマイヤムーン,,ネイティヴダンサー系,4,11,1福1,初,未勝利,芝,1200,良,,丸山,55.0,,14,162.2,14,2.3,8,,,13,13,35.40,35.5,12,デンプシー
1,,2,ハクサンミレイ,牝,3,9,27.1, , 99,9,55,,,大野拓弥,(美),松山将樹,シルポート,タニノギムレット,,ロイヤルチャージャー系,5,16,2東7,3,未勝利・牝,ダ,1400,良,,大野,55.0,,12,59.4,5,0.8,10,,,2,2,36.60,38.3,11,オーシャンステラ
2,,3,キタノローズ,牝,3,4,7.3, ,106,4,55,,,菅原明良,(美),室井潔,サンダースノー,アドマイヤムーン,,ネイティヴダンサー系,5,24,2東A,6,未勝利・牝,ダ,1400,稍,,菅原,55.0,,10,157.3,5,0.3,6,,,4,4,35.63,38.2,8,オテンバプリンセス
2,,4,ユキノサイエンス,牝,3,8,21.4, , 99,9,55,,*,北村宏司,(美),小野次郎,ノヴェリスト,ブラックタイド,その他のエクリプス系,ロイヤルチャージャー系,2,28,2中1,7,未勝利,ダ,1200,重,,柴田,55.0,,10,94.1,6,1.2,14,,,10,10,35.20,36.9,5,リゾートライン
3,,5,カーボフリオ,牝,3,3,5.3, ,114,1,52,▲,,佐藤翔馬,(美),高木登,ナダル,ディープインパクト,,ロイヤルチャージャー系,5,16,2東7,3,未勝利・牝,ダ,1400,良,,佐藤,52.0,▲,4,6.2,2,0.4,3,,,14,13,37.58,36.6,2,オーシャンステラ
3,,6,ダイユウレゾナンス,牝,3,16,99.0, , 88,14,53,△,*,舟山瑠泉,(美),松永康利,ローレルゲレイロ,クロフネ,ニアークティック系,ニアークティック系,5,10,2東6,3,未勝利,ダ,1400,良,,佐藤,52.0,▲,15,480.0,11,1.6,13,,,12,12,37.50,37.9,8,フルールサシェ
4,,7,エリースノー,牝,3,2,4.6, ,109,3,55,,,津村明秀,(美),武市康男,サンダースノー,ケイムホーム,,ネイティヴダンサー系,5,24,2東A,5,未勝利・牝,ダ,1400,稍,,津村,55.0,,9,134.3,3,0.2,9,,,7,7,35.93,37.7,5,オテンバプリンセス
4,,8,ビリキナータ,牝,3,6,9.4, ,104,6,55,,*,杉原誠人,(美),大和田成,クリソベリル,オルフェーヴル,,,5,17,2東8,初,未勝利・牝,ダ,1600,良,,岩田,55.0,,2,5.2,12,2.8,8,,,3,3,36.66,40.4,14,ミライヘノティアラ
5,B,9,ルクリーシア,牝,3,11,46.3, ,101,7,55,,*,ゴンサル,(美),黒岩陽一,ロードカナロア,ハーツクライ,,ロイヤルチャージャー系,4,23,浦和,9,ツイン,ダ,1400,稍,,丹内,54.0,,3,,2,0.0,,1,2,1,1,,----,,ノリノリソックス
5,,10,アジーザム,牝,3,13,48.6, , 96,11,52,▲,,上里直汰,(美),松尾卓哉,ドレフォン,ディープインパクト,,ロイヤルチャージャー系,3,21,2中7,8,未勝利・牝,ダ,1200,良,,上里,52.0,▲,10,90.1,8,1.5,9,,,8,8,35.20,39.2,8,ペイトー
6,,11,テンハートビート,牝,3,5,9.0, ,112,2,55,,*,丹内祐次,(美),西田雄一,リオンディーズ,ゼンノロブロイ,,ロイヤルチャージャー系,3,21,2中7,2,未勝利・牝,ダ,1200,良,,津村,55.0,,2,3.8,4,0.5,2,,,3,3,34.40,39.0,5,ペイトー
6,,12,ロンバスブレス,牝,3,1,4.3, ,100,8,55,,,菊沢一樹,(美),石栗龍彦,イスラボニータ,エンパイアメーカー,,ネイティヴダンサー系,5,17,1新6,初,未勝利・牝,ダ,1200,良,,菊沢,55.0,,9,53.6,5,0.8,11,,,4,6,35.20,38.3,8,マジンタクシー
7,,13,パウラメロディーア,牝,3,12,48.6, ,  0,,55,,,木幡巧也,(美),清水英克,ビッグアーサー,キズナ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,フィーユレアル,牝,3,7,20.9, ,105,5,55,,*,横山琉人,(美),斎藤誠,リオンディーズ,ハーツクライ,,ロイヤルチャージャー系,4,19,1福4,8,未勝利・牝,ダ,1700,良,,斎藤,55.0,,5,14.5,8,2.4,5,2,3,2,3,37.20,40.3,10,ベルソテイラ
8,,15,グラデュエール,牝,3,15,75.6, , 91,12,55,,,木幡初也,(美),粕谷昌央,ミスチヴィアスアレックス,ダンスインザダーク,,ロイヤルチャージャー系,5,16,2東7,4,未勝利・牝,ダ,1400,良,,木幡,55.0,,14,119.0,11,1.5,11,,,9,7,37.05,38.4,13,オーシャンステラ
8,,16,ペリバジャ,牝,3,14,50.4, , 89,13,52,▲,*,石神深道,(美),和田正一,イスラボニータ,エピファネイア,,,4,25,2東1,13,未勝利,芝,1400,良,,矢野,55.0,,15,303.1,14,1.3,11,,,13,15,36.15,34.4,7,リラ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060705030202,2026.6.7,日,東京,3東2,2,,未勝利,ダート,2100,,4,良(暫定),晴(暫定),16,10:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,クリムゾンリーフ,牡,3,2,4.4, ,119,1,57,,,ゴンサル,(美),加藤士津,クリソベリル,ルーラーシップ,,ネイティヴダンサー系,5,16,1新5,9,未勝利,ダ,1800,良,B,ゴン,57.0,,2,3.1,2,0.1,2,6,5,4,3,37.70,39.0,2,ハイロード
1,,2,キョウエイシュバル,牡,3,11,27.9, ,100,9,57,,,原優介,(美),萱野浩二,リアルスティール,マジェスティックウォリアー,,,5,17,2東8,4,未勝利,ダ,2100,良,,原優,57.0,,8,36.0,7,2.4,8,4,4,5,5,39.28,39.2,7,エクストラプッシュ
2,,3,ホグホグナナハン,牡,3,15,51.0, , 92,13,57,,*,丸田恭介,(美),小笠倫弘,オルフェーヴル,シンボリクリスエス,,ロイヤルチャージャー系,5,17,2東8,3,未勝利,ダ,2100,良,,丹内,57.0,,11,129.3,8,2.4,12,12,10,9,8,39.48,38.7,6,エクストラプッシュ
2,,4,アイムスティルミー,セ,3,5,12.8, ,107,6,57,,,江田照男,(美),手塚貴久,ダノンバラード,ヴィクトワールピサ,,ロイヤルチャージャー系,5,17,2東8,2,未勝利,ダ,2100,良,,江田,57.0,,4,6.1,6,2.2,2,4,4,2,2,38.96,39.8,9,エクストラプッシュ
3,,5,タートルインメイ,牝,3,14,46.2, ,105,8,55,,,松岡正海,(美),奥平雅士,ロージズインメイ,タートルボウル,ロイヤルチャージャー系,ニアークティック系,5,10,2東6,3,未勝利・牝,ダ,1600,良,,松岡,55.0,,4,7.3,7,1.1,4,,,8,9,37.62,38.3,7,サファイアテソーロ
3,B,6,マスカルポーネ,牝,3,6,14.5, ,116,4,55,,,武藤雅,(美),水野貴広,リオンディーズ,キズナ,,,5,10,1新4,3,未勝利・牝,ダ,1800,良,,武藤,55.0,,3,6.7,2,0.2,3,7,7,4,4,38.40,40.3,3,ヴァイヴァーイ
4,,7,ネイティヴプライド,牡,3,4,9.9, ,107,6,57,,,菅原明良,(美),高木登,クリソベリル,キングカメハメハ,,ネイティヴダンサー系,5,17,2東8,3,未勝利,ダ,2100,良,,菅原,57.0,,5,8.4,3,0.8,5,7,8,7,7,39.36,37.4,2,エクストラプッシュ
4,,8,インナーパッション,牡,3,8,16.2, ,100,9,57,,*,横山琉人,(美),斎藤誠,キズナ,"Pollard's Vision",,ネイティヴダンサー系,11,1,4東A,初,新馬,芝,1600,稍,,横山,56.0,,6,21.3,7,0.6,3,,,5,6,38.16,33.9,5,サトノヴァンクル
5,,9,ブルーフレア,牡,3,3,6.1, ,119,1,57,,,大野拓弥,(美),辻哲英,エイシンフラッシュ,キングヘイロー,,ニアークティック系,5,17,2東8,2,未勝利,ダ,2100,良,,大野,57.0,,2,4.6,2,0.4,4,1,1,1,1,38.92,38.1,3,エクストラプッシュ
5,,10,アルティシエル,牡,3,16,52.8, ,  0,,57,,,木幡巧也,(美),辻哲英,ヴァンゴッホ,フジキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
