レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026070502010801,2026.7.5,日,函館,1函8,1,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,09:50,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アイルドフルール,牝,2,4,6.7, , 92,9,51,★,*,河原田菜,(栗),田中克典,ミッキーアイル,ゴールドアリュール,,ロイヤルチャージャー系,6,28,1函6,2,未勝利*,芝,1200,良,,北村,55.0,,6,37.6,6,1.1,7,,,5,5,35.40,35.9,5,ダイシンドラゴン
2,,2,キチロクタワー,牡,2,6,12.9, , 99,4,54,☆,,長浜鴻緒,(美),松永康利,タワーオブロンドン,アグネスタキオン,,ロイヤルチャージャー系,6,21,1函4,初,新馬,芝,1200,良,,長浜,54.0,☆,9,55.8,3,0.8,6,,,8,8,35.60,34.7,2,フェリチタ
3,,3,マナベラ,牝,2,7,16.1, , 97,7,55,,,丹内祐次,(美),岩戸孝樹,フィレンツェファイア,スクリーンヒーロー,,ロイヤルチャージャー系,6,27,1函5,初,新馬,芝,1200,稍,,丹内,55.0,,6,30.4,5,0.5,4,,,2,2,34.80,35.5,4,アゴルディーノ
4,,4,ライーリーアース,牝,2,2,6.2, , 96,8,55,,,原田和真,(美),蛯名利弘,ハイランドリール,ノヴェリスト,,その他のエクリプス系,6,27,1函5,初,新馬,芝,1200,稍,,原田,55.0,,7,36.7,4,0.4,5,,,5,4,35.00,35.2,3,アゴルディーノ
5,,5,クリアストライク,牡,2,5,10.8, ,113,2,55,,*,佐々木大,(栗),田中克典,Mehmas,Anjaal,,,6,21,1函4,初,新馬,芝,1200,良,,小沢,55.0,,2,3.2,4,0.9,1,,,2,2,35.20,35.2,7,フェリチタ
6,,6,コックニー,牡,2,1,2.1, ,122,1,55,,,横山武史,(美),田中剛,タワーオブロンドン,Doyen,,ニアークティック系,6,21,1函4,初,新馬,芝,1200,良,,横山,55.0,,1,1.8,2,0.5,5,,,2,2,35.10,34.9,3,フェリチタ
7,,7,チカバリエンテ,牝,2,3,6.3, ,107,3,52,▲,,小林美駒,(栗),藤野健太,シルバーステート,エンパイアメーカー,,ネイティヴダンサー系,6,28,1函6,連,未勝利*,芝,1200,良,,小林,52.0,▲,5,7.4,2,0.3,3,,,7,6,35.60,34.9,1,ダイシンドラゴン
8,,8,リアルジャパン,牡,2,8,17.7, , 98,6,55,,*,吉田隼人,(栗),大橋勇樹,シスキン,"Pioneerof the Nile",,ネイティヴダンサー系,6,21,1函4,初,新馬,芝,1200,良,,和田,52.0,▲,6,24.8,8,1.4,4,,,4,4,35.40,35.5,8,フェリチタ
8,,9,レインボースター,牝,2,9,32.7, , 99,4,54,☆,,舟山瑠泉,(栗),加藤公太,キズナ,ブライアンズタイム,,ロイヤルチャージャー系,6,21,1函4,初,新馬,芝,1200,良,,舟山,53.0,△,5,20.0,6,1.2,9,,,8,8,35.60,35.1,6,フェリチタ
