レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011006010301,2026.1.10,土,中山,1中3,1,,未勝利,ダート,1200,,2,良,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,キョウエイハル,牝,3,450,- 4,- 4,12,111.4, , 94,11,55,,*,嶋田純次,(美),伊坂重信,トランセンド,オレハマッテルゼ,ニアークティック系,ロイヤルチャージャー系,10,26,4新4,2,未勝利・牝*,ダ,1800,良,,上里,52.0,▲,9,43.0,11,2.7,7,1,1,2,2,38.05,42.6,13,ガーネットテソーロ
1,,2,コウソクユノ,牝,3,432,- 6,- 6,9,43.5, ,103,5,55,,,杉原誠人,(美),中舘英二,ブリックスアンドモルタル,キングカメハメハ,,ネイティヴダンサー系,12,21,5中6,初,新馬,ダ,1200,重,,杉原,55.0,,6,9.5,5,0.8,12,,,9,9,36.10,37.0,2,ファンシーズ
2,,3,ジャメビュ,牝,3,428,+ 2,+ 2,7,36.7, ,108,3,52,▲,,遠藤汰月,(美),佐藤吉勝,ダノンレジェンド,ファスリエフ,,ニアークティック系,12,27,5中7,3,未勝利・牝*,ダ,1200,稍,,遠藤,52.0,▲,6,21.0,4,0.5,11,,,7,8,34.90,38.1,4,コウジハラ
2,,4,ルージュノヴァ,牝,3,482,+28,+28,14,357.3, , 83,16,52,▲,*,石田拓郎,(美),萱野浩二,アメリカンペイトリオット,Tapit,,ナスルーラ系,9,28,4中9,3,未勝利*,ダ,1800,良,,上里,52.0,▲,12,356.3,11,5.3,11,11,11,12,12,38.70,42.5,11,ハイライトニング
3,,5,フラゲルムデイ,牝,3,472,+22,+22,16,438.5, , 84,15,52,▲,*,舟山瑠泉,(美),石栗龍彦,ベストウォーリア,マツリダゴッホ,,ロイヤルチャージャー系,9,14,4中4,5,未勝利・牝*,ダ,1200,稍,,水沼,52.0,▲,15,328.3,15,4.2,15,,,11,13,35.40,41.4,15,クイーンレグナント
3,,6,ヴィビーム,牝,3,446,+10,+10,8,37.1, ,104,4,55,,,菊沢一樹,(美),岩戸孝樹,ベストウォーリア,"Fusaichi Pegasus",,ネイティヴダンサー系,7,20,2福8,3,未勝利*,ダ,1150,良,,菊沢,55.0,,3,4.3,4,1.4,2,,,3,3,35.13,38.3,4,ライフオブラクーン
4,B,7,チャーミングアイ,牝,3,472,+ 4,+ 4,13,120.5, , 95,9,55,,*,小林脩斗,(美),菊川正達,マテラスカイ,ディープインパクト,,ロイヤルチャージャー系,12,27,5中7,6,未勝利・牝*,ダ,1200,稍,,佐々,55.0,,13,215.3,8,0.8,14,,,3,3,34.40,38.9,11,コウジハラ
4,,8,カンレイスター,牝,3,444,- 4,- 4,2,3.9, ,115,2,55,,*,戸崎圭太,(美),矢野英一,シスキン,ヴィクトワールピサ,,ロイヤルチャージャー系,12,20,5中5,4,未勝利*,ダ,1200,良,,富田,55.0,,6,16.3,2,0.1,6,,,2,2,34.40,38.2,5,シュピラー
5,B,9,ローズライズ,牝,3,448,  0,0,11,97.9, , 95,9,51,★,,谷原柚希,(美),伊藤圭三,マジェスティックウォリアー,エスポワールシチー,,,11,8,5東1,3,未勝利*,ダ,1300,良,,谷原,51.0,★,8,95.4,11,3.0,13,,,15,15,38.23,37.7,4,プルメリアリノ
