レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092006040601,2026.9.20,日,中山,4中6,1,,未勝利,ダート,1800,,4,良(暫定),曇(暫定),16,10:00,,馬齢,２歳
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092006040602,2026.9.20,日,中山,4中6,2,,未勝利,芝,1600,C,3,良(暫定),曇(暫定),16,10:35,牝,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ホワイトホール,牝,2,7,16.2, ,102,4,55,,,嶋田純次,(美),清水英克,ロジャーバローズ,スウェプトオーヴァーボード,,ネイティヴダンサー系,8,29,3新3,初,新馬,芝,1400,良,,嶋田,55.0,,10,68.8,7,1.6,4,,,11,10,36.30,36.3,11,エクラドリオン
2,,2,フォンターナドーロ,牝,2,8,17.5, , 95,7,55,,,菊沢一樹,(美),菊沢隆徳,アルアイン,エリシオ,,ニアークティック系,8,8,2新5,初,新馬,芝,1800,良,,菊沢,55.0,,7,41.7,11,2.7,5,,,2,3,36.85,36.2,12,コラリオン
3,,3,セレスティナ,牝,2,2,4.1, ,111,2,55,,*,武豊,(美),高柳瑞樹,コントレイル,Ghostzapper,,ニアークティック系,8,29,3新3,初,新馬,芝,1400,良,,今村,53.0,◇,2,7.5,5,0.8,9,,,7,7,36.08,35.8,5,エクラドリオン
3,,4,ベールダウン,牝,2,5,13.2, , 96,6,53,△,,石神深道,(美),松尾卓哉,フィレンツェファイア,アドマイヤマックス,,ロイヤルチャージャー系,8,2,2新4,初,新馬,芝,1600,良,,石神,53.0,△,6,22.7,9,0.7,12,,,12,11,37.74,34.5,5,ニシノトラノスケ
4,,5,リアスハート,牝,2,6,14.7, , 95,7,55,,,武藤雅,(美),水野貴広,エフフォーリア,Bodemeister,,,8,30,3新4,初,新馬,芝,1800,良,,武藤,55.0,,5,9.1,10,3.0,6,,,5,4,37.90,36.2,11,チェスティーノ
4,,6,カラスアゲハ,牝,2,12,43.9, , 84,13,52,▲,*,佐藤翔馬,(美),佐藤吉勝,ワールドプレミア,ゴールドアリュール,,ロイヤルチャージャー系,8,29,3名3,初,新馬・牝,芝,1400,良,,永島,53.0,◇,9,81.4,12,3.2,12,,,12,12,38.03,35.9,11,ビンチャリ
5,,7,レイナクリューソス,牝,2,13,46.2, , 94,9,55,,,石橋脩,(美),池上昌和,Starspangledbanner,"Monsieur Bond",,ニアークティック系,9,6,4中2,初,新馬,芝,1600,稍,,石橋,55.0,,13,123.2,10,2.4,6,,15,12,13,37.98,35.9,7,アイムオンアロール
5,,8,アヴァンデセール,牝,2,4,9.2, ,102,4,55,,*,丹内祐次,(美),田中剛,タワーオブロンドン,スペシャルウィーク,,ロイヤルチャージャー系,8,29,3新3,初,新馬,芝,1400,良,,佐藤,52.0,▲,9,61.0,9,1.6,18,,,7,7,36.08,36.6,14,エクラドリオン
6,,9,ラヴレイン,牝,2,10,29.9, , 85,12,55,,*,松岡正海,(美),松山将樹,サリオス,ヴィクトワールピサ,,ロイヤルチャージャー系,8,16,2新8,初,新馬,芝,1600,良,,小崎,55.0,,11,164.4,12,2.7,10,,,13,13,37.68,34.2,6,トップレイアー
6,,10,セイウンコハルタ,牝,2,9,21.6, , 87,11,54,☆,,長浜鴻緒,(美),柄崎将寿,リーチザクラウン,キンシャサノキセキ,ロイヤルチャージャー系,ロイヤルチャージャー系,7,11,1函9,3,未勝利*,ダ,1000,稍,,長浜,54.0,☆,8,98.3,10,3.6,8,,,6,8,36.00,38.7,10,ラピッドテソーロ
7,,11,アテナブレイブ,牝,2,1,3.1, ,117,1,55,,,三浦皇成,(美),手塚貴徳,サリオス,エピファネイア,,,8,16,2新8,3,未勝利・牝*,芝,1600,良,,三浦,55.0,,4,16.1,2,0.0,5,,,1,1,35.88,34.3,6,サトノスプレマシー
7,,12,ジェイエルキール,牝,2,3,6.5, ,109,3,55,,,江田照男,(美),菊川正達,ノーブルミッション,サウスヴィグラス,,ネイティヴダンサー系,8,29,3新3,初,新馬,芝,1400,良,,江田,55.0,,12,135.2,2,0.4,14,,,1,1,35.33,36.4,13,エクラドリオン
8,,13,セールデュクール,牝,2,11,34.7, , 93,10,55,,*,木幡巧也,(美),深山雅史,ベンバトル,リーチザクラウン,,ロイヤルチャージャー系,8,29,2札3,連,未勝利・牝*,芝,1500,稍,,和田,52.0,▲,12,296.7,6,1.7,12,,9,6,7,36.13,37.5,8,タプティ
8,,14,ヌンエリン,牝,2,14,67.6, , 82,14,53,△,*,石田拓郎,(美),秋本大介,ゴールドドリーム,ローエングリン,,ニアークティック系,8,2,2新4,初,新馬,ダ,1800,良,,野中,55.0,,11,158.3,12,12.2,11,7,8,11,11,39.60,48.9,12,リーチツモドライチ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092006040603,2026.9.20,日,中山,4中6,3,,未勝利,芝,2000,C,4,良(暫定),曇(暫定),18,11:05,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,オオルリ,牝,2,13,29.0, , 90,11,55,,,原優介,(美),水野貴広,ベンバトル,トーセンホマレボシ,,ロイヤルチャージャー系,8,30,3新4,初,新馬,芝,1800,良,,原優,55.0,,11,132.8,7,2.7,11,,,9,9,38.20,35.3,6,チェスティーノ
2,,2,ハンデンブレイズ,牡,2,6,16.2, ,104,4,55,,,小崎綾也,(美),伊藤大士,ファインニードル,エンパイアメーカー,,ネイティヴダンサー系,8,30,3新4,8,未勝利*,芝,2000,良,,小崎,55.0,,5,14.9,4,0.3,6,6,5,4,4,37.54,36.3,2,ニシノリリックス
3,,3,セイウンオオゾラ,牡,2,2,6.3, ,107,3,55,,,大野拓弥,(美),小手川準,ゴールドシップ,Wilburn,,,8,9,2新6,9,未勝利*,芝,2000,良,,大野,55.0,,8,51.5,6,1.2,10,14,14,14,14,37.20,34.4,1,ラガリーガ
