レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026020705010301,2026.2.7,土,東京,1東3,1,,未勝利,ダート,1400,,2,良,曇,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,マドンナアスク,牝,3,462,,,12,236.7, ,  0,,55,,,小林脩斗,(美),青木孝文,アスクピーターパン,ゼンノロブロイ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,キタノオンザバス,牝,3,448,,,11,232.4, ,  0,,52,▲,,上里直汰,(美),蛯名利弘,シュヴァルグラン,Singspiel,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,スウェーバック,牝,3,438,,,13,265.6, ,  0,,55,,,菅原隆一,(美),天間昭一,パイロ,ストリートセンス,ナスルーラ系,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,ジャメビュ,牝,3,428,  0,0,8,26.1, ,104,5,52,▲,,遠藤汰月,(美),佐藤吉勝,ダノンレジェンド,ファスリエフ,,ニアークティック系,1,10,1中3,2,未勝利・牝,ダ,1200,良,,遠藤,52.0,▲,7,36.7,5,1.2,3,,,12,11,35.90,37.9,1,ライヴレッドアイ
3,,5,ノーブルティアラ,牝,3,446,+ 2,+ 2,15,372.5, , 94,9,55,,,武藤雅,(美),水野貴広,サンダースノー,タニノギムレット,,ロイヤルチャージャー系,11,16,3福4,5,未勝利*,ダ,1150,良,,武藤,55.0,,13,170.4,9,2.9,11,,,6,6,35.35,39.3,14,ドナシェーン
3,,6,スーパーガール,牝,3,492,+ 4,+ 4,4,7.3, ,104,5,55,,*,キング,(美),伊藤圭三,ドレフォン,スズカマンボ,,ロイヤルチャージャー系,1,25,1中9,4,未勝利,ダ,1200,良,,佐藤,52.0,▲,5,11.3,5,0.7,3,,,6,5,34.90,38.7,4,アンプイットアップ
4,,7,ルージュリヴィエラ,牝,3,408,  0,0,2,3.5, ,112,2,55,,,横山和生,(美),嘉藤貴行,ニューイヤーズデイ,キングカメハメハ,,ネイティヴダンサー系,11,29,5東7,初,新馬,ダ,1400,良,,横山,55.0,,4,10.2,2,1.1,5,,,13,12,37.50,37.0,1,オクトーバーナイン
4,,8,ファーストシーン,牝,3,446,- 6,- 6,14,270.1, , 84,11,55,,,杉原誠人,(美),大和田成,オルフェーヴル,ロードカナロア,,,12,20,5中5,初,新馬,芝,2000,良,,杉原,55.0,,15,265.1,16,4.1,11,17,16,16,16,38.06,37.1,13,プラウディッツ
5,,9,エイシンウィゾール,牝,3,422,+ 2,+ 2,7,25.1, , 94,9,55,,*,松岡正海,(美),田中剛,サトノダイヤモンド,"Distorted Humor",,ネイティヴダンサー系,11,15,3福3,11,未勝利*,芝,1200,良,,丹内,55.0,,4,6.9,13,1.3,9,,,15,13,34.60,35.6,8,ロンドンオービタル
