レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026082901020301,2026.8.29,土,札幌,2札3,1,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,10:00,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アズライトアスール,牡,3,12,57.7, , 97,11,53,★,*,河原田菜,(栗),鈴木孝志,ミッキーアイル,フジキセキ,,ロイヤルチャージャー系,8,1,1札3,3,未勝利,ダ,1700,稍,,佐々,57.0,,9,79.6,7,1.2,6,3,6,4,5,37.69,39.0,8,リテラシー
2,,2,ロードステラート,牡,3,4,7.2, ,104,8,57,,*,横山和生,(栗),武英智,キタサンブラック,ダイワメジャー,,ロイヤルチャージャー系,8,15,1札7,8,未勝利,ダ,2400,良,,横山,57.0,,6,12.7,4,1.0,3,1,1,1,2,38.60,40.2,5,モロノカガヤキ
3,,3,アスコットダンス,牝,3,11,49.5, , 88,14,53,◇,*,古川奈穂,(栗),高橋康之,モズアスコット,ホワイトマズル,,ニアークティック系,7,11,1函9,8,未勝利,芝,1800,稍,,小沢,55.0,,12,80.6,13,2.5,12,2,2,3,5,35.95,38.1,13,ウインアプローチ
3,,4,ショウナンタヅナ,牡,3,10,21.6, ,112,3,57,,,池添謙一,(美),武市康男,ドレフォン,フジキセキ,,ロイヤルチャージャー系,8,15,1札7,3,未勝利,ダ,1700,良,,池添,57.0,,5,14.1,4,0.4,4,5,3,5,2,37.64,39.0,5,クルビデンス
4,,5,フロムザムーン,牡,3,8,18.3, , 99,9,57,,*,石川倭,(栗),畑端省吾,ルヴァンスレーヴ,マンハッタンカフェ,,ロイヤルチャージャー系,8,8,1札5,3,未勝利,ダ,1700,稍,,大久,54.0,▲,10,48.5,6,2.0,5,11,11,10,10,38.51,37.6,2,インタノン
4,B,6,ワンダーアスク,牝,3,6,10.0, ,109,4,55,,,川又賢治,(栗),笹田和秀,オルフェーヴル,デヒア,,ニアークティック系,8,2,1札4,3,未勝利・牝,ダ,1700,良,,川又,55.0,,5,15.2,5,1.1,9,2,2,2,2,36.33,40.3,10,ローゾフィア
5,,7,ダリアフレイバー,牝,3,14,120.4, , 91,13,55,,*,鮫島克駿,(栗),河嶋宏樹,ルヴァンスレーヴ,スウェプトオーヴァーボード,,ネイティヴダンサー系,7,8,門別,2,フェル,ダ,1700,良,,石川,55.0,,5,,6,3.9,,5,3,3,3,,----,,タイセイスライブ
5,,8,アイムスティルミー,セ,3,13,93.1, , 99,9,57,,*,古川吉洋,(美),奥平雅士,ダノンバラード,ヴィクトワールピサ,,ロイヤルチャージャー系,6,7,3東2,3,未勝利,ダ,2100,良,,江田,57.0,,9,43.8,9,3.0,8,11,11,9,8,38.28,40.0,7,インナーパッション
6,,9,ゴールデンダガー,牡,3,2,4.6, ,117,2,57,,*,横山琉人,(美),中舘英二,フィエールマン,ロックオブジブラルタル,,ニアークティック系,7,11,1函9,3,未勝利,ダ,1700,重,,横山,57.0,,--,,外,----,,,,,,,----,,チリンドリ
6,,10,クールフィデル,牡,3,7,13.2, ,106,6,57,,*,落合玄太,(美),和田勇介,サートゥルナーリア,ディープブリランテ,,ロイヤルチャージャー系,8,16,1札8,7,未勝利,芝,2000,良,,横山,57.0,,5,9.1,5,0.8,2,15,14,7,5,36.56,35.9,6,ウイルソン
7,,11,メイショウタイザン,牡,3,9,18.8, ,109,4,57,,,小沢大仁,(栗),高橋義忠,ミッキーアイル,メイショウボーラー,,ロイヤルチャージャー系,8,16,1札8,3,未勝利,ダ,1700,良,,小沢,57.0,,3,6.1,4,0.7,1,4,4,4,5,37.85,37.6,4,アルジェンタム
7,B,12,サンオブザサン,牡,3,3,5.5, ,119,1,57,,,斎藤新,(栗),高橋一哉,タニノフランケル,マツリダゴッホ,,ロイヤルチャージャー系,8,15,1札7,4,未勝利,ダ,1700,良,B,斎藤,57.0,,4,11.3,2,0.2,7,2,2,2,1,37.47,39.1,8,クルビデンス
8,,13,ベルアズーロ,牡,3,1,4.5, ,106,6,54,▲,*,小林美駒,(栗),西村真幸,フィレンツェファイア,"Medaglia d'Oro",,ニアークティック系,7,25,2名1,3,未勝利,ダ,1800,良,,吉村,57.0,,4,5.3,8,1.0,4,4,3,3,2,38.50,40.3,10,ナウオアネヴァー
8,,14,アーデルブリックス,牡,3,5,8.9, , 97,11,57,,*,北村友一,(栗),坂口智康,ブリックスアンドモルタル,アグネスタキオン,,ロイヤルチャージャー系,7,11,1函9,3,未勝利,芝,1800,稍,,舟山,56.0,☆,5,8.5,10,0.9,8,1,1,1,1,35.80,36.8,12,ウインアプローチ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026082901020302,2026.8.29,土,札幌,2札3,2,,未勝利,芝,1500,B,3,稍(暫定),曇(暫定),14,10:30,牝,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,セールデュクール,牝,2,12,68.6, , 93,9,52,▲,*,和田陽希,(美),深山雅史,ベンバトル,リーチザクラウン,,ロイヤルチャージャー系,8,23,2札2,3,未勝利*,芝,1500,良,,小林,52.0,▲,--,,外,----,,,,,,,----,,デザートスピリット
2,,2,ロゼハイスクール,牝,2,9,29.6, , 86,13,53,◇,,古川奈穂,(栗),小崎憲,ミスチヴィアスアレックス,ワークフォース,,ネイティヴダンサー系,7,11,1函9,連,未勝利*,ダ,1000,稍,,古川,53.0,◇,10,108.7,9,2.7,10,,,9,8,36.90,37.2,9,ラピッドテソーロ
3,,3,フォルトゥナロッサ,牝,2,1,2.2, ,116,1,55,,,浜中俊,(栗),武幸四郎,サートゥルナーリア,ノヴェリスト,,その他のエクリプス系,8,9,1札6,初,新馬・牝,芝,1500,良,,浜中,55.0,,3,4.2,2,0.3,1,,10,2,2,36.13,35.3,2,ウィエダンド
4,,4,セイレイカ,牝,2,7,10.8, ,112,2,55,,,横山典弘,(栗),昆貢,エフフォーリア,ディープインパクト,,ロイヤルチャージャー系,8,9,1札6,初,新馬・牝,芝,1500,良,,横山,55.0,,2,3.0,5,1.1,8,,3,4,4,36.27,35.9,7,ウィエダンド
4,,5,タプティ,牝,2,3,8.1, ,104,5,55,,,小沢大仁,(栗),岡田稲男,ダノンスマッシュ,ヴィクトワールピサ,,ロイヤルチャージャー系,8,22,2札1,初,新馬,芝,1500,良,,小沢,55.0,,9,20.7,5,0.5,5,,10,11,12,36.53,35.5,1,ツキミ
5,,6,ルギッドドランジュ,牝,2,5,9.6, ,108,3,55,,,北村友一,(美),秋本大介,ジャンダルム,ドゥラメンテ,ロイヤルチャージャー系,,8,8,1札5,6,未勝利*,芝,1500,稍,,北村,55.0,,8,17.8,3,0.1,8,,3,7,6,36.20,35.9,1,チカバリエンテ
5,,7,コイゾラ,牝,2,10,33.4, , 91,10,51,★,*,河原田菜,(美),浅利英明,インディチャンプ,ハービンジャー,,ニアークティック系,8,2,2新4,初,新馬,芝,1600,良,,石川,55.0,,11,147.7,10,0.7,7,,,2,2,37.26,35.3,11,ニシノトラノスケ
6,,8,リラカリス,牝,2,11,40.3, , 90,11,55,,*,丹内祐次,(栗),新谷功一,レイデオロ,ステイゴールド,,ロイヤルチャージャー系,8,8,1札5,4,未勝利*,芝,1500,稍,,河原,51.0,★,13,256.3,6,0.6,13,,7,9,10,36.33,36.2,6,チカバリエンテ
6,,9,ソーハッピー,牝,2,4,8.2, , 97,7,52,▲,*,小林美駒,(栗),松下武士,モズアスコット,キンシャサノキセキ,,ロイヤルチャージャー系,8,9,1札6,初,新馬・牝,芝,1500,良,,荻野,55.0,,10,55.2,4,1.0,10,,7,6,4,36.33,35.7,6,ウィエダンド
7,,10,アヴレディール,牝,2,2,7.5, ,108,3,55,,,吉田隼人,(栗),松永幹夫,ジャスタウェイ,ヨハネスブルグ,,ニアークティック系,8,9,1札6,初,新馬・牝,芝,1500,良,,吉田,55.0,,8,32.2,3,0.4,3,,2,2,2,36.07,35.5,3,ウィエダンド
7,,11,ルイスイメル,牝,2,13,97.8, , 94,8,52,▲,*,遠藤汰月,(栗),本田優,モズアスコット,ワイルドラッシュ,,ニアークティック系,8,9,1札6,初,新馬・牝,芝,1500,良,,古川,55.0,,7,25.5,10,2.1,4,,8,9,8,36.60,36.4,9,ウィエダンド
8,,12,バタフライ,牝,2,6,10.7, ,100,6,55,,,原田和真,(美),松山将樹,タワーオブロンドン,"Intense Focus",,ニアークティック系,8,9,1札6,初,新馬・牝,芝,1500,良,,原田,55.0,,9,42.5,6,1.3,13,,5,7,7,36.40,35.9,7,ウィエダンド
8,,13,サトノパラディ,牝,2,8,29.1, , 88,12,55,,*,鮫島克駿,(栗),平田修,サトノクラウン,ディープインパクト,,ロイヤルチャージャー系,7,5,1函8,初,新馬,芝,1800,良,,小林,52.0,▲,5,13.0,5,2.0,5,4,4,3,3,36.65,36.3,5,ショウナンガレオン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026082901020303,2026.8.29,土,札幌,2札3,3,,未勝利,芝,1800,B,4,稍(暫定),曇(暫定),14,11:00,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ダノンキューブ,牝,2,1,1.4, ,113,1,55,,,武豊,(栗),橋口慎介,キタサンブラック,Camelot,,,7,5,1函8,初,新馬,芝,1800,良,,武豊,55.0,,2,6.0,2,0.4,2,1,1,1,1,36.35,35.3,2,ショウナンガレオン
2,,2,サンゴート,牝,2,9,36.0, , 80,11,51,★,*,河原田菜,(美),村田一誠,インディチャンプ,ホワイトマズル,,ニアークティック系,7,18,1函B,初,未勝利*,芝,1800,良,,鷲頭,53.0,△,8,136.9,8,1.7,8,8,8,8,8,37.75,36.0,3,ロジクラウン
3,,3,エコロナイン,牡,2,3,11.3, ,110,4,55,,*,鮫島克駿,(美),加藤征弘,"St Mark's Basilica","Catcher In The Rye",,,6,13,3東3,初,新馬,芝,1400,良,,ルメ,55.0,,1,1.6,5,0.7,1,,,2,2,36.68,34.6,5,デミアン
