レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026022205010801,2026.2.22,日,東京,1東8,1,,未勝利,ダート,1400,,2,良,晴,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ネオアンボウ,牡,3,548,- 4,- 4,13,264.8, , 94,11,57,,*,小林脩斗,(美),小西一男,デクラレーションオブウォー,ダイワメジャー,,ロイヤルチャージャー系,12,28,5中8,初,新馬,ダ,1800,良,,石田,53.0,▲,12,75.7,13,8.0,11,1,1,1,3,38.50,46.7,14,クラウトロック
1,,2,チェイサー,牡,3,432,+ 4,+ 4,8,25.2, ,100,6,57,,,石川裕紀,(美),相沢郁,レイデオロ,オルフェーヴル,,,2,7,1東3,4,未勝利,ダ,1600,良,,石川,57.0,,11,106.2,4,0.8,11,,,2,2,37.20,38.3,9,フクシマブリルハム
2,,3,アトミックブレス,牡,3,514,- 4,- 4,2,4.4, ,115,2,57,,*,キング,(美),加藤征弘,カレンブラックヒル,ファルブラヴ,,ニアークティック系,1,31,1東1,初,新馬,ダ,1400,良,,戸崎,57.0,,1,2.2,3,0.8,1,,,4,4,37.95,37.9,10,ユキノグラス
2,,4,ブライトラン,牡,3,490,- 2,- 2,10,90.5, , 96,10,54,▲,*,佐藤翔馬,(美),尾形和幸,マインドユアビスケッツ,キングカメハメハ,,ネイティヴダンサー系,12,21,5名6,3,未勝利*,ダ,1800,稍,,小林,53.0,▲,7,25.4,12,3.5,7,4,5,11,14,38.75,41.2,12,マッドゲイル
3,,5,マルターズドン,牡,3,490,  0,0,6,14.0, , 98,9,57,,*,佐々木大,(美),手塚貴久,ドレフォン,キズナ,,,12,20,5中5,14,未勝利*,ダ,1800,良,,長浜,54.0,△,7,16.5,11,3.1,4,1,1,4,8,38.65,41.1,14,エコロガノン
3,,6,エコロセレナ,牝,3,466,- 4,- 4,7,14.5, ,100,6,55,,*,岩田康誠,(美),斎藤誠,コントレイル,アドマイヤムーン,,ネイティヴダンサー系,12,6,5中1,2,未勝利*,芝,1600,良,,鮫島,55.0,,5,18.5,9,0.7,8,,4,7,8,37.08,34.3,10,スミッコディスコ
4,,7,ミラビリオン,牡,3,490,+ 4,+ 4,4,9.6, ,102,5,57,,*,岩田望来,(美),伊坂重信,ベンバトル,マツリダゴッホ,,ロイヤルチャージャー系,12,20,5名5,2,未勝利*,ダ,1200,稍,,松本,55.0,☆,13,88.3,3,0.5,15,,,15,15,37.80,36.3,1,ミヤラティーニ
4,,8,マクシーン,牝,3,464,- 2,- 2,9,26.0, , 99,8,55,,*,荻野極,(美),稲垣幸雄,マジェスティックウォリアー,ゴールドアリュール,,ロイヤルチャージャー系,12,13,5中3,4,未勝利*,ダ,1800,良,,横山,55.0,,8,29.5,10,2.5,7,2,2,4,6,38.65,41.3,11,ガンダ
5,,9,ニシノランペイジ,牡,3,474,+ 6,+ 6,15,292.3, , 90,12,57,,*,池添謙一,(美),松山将樹,アジアエクスプレス,リーチザクラウン,,ロイヤルチャージャー系,12,28,5中8,11,未勝利*,ダ,1200,良,,菅原,56.0,,13,113.7,11,1.5,10,,,10,10,35.20,39.4,9,ピュール
