年月日,馬名,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1
20260724,リポサンテ,63.9,46.9,30.7,15.1,17.0,16.2,15.6,15.1
20260724,テキサスバローズ,65.8,48.4,32.3,16.5,17.4,16.1,15.8,16.5
20260724,アマンヘセル,69.3,51.6,34.9,17.8,17.7,16.7,17.1,17.8
20260724,オンナキュヌヴィ,68.3,51.2,34.0,17.0,17.1,17.2,17.0,17.0
20260724,ウインカーネリアン,62.4,46.3,30.6,15.1,16.1,15.7,15.5,15.1
20260724,サトノヴィレ,61.5,45.7,30.2,15.1,15.8,15.5,15.1,15.1
20260724,キングクレオール,69.6,50.6,32.3,15.7,19.0,18.3,16.6,15.7
20260724,ガジュノリ,70.6,51.3,33.0,16.4,19.3,18.3,16.6,16.4
20260724,ライヴスプーン,65.9,48.0,31.3,15.0,17.9,16.7,16.3,15.0
20260724,ゲンジ,69.7,51.0,32.5,15.9,18.7,18.5,16.6,15.9
20260724,ホノボノ,69.9,52.2,33.5,16.1,17.7,18.7,17.4,16.1
20260724,ウィズアツインクル,62.8,46.2,30.3,15.1,16.6,15.9,15.2,15.1
20260724,トウシンライオット,70.0,51.8,33.4,16.5,18.2,18.4,16.9,16.5
20260724,パラダイスフェイス,63.4,46.5,30.5,15.0,16.9,16.0,15.5,15.0
20260724,ラスターヴァース,63.8,47.1,31.4,15.9,16.7,15.7,15.5,15.9
20260724,ピコバレット,62.7,46.3,30.3,15.3,16.4,16.0,15.0,15.3
20260724,シュネーバレン,63.1,46.2,30.5,15.2,16.9,15.7,15.3,15.2
20260724,ニシノアナベル,72.3,53.0,35.1,18.1,19.3,17.9,17.0,18.1
20260724,ロジグローリー,64.1,46.8,31.1,15.3,17.3,15.7,15.8,15.3
20260724,ニシノミヤダシ,62.9,47.0,31.1,15.4,15.9,15.9,15.7,15.4
20260724,キュータンチャン,70.4,52.3,33.5,16.5,18.1,18.8,17.0,16.5
20260724,モナークスヴァラー,63.5,46.2,30.6,15.0,17.3,15.6,15.6,15.0
20260724,アップルザビート,72.2,53.2,35.3,17.9,19.0,17.9,17.4,17.9
20260724,サンセットブライト,69.6,51.3,33.9,16.9,18.3,17.4,17.0,16.9
20260724,レガーロデルシエロ,64.2,47.9,31.4,15.5,16.3,16.5,15.9,15.5
20260724,ヴァズレーヌ,63.7,47.6,31.3,15.4,16.1,16.3,15.9,15.4
20260724,スプレーフォール,70.3,50.8,33.4,16.8,19.5,17.4,16.6,16.8
20260724,シュヴァルノワール,64.7,48.3,31.9,15.9,16.4,16.4,16.0,15.9
20260724,キアラメンテ,66.0,48.7,32.3,16.3,17.3,16.4,16.0,16.3
20260724,ラテラルパーム,63.6,46.6,30.3,14.6,17.0,16.3,15.7,14.6
20260724,アルペンローゼ,69.8,51.9,33.9,16.6,17.9,18.0,17.3,16.6
20260724,ソフィアプルーマ,65.9,48.5,32.1,16.1,17.4,16.4,16.0,16.1
20260724,メリティス,65.7,48.8,32.1,16.1,16.9,16.7,16.0,16.1
20260724,サンアントワーヌ,64.4,47.2,31.0,15.2,17.2,16.2,15.8,15.2
20260724,アッティーヤ,65.4,47.9,31.7,15.7,17.5,16.2,16.0,15.7
20260724,レッドカロン,66.0,48.6,32.0,15.8,17.4,16.6,16.2,15.8
20260724,ビップラージャ,66.4,48.9,31.9,15.9,17.5,17.0,16.0,15.9
20260724,ウィルステート,62.2,46.1,30.8,15.4,16.1,15.3,15.4,15.4
20260724,ズイウンゴサイ,70.3,51.5,33.5,16.5,18.8,18.0,17.0,16.5
20260724,フクチャントウメイ,71.6,52.8,35.0,17.4,18.8,17.8,17.6,17.4
20260724,ショウナンタハティ,70.3,52.5,34.9,17.6,17.8,17.6,17.3,17.6
20260724,スマイルディシー,70.0,51.5,34.2,17.2,18.5,17.3,17.0,17.2
20260724,リバースザトレンド,67.4,49.7,33.0,16.2,17.7,16.7,16.8,16.2
20260724,ヘルメスギャング,65.5,48.0,31.1,15.3,17.5,16.9,15.8,15.3
20260724,ベルウッドピース,70.2,52.8,35.2,18.0,17.4,17.6,17.2,18.0
20260724,アンシュウマト,64.3,47.6,31.6,15.8,16.7,16.0,15.8,15.8
20260724,サンダーストラック,61.9,45.6,29.7,14.6,16.3,15.9,15.1,14.6
20260724,シャインアルプス,69.8,51.2,34.0,17.0,18.6,17.2,17.0,17.0
20260724,サクセスボーイ,68.0,50.5,33.7,17.2,17.5,16.8,16.5,17.2
20260724,レッドマウロア,71.5,52.2,34.8,17.2,19.3,17.4,17.6,17.2
20260724,エイシンウルクンデ,67.3,50.1,33.2,17.1,17.2,16.9,16.1,17.1
20260724,ビーズスティンガー,64.1,47.3,31.6,15.6,16.8,15.7,16.0,15.6
20260724,モーモーワン,69.9,51.5,33.9,17.5,18.4,17.6,16.4,17.5
20260724,テイクユアタイム,70.3,51.3,34.1,17.1,19.0,17.2,17.0,17.1
20260724,トランサルピナ,67.5,49.7,32.9,16.1,17.8,16.8,16.8,16.1
20260724,カツノテンス,69.3,51.4,34.0,17.1,17.9,17.4,16.9,17.1
20260724,ボールドゾーン,71.1,52.3,33.6,16.5,18.8,18.7,17.1,16.5
20260724,デイジー,62.7,45.8,29.9,14.9,16.9,15.9,15.0,14.9
20260724,シーニックビュー,74.7,53.9,35.4,17.6,20.8,18.5,17.8,17.6
20260724,アルセナール,69.8,50.7,33.1,16.5,19.1,17.6,16.6,16.5
20260724,シュラフ,69.7,51.5,33.8,16.6,18.2,17.7,17.2,16.6
20260724,オリオアルセーリオ,71.4,51.9,34.1,16.8,19.5,17.8,17.3,16.8
20260724,エマージェンス,62.1,46.4,30.4,15.1,15.7,16.0,15.3,15.1
20260724,ペイシャオーヴァル,69.9,51.3,33.6,16.9,18.6,17.7,16.7,16.9
20260724,キコリータ,62.5,45.7,30.7,15.8,16.8,15.0,14.9,15.8
20260724,ノブステップ,62.8,46.4,31.0,15.5,16.4,15.4,15.5,15.5
20260724,スカイドリーマー,72.0,52.1,34.3,16.9,19.9,17.8,17.4,16.9
20260724,サングラント,69.5,50.6,33.0,16.5,18.9,17.6,16.5,16.5
20260724,レッドレガリア,70.0,51.5,33.9,16.9,18.5,17.6,17.0,16.9
20260724,ジーナグレイス,63.2,46.4,31.2,15.7,16.8,15.2,15.5,15.7
20260724,キンバリー,70.6,52.4,35.0,17.5,18.2,17.4,17.5,17.5
20260724,コスモデュアリズム,69.2,50.8,33.8,17.5,18.4,17.0,16.3,17.5
20260724,ルフトシュピール,71.6,53.2,34.7,17.0,18.4,18.5,17.7,17.0
20260724,クムシラコ,67.3,48.9,32.1,15.4,18.4,16.8,16.7,15.4
20260724,テンクウハット,68.9,50.2,33.3,17.4,18.7,16.9,15.9,17.4
20260724,ジュエルドレーサー,65.3,48.5,32.3,16.0,16.8,16.2,16.3,16.0
20260724,ビアフォーナウ,71.4,52.6,35.0,17.4,18.8,17.6,17.6,17.4
20260724,グラウンドビート,65.2,47.9,31.4,15.3,17.3,16.5,16.1,15.3
20260724,トキメキジニア,69.7,51.9,34.6,17.3,17.8,17.3,17.3,17.3
20260724,プルシャプラ,74.1,53.3,34.6,17.2,20.8,18.7,17.4,17.2
20260724,ゴールドシャーク,71.9,52.6,34.9,17.8,19.3,17.7,17.1,17.8
20260724,タイセイプランセス,72.0,53.0,35.1,17.4,19.0,17.9,17.7,17.4
20260724,オプレントジュエル,69.5,51.3,33.8,16.9,18.2,17.5,16.9,16.9
20260724,マイネルアウルム,73.8,54.2,35.6,17.6,19.6,18.6,18.0,17.6
