年月日,馬名,5F,4F,3F,Lap3,Lap2,Lap1
20260417,サトミノエンジェル,,79.5,58.1,20.1,19.0,19.0
20260417,ハーツコンチェルト,71.3,55.4,40.1,14.6,13.5,12.0
20260417,オスロクィーン,71.0,55.0,39.8,14.5,13.2,12.1
20260417,セフィロ,70.1,54.5,39.7,14.3,13.2,12.2
20260417,スーパーバイザー,70.5,54.9,39.9,14.3,13.4,12.2
20260417,オルブライト,73.8,57.7,42.9,14.4,14.0,14.5
20260417,ディベルティスマン,70.7,54.6,39.3,14.0,13.1,12.2
20260417,プレシャスデイ,84.5,65.5,47.6,17.1,16.0,14.5
20260417,ライヴドライバー,,66.4,47.5,17.8,15.4,14.3
20260417,コスモジンバック,,66.6,48.4,17.2,16.0,15.2
20260417,ジェットブレード,67.8,52.0,38.3,13.5,12.6,12.2
20260417,ハルノアラシ,,66.4,48.6,16.9,16.0,15.7
20260417,キイチムーブメント,68.7,53.4,39.1,13.6,13.2,12.3
20260417,ポッポヘジュセヨ,,67.4,49.7,16.8,16.7,16.2
20260417,タリエシン,71.3,54.9,39.0,14.2,12.6,12.2
20260417,ルドヴィクス,,73.2,52.0,18.1,17.2,16.7
20260417,サザンエルフ,,93.8,68.7,22.8,22.4,23.5
20260417,ローズライズ,71.1,55.2,40.0,14.5,12.6,12.9
20260417,コスモラムバック,66.8,51.5,37.5,13.3,12.5,11.7
20260417,シュタットパーク,76.3,60.2,44.7,15.1,14.5,15.1
20260417,ヘデントール,,71.5,51.1,18.8,17.0,15.3
20260417,オーキッドワン,,66.2,47.7,16.9,15.9,14.9
20260417,サンダーストラック,,73.2,52.8,18.9,17.2,16.7
20260417,アローメタル,,70.5,51.1,18.8,16.8,15.5
20260417,トモジャシャトー,95.2,75.1,55.5,19.3,18.6,17.6
20260417,ウォータースパウト,85.7,67.5,50.0,17.2,16.7,16.1
20260417,ハビレ,86.1,67.0,49.6,17.0,16.5,16.1
20260417,ジョーヌミモザ,73.1,57.8,42.4,14.4,13.7,14.3
20260417,フレンドリーエール,65.9,50.4,36.4,12.5,11.8,12.1
20260417,バーヴァンシー,65.0,50.1,36.2,12.2,11.8,12.2
20260417,リケアマカロニ,73.0,57.6,42.5,14.5,13.9,14.1
20260417,ロングラン,,72.0,52.4,18.7,17.4,16.3
20260417,カサブランカキッド,,72.5,52.6,18.6,17.4,16.6
20260417,ウインイルネージュ,,67.4,48.0,17.3,15.6,15.1
20260417,イーガービーバー,,65.5,46.5,16.9,15.0,14.6
20260417,イブニングタイド,110.9,89.0,67.3,21.9,22.5,22.9
20260417,ラディアントスター,,95.0,69.7,23.6,23.2,22.9
20260417,トロピカルティー,119.6,93.0,68.7,23.5,22.6,22.6
20260417,バルダンツァ,,76.5,55.8,19.7,19.1,17.0
20260417,ドゥマーヴェリック,,68.7,49.3,17.6,15.9,15.8
20260417,ファンダム,,69.6,50.5,17.7,16.3,16.5
20260417,トルマリンテソーロ,74.2,55.9,40.1,14.6,13.1,12.4
20260417,オウケンベリー,,102.0,73.6,25.9,23.8,23.9
20260417,ユマハム,80.8,64.2,47.7,16.4,15.9,15.4
20260417,ジャンビ,,70.0,50.1,17.9,16.7,15.5
20260417,フクノブルーレイク,66.9,51.6,37.1,13.5,12.0,11.6
20260417,アームブランシュ,69.5,53.4,38.6,13.9,12.5,12.2
20260417,ユイノマチブセ,70.1,54.0,39.0,14.2,12.6,12.2
20260417,カンレイスキー,68.3,52.3,36.9,13.4,11.9,11.6
20260417,ハッピーダンシング,,63.5,46.2,15.8,15.0,15.4
20260417,カウンターセブン,,80.2,56.3,20.8,18.8,16.7
20260417,ダブルメッセージ,,63.8,46.3,16.1,15.4,14.8
20260417,リスペクトライト,,63.7,46.2,15.6,15.2,15.4
20260417,ストームアイ,,63.1,45.9,15.5,15.0,15.4
20260417,アイアンパイク,96.1,76.6,57.0,19.5,18.7,18.8
20260417,ゴールドハンマー,90.1,71.5,52.9,17.4,16.4,19.1
20260417,ミスタートントン,,89.1,63.0,22.9,20.7,19.4
20260417,プライベートアイズ,,64.0,45.8,15.8,14.9,15.1
20260417,ヘリオトロープ,,70.3,51.5,17.9,18.0,15.6
20260417,スターツトゥデイ,69.5,54.2,39.8,14.4,13.2,12.2
20260417,ニャンタロウ,101.7,80.6,58.9,19.7,19.9,19.3
20260417,タイセイモノリス,69.8,54.7,39.4,14.4,13.3,11.7
20260417,ロードブレイズ,82.9,65.8,47.9,17.3,16.0,14.6
20260417,アムールドパリ,76.6,60.1,43.6,15.1,14.5,14.0
20260417,グランフィエスタ,86.3,68.6,50.5,17.9,17.2,15.4
20260417,エピファニー,,76.7,52.0,20.6,17.0,14.4
20260417,ショウナンパトス,,65.3,47.1,16.4,15.6,15.1
20260417,パースウェイド,,65.6,47.7,17.0,15.8,14.9
20260417,キャントウェイト,71.9,55.4,39.3,14.1,12.6,12.6
20260417,ゴールデンエール,75.2,59.1,43.0,15.2,14.3,13.5
20260417,ライカ,73.4,57.7,42.3,15.0,13.7,13.6
20260417,フルールサシェ,,69.4,51.1,17.6,17.1,16.4
20260417,キョウキランブ,,56.7,40.4,14.1,13.1,13.2
20260417,プルナチャンドラ,,69.3,50.3,17.9,16.7,15.7
20260417,ディーズメンフィス,,73.2,52.2,18.8,17.4,16.0
20260417,リトルジャイアンツ,85.3,67.6,49.9,17.8,16.4,15.7
20260417,ルクスアドラー,,71.7,52.6,18.4,17.0,17.2
20260417,バギーウィップ,,65.1,46.8,16.4,15.2,15.2
20260417,インターステラ,,71.5,51.6,17.8,17.4,16.4
20260417,ユーディキウム,,71.0,52.0,18.5,16.7,16.8
20260417,チャイボーグ,,62.1,46.0,15.5,15.1,15.4
20260417,ロジルーラー,84.7,67.5,49.7,17.0,16.4,16.3
20260417,シゲルカミカゼ,,68.2,49.0,17.4,16.3,15.3
20260417,ルーンファクター,93.0,73.9,54.6,18.1,17.9,18.6
20260417,リアレスト,,75.1,54.8,18.8,18.3,17.7
20260417,スパークルレイ,93.1,74.0,54.8,18.3,17.7,18.8
20260417,キングスメッセージ,,74.6,54.8,19.0,18.3,17.5
20260417,シゲルカミカゼ,89.0,70.7,51.6,18.4,16.8,16.4
20260417,スターエンブレム,,67.4,49.7,17.0,16.8,15.9
20260417,マルチャン,69.7,54.6,38.9,14.3,12.7,11.9
20260417,ローンウルフ,69.6,54.5,38.8,14.2,12.6,12.0
20260417,ザーフィル,,93.5,66.7,23.2,22.7,20.8
20260417,トーアケルキラ,69.1,54.3,39.8,14.1,13.0,12.7
20260417,プロトポロス,64.3,50.5,37.0,14.0,11.6,11.4
20260417,トラヴェリンバンド,66.1,52.0,37.2,14.1,11.6,11.5
20260417,スマイルガーデン,65.6,51.7,36.9,14.0,11.5,11.4
20260417,セルズパワー,69.7,54.9,39.3,14.7,12.7,11.9
20260417,マハートマーベル,86.5,68.3,49.1,18.3,15.5,15.3
20260417,ロードアマルフィ,,63.9,47.4,16.0,15.7,15.7
20260417,グッジョブ,,67.8,49.0,16.5,16.0,16.5
20260417,パノラマステージ,,69.3,50.7,17.9,16.6,16.2
20260417,ルナカカオ,,71.4,51.3,18.3,17.2,15.8
20260417,サトノソティラス,67.5,52.0,37.4,14.1,12.0,11.3
20260417,シルフズミスチーフ,68.0,52.4,37.8,14.4,12.1,11.3
20260417,マハナ,,63.6,46.6,16.4,15.1,15.1
20260417,アメジストロード,92.8,73.3,53.4,20.4,17.4,15.6
20260417,タイセイジェイド,68.4,53.1,37.1,13.9,11.4,11.8
20260417,メイショウアルマ,87.1,68.8,50.2,18.0,17.1,15.1
20260417,メイショウゴッホ,88.3,69.2,50.2,18.5,15.9,15.8
20260417,ベイニーニャ,,69.7,49.0,18.8,15.7,14.5
20260417,ブルーザー,,72.2,53.5,19.0,18.0,16.5
20260417,シンゼンコジロウ,86.5,68.0,48.9,18.6,15.6,14.7
20260417,タナスーペルノーバ,69.7,55.4,40.0,14.8,12.6,12.6
20260417,ブロンテス,,66.3,50.3,16.9,16.2,17.2
20260417,フェゲフォイア,79.5,62.4,45.6,16.2,14.9,14.5
20260417,ルルフィーユ,,133.9,99.1,33.8,33.6,31.7
20260417,ラガーダブルエイト,,76.3,55.1,19.7,18.4,17.0
20260417,ブロンテス,87.5,69.7,51.9,17.5,17.3,17.1
20260417,ウイントレメンデス,88.4,69.5,50.2,18.2,16.3,15.7
20260417,オーケーキュート,,62.2,44.9,16.3,14.4,14.2
20260417,ルージュプルーヴ,,63.1,44.6,16.9,14.3,13.4
20260417,ロイスター,,61.6,44.3,16.4,14.5,13.4
20260417,シュネープリンセス,,61.2,42.9,15.4,14.0,13.5
20260417,ゼンノゾンターク,,66.3,47.6,17.5,15.2,14.9
20260417,ポニーテール,,71.6,50.7,18.5,16.1,16.1
