年月日,馬名,5F,4F,3F,Lap3,Lap2,Lap1
20260828,タイセツナヒ,71.5,55.8,41.0,14.2,13.7,13.1
20260828,ソナタテソーロ,,55.8,40.3,14.9,13.1,12.3
20260828,ハイビスカス,71.5,55.9,41.1,14.2,13.7,13.2
20260828,ボーンディスウェイ,79.0,62.2,45.8,16.3,14.9,14.6
20260828,ルスデルカミーノ,71.8,56.6,41.6,14.5,13.6,13.5
20260828,フランベリー,71.9,56.6,41.6,14.4,13.6,13.6
20260828,アルレーヴ,71.8,56.6,41.5,14.4,13.6,13.5
20260828,ミラビリオン,111.4,87.1,63.3,22.0,21.4,19.9
20260828,ｺｺﾓｵﾚﾝｼﾞの24,111.5,87.1,63.2,22.0,21.2,20.0
20260828,カテドラルクォーツ,999.9,66.7,48.4,17.0,15.9,15.5
20260828,クラシオン,69.9,53.9,39.2,13.8,13.1,12.3
20260828,ロサンゼルス,,95.2,69.4,24.0,22.7,22.7
20260828,リフレックス,70.8,55.0,40.7,14.3,13.5,12.9
20260828,フエキ,79.3,60.7,44.2,15.8,14.7,13.7
20260828,ホウオウルーレット,,64.3,47.4,16.5,15.6,15.3
20260828,ポンテヴェッキオ,,63.6,46.8,15.9,15.9,15.0
20260828,ピーエムキンチャン,71.9,55.1,39.5,14.9,13.0,11.6
20260828,ディスクリートサム,,63.7,46.9,16.0,15.9,15.0
20260828,マイネルシードル,71.4,54.8,39.3,14.9,12.8,11.6
20260828,ルークススペイ,69.0,51.8,36.3,13.3,11.8,11.2
20260828,スペシャルサンクス,,86.6,63.2,23.8,21.5,17.9
20260828,アルニタク,69.3,51.9,36.4,13.5,11.8,11.1
20260828,アルセナール,,60.9,43.4,15.5,14.5,13.4
20260828,サトノパトリオット,,61.3,43.7,15.8,14.3,13.6
20260828,ピエナモルタル,,71.1,50.8,17.9,16.4,16.5
20260828,トーキョーレギー,,71.2,50.9,18.0,16.5,16.4
20260828,チェルヴィニア,,71.9,52.8,18.2,17.6,17.0
20260828,セブンメデュラス,,65.2,46.9,16.6,15.1,15.2
20260828,アトラクティーボ,75.9,57.9,41.6,15.1,13.6,12.9
20260828,モンドプリューム,70.2,53.7,38.6,13.7,12.5,12.4
20260828,コーリンカルベラ,,68.2,49.5,17.5,16.7,15.3
20260828,サヨノジャンボリー,113.0,86.5,62.3,21.7,21.3,19.3
20260828,ユキノグラス,87.0,68.4,50.8,17.8,17.1,15.9
20260828,マサノピンクレディ,88.3,69.3,51.6,17.7,17.0,16.9
20260828,ブルードロップ,118.3,93.2,68.6,24.1,22.7,21.8
20260828,コッディ,118.3,93.2,68.6,24.1,22.8,21.7
20260828,ロジルーラー,81.5,64.5,47.7,16.3,15.7,15.7
20260828,フレイムオブキング,78.0,58.7,43.0,14.8,14.0,14.2
20260828,イーガービーバー,67.9,52.9,37.8,13.9,12.4,11.5
20260828,エバーラスト,70.0,54.7,39.6,14.2,13.0,12.4
20260828,アルビオンライズ,66.5,51.6,36.8,13.6,12.0,11.2
20260828,プリンシパルギフト,66.8,52.2,37.2,13.7,12.3,11.2
20260828,コーディアリー,87.0,69.2,51.5,17.2,17.2,17.1
20260828,ベアアッコチャン,73.0,57.5,42.6,14.9,14.4,13.3
20260828,ロードフロリゼル,81.6,64.3,47.8,16.3,15.5,16.0
20260828,イサチルクイーン,70.9,54.2,38.9,14.6,12.6,11.7
20260828,ウインターブレス,69.6,53.0,38.3,14.2,12.3,11.8
20260828,ロードキャピタル,80.9,63.7,47.0,15.9,15.5,15.6
20260828,サラフィエル,69.3,54.0,39.3,14.2,13.0,12.1
20260828,サンタンヌ,96.8,76.2,54.9,20.1,18.1,16.7
20260828,サヴィッジブロウ,82.0,64.1,46.6,16.4,15.8,14.4
20260828,ヨリナスピード,82.0,64.2,46.7,16.6,15.7,14.4
20260828,ハイトラクション,,68.5,49.6,17.0,16.2,16.4
20260828,トゥーザムーン,100.2,76.5,55.3,19.5,18.4,17.4
20260828,イサチルウィーラフ,99.7,76.4,55.1,19.3,18.2,17.6
20260828,メイショウコバト,,65.9,48.6,16.7,15.9,16.0
20260828,ジーティーブラック,,65.3,47.0,15.7,15.5,15.8
20260828,コブラ,72.0,55.4,40.5,14.9,13.0,12.6
20260828,ホウオウファミリー,74.3,58.1,42.7,15.0,14.0,13.7
20260828,カンキチ,73.6,56.5,40.9,14.8,13.2,12.9
20260828,マインドブレイズ,73.1,56.1,40.8,14.7,13.2,12.9
20260828,ベアアミーチ,98.7,77.9,58.7,20.3,19.3,19.1
20260828,ベアヒロシデス,98.1,77.8,57.4,19.7,18.9,18.8
20260828,エレスレイプニル,98.1,77.6,57.7,19.9,19.0,18.8
20260828,クールチェンジ,65.5,51.2,37.1,13.5,12.2,11.4
20260828,スカイミラー,66.4,51.9,37.6,13.6,12.3,11.7
20260828,オクトーバーナイン,85.1,65.7,47.6,16.8,15.8,15.0
20260828,ハニーオーケストラ,86.3,67.1,49.5,17.4,16.6,15.5
20260828,シュガーシャック,,59.8,42.9,15.4,14.0,13.5
20260828,セイウンランウェイ,,59.6,42.9,15.1,14.2,13.6
20260828,ロジリッパー,,60.0,43.1,15.4,14.1,13.6
20260828,サラサシンシアズ,,59.9,42.6,15.2,14.4,13.0
20260828,ツイストマインド,,59.6,42.7,15.4,13.8,13.5
20260828,アシャカトベ,82.0,62.9,44.6,16.7,14.6,13.3
20260828,ナリノシャーウッド,90.6,71.2,52.5,17.9,17.2,17.4
20260828,ボーントゥラブユー,70.2,54.4,39.7,13.7,13.2,12.8
20260828,ジャジャミン,82.2,65.3,48.7,16.3,16.2,16.2
20260828,スヴァラ,,63.6,46.8,15.4,16.1,15.3
20260828,ドナチャージ,,63.1,46.1,15.0,15.6,15.5
20260828,プルヴィナル,,64.1,47.3,16.1,16.2,15.0
20260828,メイダイ,103.5,82.8,61.3,20.5,20.7,20.1
20260828,ストラクチャー,69.3,53.4,38.7,13.9,12.8,12.0
20260828,ロイヤルタイム,73.7,57.0,41.7,14.9,13.9,12.9
20260828,イミグラントソング,,78.6,56.3,20.1,18.8,17.4
20260828,ソーンブッシュ,,77.6,55.8,19.7,18.2,17.9
20260828,ルールオーヴァー,,79.5,57.8,20.6,18.7,18.5
20260828,ブラッククラウズ,,80.4,57.3,20.0,19.4,17.9
20260828,ラブトゥエニイワン,,79.0,56.8,20.2,18.2,18.4
20260828,イブニングタイド,,71.9,53.4,18.3,18.1,17.0
20260828,ラディアントスター,,73.5,53.3,18.4,18.4,16.5
20260828,レザンクレール,,52.5,36.9,14.0,11.6,11.3
20260828,ゲイルライダー,,72.7,52.3,18.5,17.3,16.5
20260828,モンシェリ,70.5,54.8,38.0,15.3,11.2,11.5
20260828,ペンナヴェローチェ,,67.3,47.7,17.4,15.3,15.0
20260828,ショウナンガルフ,,67.6,50.0,17.6,16.5,15.9
20260828,エッセンシャルサン,,79.9,55.8,20.5,18.1,17.2
20260828,カルネアデス,,76.5,56.7,20.5,18.4,17.8
20260828,スターリーデー,,77.8,56.7,20.5,18.4,17.8
20260828,フォーエバーヤング,65.7,51.1,36.5,13.5,11.4,11.6
20260828,モズプリフォール,69.2,54.4,39.0,13.7,12.1,13.2
20260828,ニシノトリビュート,116.0,90.1,65.6,21.8,22.0,21.8
20260828,ダノンジャイアン,92.2,72.7,52.8,18.8,17.3,16.7
20260828,ブロンテス,,68.7,50.8,17.1,16.4,17.3
20260828,ブロンテス,90.2,71.3,52.5,17.8,17.1,17.6
20260828,ヴァンドゥーヴル,,70.0,50.8,18.9,16.4,15.5
20260828,リーチグローリー,,99.2,67.8,26.0,21.9,19.9
20260828,デルアヴァー,,61.4,46.3,15.7,14.9,15.7
20260828,クァンタムウェーブ,,71.1,51.2,18.4,16.3,16.5
20260828,キタノサワヤカ,,75.7,54.4,19.8,17.4,17.2
20260828,メイショウトライオ,,68.1,49.8,17.6,16.2,16.0
20260828,ランゲ,,68.1,50.0,17.0,16.5,16.5
20260828,フライングブレード,,67.3,49.2,17.8,16.0,15.4
20260828,クラッチプレイヤー,71.7,55.0,38.9,15.0,12.2,11.7
20260828,コズミックダンサー,72.1,55.3,39.0,15.0,12.2,11.8
20260828,ゴールデンステーラ,,74.9,54.2,18.8,17.7,17.7
20260828,メイショウナルカミ,88.1,71.2,53.6,18.2,17.5,17.9
20260828,フェゲフォイア,91.3,73.5,53.8,19.7,17.1,17.0
20260828,ウイナーズナイン,,74.7,54.4,19.2,18.1,17.1
20260828,ジュンブロッサム,,65.3,48.1,16.3,15.9,15.9
20260828,ジュンライデン,,61.5,45.0,16.0,14.8,14.2
20260828,サトノロザリー,,79.6,57.3,20.8,18.8,17.7
20260828,エアフォースワン,89.4,71.1,51.0,18.9,16.5,15.6
20260828,シンビリーブ,116.5,89.7,64.3,23.5,20.1,20.7
20260828,ダノンオブアイデア,,77.0,56.0,19.9,18.2,17.9
20260828,ジューンベロシティ,88.2,71.1,52.6,18.2,16.9,17.5
20260828,ケンシロウワールド,93.0,73.9,55.4,18.9,18.0,18.5
20260828,エスカル,208.9,165.9,122.1,40.8,40.8,40.5
20260828,ガイラルディア,92.3,72.5,53.5,18.5,17.5,17.5
20260828,サンコンクエスト,102.2,79.3,55.6,21.8,17.4,16.4
20260828,ベリベリハッピー,97.8,75.0,53.7,19.5,17.5,16.7
20260828,タイセイブレイズ,,76.4,55.4,20.4,18.1,16.9
20260828,ゼンノインヴォーク,,76.8,54.6,19.6,17.7,17.3
20260828,リチャードバローズ,,231.1,169.3,58.5,54.8,56.0
20260828,ルパドゥクール,,221.3,162.2,57.2,53.2,51.8
20260828,リチャードバローズ,114.8,90.4,65.9,24.2,21.2,20.5
20260828,マハナ,,67.1,48.3,17.2,15.7,15.4
20260828,ルパドゥクール,139.6,109.1,79.4,27.9,26.4,25.1
20260828,ヴォンドゥ,,73.4,54.0,19.1,17.4,17.5
20260828,ミランド,70.5,55.3,39.4,15.3,12.5,11.6
20260828,ノチェブエナ,,70.2,50.1,18.4,16.0,15.7
20260828,マーゴットプレ,69.1,53.7,38.3,14.9,12.1,11.3
20260828,リアルメッセージ,69.9,54.7,38.8,15.1,12.3,11.4
20260828,エイズルブルーム,,65.6,47.1,17.3,15.2,14.6
20260828,クリノオリーブ,,81.0,57.3,21.9,18.2,17.2
20260828,アトモス,,74.2,53.1,21.0,16.5,15.6
20260828,タマモパルファン,,73.1,52.9,19.8,17.1,16.0
20260828,アトモス,72.0,58.4,42.6,14.5,12.7,15.4
20260828,ペアピーターソン,81.5,65.2,48.1,17.1,15.5,15.5
20260828,メイショウビストロ,,73.5,54.1,19.0,17.7,17.4
20260828,マイネルフルムーン,,63.7,46.4,16.5,14.7,15.2
20260828,ペンタクルクイーン,,69.8,51.6,18.2,16.6,16.8
20260828,サンロンブル,154.3,121.2,88.1,32.6,28.4,27.1
20260828,ゲーベル,197.2,150.8,112.4,38.3,38.3,35.8
20260828,ザックザク,197.5,153.6,114.4,39.9,38.2,36.3
20260828,バニーラビット,89.2,71.7,52.6,18.5,17.2,16.9
20260828,クリコバロー,196.2,152.9,113.0,39.9,37.3,35.8
20260828,ラヴネヴァーダイズ,196.4,152.9,112.8,39.6,37.3,35.9
20260828,サンロンブル,89.0,69.5,51.0,18.1,16.6,16.3
20260828,ビーグラッド,,73.5,52.6,20.2,17.0,15.4
20260828,ルファーダ,,79.9,57.8,20.4,18.4,19.0
20260828,ビーチェマーレ,,66.1,48.3,17.2,15.4,15.7
20260828,アジュマン,,73.0,53.2,18.6,17.3,17.3
20260828,サンライズオスカー,,77.1,56.0,20.2,18.4,17.4
20260828,バルフルール,87.8,69.2,50.7,18.0,16.7,16.0
20260828,ジーティーアダマン,,234.0,176.1,53.4,64.2,58.5
20260828,マイコンプリート,,66.4,48.6,16.6,16.0,16.0
20260828,バドリナート,,72.7,52.8,19.0,16.8,17.0
20260828,オールベット,,228.7,171.8,53.6,59.6,58.6
20260828,ソルテヴェローチェ,,229.7,172.2,53.6,60.0,58.6
20260828,バドリナート,84.5,68.0,50.3,17.8,16.2,16.3
20260828,ジーティーアダマン,139.3,110.0,80.7,28.0,27.1,25.6
20260828,オールベット,157.9,125.2,91.9,32.8,30.7,28.4
20260828,ソルテヴェローチェ,157.7,124.2,91.1,32.9,30.3,27.9
20260828,セレッソデアモール,,67.4,48.6,17.5,16.0,15.1
20260828,ジーティーアダマン,124.1,91.7,64.9,24.2,20.7,20.0
20260828,オールベット,112.8,88.0,62.9,24.1,20.0,18.8
20260828,ソルテヴェローチェ,115.2,90.0,64.3,25.0,19.8,19.5
20260828,ヴェントステラーレ,,68.6,50.2,18.5,15.9,15.8
20260828,エイシンウィスパー,,68.1,49.7,18.3,16.2,15.2
20260828,サミダレナイツ,,63.7,46.2,16.6,14.9,14.7
20260828,サンダーバース,,77.5,54.2,21.5,17.2,15.5
20260828,オーレアミスト,,65.1,46.8,16.9,15.1,14.8
