年月日,馬名,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1
20260410,ライヴスプーン,56.0,41.4,26.9,13.1,14.6,14.5,13.8,13.1
20260410,ジャガード,67.4,49.0,31.3,15.4,18.4,17.7,15.9,15.4
20260410,ロードインフェルノ,70.8,52.4,34.5,17.0,18.4,17.9,17.5,17.0
20260410,エラン,62.9,46.3,29.9,14.9,16.6,16.4,15.0,14.9
20260410,マイネルアズーロ,61.4,45.6,30.2,15.7,15.8,15.4,14.5,15.7
20260410,キャストロププ,68.4,50.6,33.4,16.4,17.8,17.2,17.0,16.4
20260410,フレッシュラン,66.7,48.9,32.2,16.1,17.8,16.7,16.1,16.1
20260410,ピックデムッシュ,59.4,43.5,27.5,13.7,15.9,16.0,13.8,13.7
20260410,リポサンテ,63.1,47.0,30.9,15.4,16.1,16.1,15.5,15.4
20260410,チギリ,60.9,44.3,28.4,14.3,16.6,15.9,14.1,14.3
20260410,コウセイケンタロス,67.7,50.3,33.4,16.7,17.4,16.9,16.7,16.7
20260410,ライヴドライバー,67.7,50.3,33.2,16.3,17.4,17.1,16.9,16.3
20260410,ピカピカサンダー,61.5,44.9,29.0,14.2,16.6,15.9,14.8,14.2
20260410,グレイスルーラー,67.3,49.5,32.3,16.0,17.8,17.2,16.3,16.0
20260410,アナザーフェイス,62.0,45.1,29.2,14.3,16.9,15.9,14.9,14.3
20260410,リラ,62.8,46.5,30.5,15.1,16.3,16.0,15.4,15.1
20260410,カーブドフェザー,63.9,47.1,31.3,15.4,16.8,15.8,15.9,15.4
20260410,ピラニアキッス,64.6,48.1,31.6,16.5,16.5,16.5,15.1,16.5
20260410,カフェロワドール,64.4,48.3,31.7,15.8,16.1,16.6,15.9,15.8
20260410,ブルスカメンテ,65.6,48.0,31.2,15.1,17.6,16.8,16.1,15.1
20260410,エリーナストーム,64.5,46.7,30.2,14.7,17.8,16.5,15.5,14.7
20260410,ソーダーンライト,63.7,47.2,30.8,14.7,16.5,16.4,16.1,14.7
20260410,ウェイクフィールド,65.4,48.3,31.4,15.4,17.1,16.9,16.0,15.4
20260410,コスモクラシック,63.8,47.4,31.5,15.6,16.4,15.9,15.9,15.6
20260410,アンチェーン,63.8,47.3,31.1,15.4,16.5,16.2,15.7,15.4
20260410,レッドリアライズ,65.9,48.6,31.3,15.1,17.3,17.3,16.2,15.1
20260410,マイネルパーロル,72.9,54.5,36.1,17.8,18.4,18.4,18.3,17.8
20260410,ルージュラベル,64.6,46.7,30.4,14.6,17.9,16.3,15.8,14.6
20260410,カルダモン,59.7,43.7,28.7,14.2,16.0,15.0,14.5,14.2
20260410,セントゴーデンス,61.2,45.2,29.5,14.6,16.0,15.7,14.9,14.6
20260410,アンパドゥ,71.2,53.0,34.6,17.3,18.2,18.4,17.3,17.3
20260410,ショウナンタハティ,69.8,51.5,33.9,16.7,18.3,17.6,17.2,16.7
20260410,トレインザマインド,68.0,50.6,33.3,16.4,17.4,17.3,16.9,16.4
20260410,ブルージュ,69.7,51.0,33.6,16.7,18.7,17.4,16.9,16.7
20260410,ベルウッドピース,67.8,50.1,33.1,16.3,17.7,17.0,16.8,16.3
20260410,モロノラピド,65.3,47.8,30.9,15.0,17.5,16.9,15.9,15.0
20260410,ポンテヴェッキオ,69.7,52.0,34.5,17.2,17.7,17.5,17.3,17.2
20260410,オウケンサクラコ,64.7,47.5,31.0,15.5,17.2,16.5,15.5,15.5
20260410,フォルナカリア,69.6,51.9,34.3,17.2,17.7,17.6,17.1,17.2
20260410,ウィロークリーク,68.0,50.5,33.6,16.7,17.5,16.9,16.9,16.7
20260410,ゴーラッキー,67.0,48.9,31.6,15.9,18.1,17.3,15.7,15.9
20260410,アローメタル,71.8,52.8,34.4,17.0,19.0,18.4,17.4,17.0
20260410,パントルナイーフ,72.7,53.4,34.8,17.3,19.3,18.6,17.5,17.3
20260410,オクタヴィアヌス,71.7,53.1,35.0,17.2,18.6,18.1,17.8,17.2
20260410,ブーケドグレイス,69.6,50.9,32.9,15.6,18.7,18.0,17.3,15.6
20260410,コスモジンバック,69.2,50.9,33.4,16.8,18.3,17.5,16.6,16.8
20260410,フェデルミエール,62.4,45.6,29.7,15.1,16.8,15.9,14.6,15.1
20260410,ロッシニアーナ,71.5,53.0,34.8,17.2,18.5,18.2,17.6,17.2
20260410,アドマイヤフク,71.4,52.9,35.0,17.9,18.5,17.9,17.1,17.9
20260410,アトミックブレス,68.9,50.7,33.8,17.1,18.2,16.9,16.7,17.1
20260410,ウインルナロッサ,77.6,57.0,36.9,18.2,20.6,20.1,18.7,18.2
20260410,オーケーグレイス,69.6,51.5,33.4,16.9,18.1,18.1,16.5,16.9
20260410,グランドタルマエ,70.7,52.8,34.1,17.0,17.9,18.7,17.1,17.0
20260410,サイモンセレーノ,69.6,51.4,34.1,17.6,18.2,17.3,16.5,17.6
20260410,ヘクトルテソーロ,72.2,54.3,35.7,18.1,17.9,18.6,17.6,18.1
20260410,レッドレガリア,71.1,52.7,34.8,17.3,18.4,17.9,17.5,17.3
20260410,レジェンドヴァーサ,70.8,53.2,34.6,17.3,17.6,18.6,17.3,17.3
20260410,エコロナイン,70.3,51.6,34.3,17.7,18.7,17.3,16.6,17.7
20260410,ブルーデイジー,72.9,53.7,35.8,18.1,19.2,17.9,17.7,18.1
20260410,アイファーリーベン,72.5,53.4,34.9,16.7,19.1,18.5,18.2,16.7
20260410,ノーブルクライ,65.1,47.9,31.1,15.2,17.2,16.8,15.9,15.2
20260410,カツノテンス,69.1,51.0,33.6,17.1,18.1,17.4,16.5,17.1
20260410,ノアチュロス,70.2,51.9,33.8,16.3,18.3,18.1,17.5,16.3
20260410,アスパラゴ,69.6,51.8,33.9,16.4,17.8,17.9,17.5,16.4
20260410,ペルシアーノ,69.7,51.0,33.0,16.1,18.7,18.0,16.9,16.1
20260410,カンフーヒーロー,71.0,52.7,35.0,17.4,18.3,17.7,17.6,17.4
20260410,ニューカワイイ,64.9,48.0,31.5,15.9,16.9,16.5,15.6,15.9
20260410,ゴールドドレッサ,71.2,52.7,34.7,17.3,18.5,18.0,17.4,17.3
20260410,リオダプラタ,65.4,48.4,32.3,16.0,17.0,16.1,16.3,16.0
20260410,トップオブザキング,70.0,52.0,34.2,17.0,18.0,17.8,17.2,17.0
20260410,キャリアビジョン,64.8,48.2,31.7,15.8,16.6,16.5,15.9,15.8
20260410,ターンザテーブルス,65.4,48.6,32.1,15.4,16.8,16.5,16.7,15.4
20260410,イッツオンリーラブ,66.1,48.9,32.1,16.5,17.2,16.8,15.6,16.5
20260410,アジュアカレンツ,65.4,48.4,32.2,16.0,17.0,16.2,16.2,16.0
20260410,カシマライフウ,70.5,51.9,34.0,16.9,18.6,17.9,17.1,16.9
20260410,リマーカブル,67.7,50.1,33.2,16.4,17.6,16.9,16.8,16.4
20260410,ブラックゲイル,67.0,49.6,33.0,16.2,17.4,16.6,16.8,16.2
20260410,イセッセイ,71.4,52.2,33.6,16.0,19.2,18.6,17.6,16.0
20260410,ノボリフジ,70.1,52.2,34.1,17.4,17.9,18.1,16.7,17.4
20260410,アイレバルバドス,70.6,52.2,34.2,17.0,18.4,18.0,17.2,17.0
20260410,レッドアルティシモ,70.8,51.9,33.3,16.6,18.9,18.6,16.7,16.6
20260410,ナムアミダブツ,69.1,51.6,34.5,17.5,17.5,17.1,17.0,17.5
20260410,ビルカール,71.3,53.1,35.3,17.5,18.2,17.8,17.8,17.5
20260410,ウインボレロ,68.5,51.1,34.2,17.9,17.4,16.9,16.3,17.9
20260410,プルシャプラ,72.4,53.4,35.0,17.8,19.0,18.4,17.2,17.8
20260410,スイートオレンジ,60.6,44.5,28.7,13.7,16.1,15.8,15.0,13.7
