年月日,馬名,5F,4F,3F,Lap3,Lap2,Lap1
20260620,メアヴィア,69.3,54.4,40.1,13.8,13.3,13.0
20260620,ロスパレドネス,,69.8,50.1,18.4,16.1,15.6
20260620,アローメタル,,72.0,52.0,18.7,17.2,16.1
20260620,チェイサー,75.7,58.7,42.8,15.0,14.1,13.7
20260620,サクセスボーイ,75.6,58.6,42.5,15.1,14.2,13.2
20260620,オーケーエース,76.3,58.5,42.7,15.2,14.2,13.3
20260620,エーアイクワイ,80.3,62.2,44.8,16.1,14.8,13.9
20260620,レッドベルダンス,,71.3,51.3,18.4,16.9,16.0
20260620,ビリングス,,70.2,51.1,17.7,16.9,16.5
20260620,ダイヤモンドパレス,,70.3,50.3,18.2,16.8,15.3
20260620,ナスノソナタ,71.3,55.6,40.0,15.2,13.0,11.8
20260620,ジャストビコーズ,70.6,55.0,39.7,15.1,12.8,11.8
20260620,ドングラミ,,72.4,52.9,17.6,17.7,17.6
20260620,ﾘｱﾝﾛｰｽﾞの24,,71.0,51.6,18.0,16.6,17.0
20260620,アップルザビート,,68.1,50.1,17.7,16.6,15.8
20260620,パトリックハンサム,72.1,55.5,39.6,14.7,13.2,11.7
20260620,エイムフォーエース,67.7,51.8,37.3,13.6,12.2,11.5
20260620,アスクナイスショー,,67.7,48.8,17.5,16.0,15.3
20260620,アイアムアッパレ,,67.9,50.3,17.3,16.4,16.6
20260620,マリノシークレット,,69.5,50.7,18.9,16.2,15.6
20260620,ウインワーグナー,,67.7,49.0,17.5,16.4,15.1
20260620,ヨドノティアラ,,71.6,50.9,18.7,16.9,15.3
20260620,サルワールカミーズ,,68.0,49.3,17.6,16.1,15.6
20260620,スペシャルサンクス,,73.3,51.8,18.9,17.2,15.7
20260620,カンフーヒーロー,90.8,71.8,53.6,18.3,17.4,17.9
20260620,サイモングリーマン,91.1,72.2,54.2,18.4,17.5,18.3
20260620,グランジョルノ,,68.1,49.7,17.1,16.6,16.0
20260620,フレイコン,85.5,66.0,47.0,16.8,15.4,14.8
20260620,スリーフラワー,87.3,67.4,48.3,17.4,15.8,15.1
20260620,ダマスク,84.2,65.2,46.9,16.2,15.8,14.9
20260620,アルニタク,84.8,65.7,47.3,16.7,15.5,15.1
20260620,サトノリアン,,71.9,51.1,18.0,16.9,16.2
20260620,メリークリスマス,,63.9,45.6,15.7,15.3,14.6
20260620,ゲクウ,,70.1,50.0,17.9,17.0,15.1
20260620,スターツトゥデイ,,64.2,46.8,16.5,15.8,14.5
20260620,ディスペアーホープ,,74.2,53.2,18.5,17.9,16.8
20260620,コスモバルムンク,,74.3,53.4,18.6,18.1,16.7
20260620,ファビュラススター,81.8,65.4,48.4,16.8,16.2,15.4
