年月日,馬名,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1
20260417,ツルマウカタチ,66.7,48.8,31.6,15.5,17.9,17.2,16.1,15.5
20260417,マスカレードボール,66.1,48.8,31.7,15.7,17.3,17.1,16.0,15.7
20260417,ガジュノリ,66.9,49.6,32.6,16.4,17.3,17.0,16.2,16.4
20260417,ダンツティアラ,66.4,49.1,31.9,15.6,17.3,17.2,16.3,15.6
20260417,エラン,65.7,48.4,31.1,15.0,17.3,17.3,16.1,15.0
20260417,フレッシュラン,65.1,48.2,31.6,15.8,16.9,16.6,15.8,15.8
20260417,ライヴスプーン,59.1,44.2,29.6,14.8,14.9,14.6,14.8,14.8
20260417,ライヴドライバー,66.1,49.2,32.6,16.3,16.9,16.6,16.3,16.3
20260417,シュテルン,61.8,46.5,31.1,15.6,15.3,15.4,15.5,15.6
20260417,サノノグレーター,66.0,48.7,32.1,16.5,17.3,16.6,15.6,16.5
20260417,アールグレイ,66.3,48.8,32.3,16.1,17.5,16.5,16.2,16.1
20260417,カーブドフェザー,67.4,49.5,32.7,16.4,17.9,16.8,16.3,16.4
20260417,ベルテオドーラ,65.9,48.9,32.2,16.0,17.0,16.7,16.2,16.0
20260417,フミサウンド,63.5,47.4,31.2,15.1,16.1,16.2,16.1,15.1
20260417,レイベリング,63.2,47.2,30.7,14.8,16.0,16.5,15.9,14.8
20260417,マイネルアズーロ,62.9,46.7,30.8,15.2,16.2,15.9,15.6,15.2
20260417,シュヴァルノワール,64.2,48.6,31.9,15.4,15.6,16.7,16.5,15.4
20260417,ピラニアキッス,64.1,48.0,31.8,15.6,16.1,16.2,16.2,15.6
20260417,カフェロワドール,63.3,47.7,30.8,15.5,15.6,16.9,15.3,15.5
20260417,エリーナストーム,62.0,45.7,30.2,15.1,16.3,15.5,15.1,15.1
20260417,ウェイクフィールド,62.8,47.0,31.0,15.3,15.8,16.0,15.7,15.3
20260417,アナザーフェイス,63.7,47.2,31.4,15.6,16.5,15.8,15.8,15.6
20260417,イントゥゴールデン,69.5,51.3,33.7,17.0,18.2,17.6,16.7,17.0
20260417,アンチェーン,63.5,47.6,31.7,15.4,15.9,15.9,16.3,15.4
20260417,ルージュラベル,63.5,46.5,30.3,14.8,17.0,16.2,15.5,14.8
20260417,ギルドホール,64.3,48.2,31.9,15.7,16.1,16.3,16.2,15.7
20260417,ペリエール,63.7,46.3,30.0,14.9,17.4,16.3,15.1,14.9
20260417,ビターグラッセ,70.2,51.8,34.3,17.0,18.4,17.5,17.3,17.0
20260417,ノーブルアクト,66.0,48.1,31.7,15.8,17.9,16.4,15.9,15.8
20260417,イモータルバード,71.2,52.6,35.1,17.7,18.6,17.5,17.4,17.7
20260417,ワンダラー,67.6,50.9,34.0,17.2,16.7,16.9,16.8,17.2
20260417,サノノワンダー,71.6,53.0,35.3,17.9,18.6,17.7,17.4,17.9
20260417,ブルージュ,71.5,52.7,34.7,17.1,18.8,18.0,17.6,17.1
20260417,グレイスザクラウン,68.8,51.0,32.8,15.9,17.8,18.2,16.9,15.9
20260417,フッカツノジャンボ,69.7,52.4,35.1,17.7,17.3,17.3,17.4,17.7
20260417,ケイアイアギト,72.1,53.6,35.6,17.6,18.5,18.0,18.0,17.6
20260417,ルージュアストレア,71.0,52.4,34.5,16.9,18.6,17.9,17.6,16.9
20260417,ヘクトルテソーロ,69.1,51.9,33.8,16.6,17.2,18.1,17.2,16.6
20260417,トロフィーポーズ,63.7,46.3,29.9,14.7,17.4,16.4,15.2,14.7
20260417,デイトナチャンプ,70.2,52.0,34.1,17.0,18.2,17.9,17.1,17.0
20260417,セントゴーデンス,64.1,46.6,30.2,15.0,17.5,16.4,15.2,15.0
20260417,ルクリーシア,63.4,46.1,29.8,14.3,17.3,16.3,15.5,14.3
20260417,リボルトバレット,71.2,53.0,34.8,17.1,18.2,18.2,17.7,17.1
20260417,コスモジンバック,67.2,50.5,33.5,16.9,16.7,17.0,16.6,16.9
20260417,セイウンビッグバン,70.9,51.8,33.3,16.6,19.1,18.5,16.7,16.6
20260417,ピティロディア,65.6,48.3,31.5,15.4,17.3,16.8,16.1,15.4
20260417,ハルノアラシ,71.9,54.2,35.9,18.1,17.7,18.3,17.8,18.1
20260417,ウィアステーラ,69.5,51.3,34.0,17.1,18.2,17.3,16.9,17.1
20260417,マイネルアレス,70.0,51.7,34.0,17.1,18.3,17.7,16.9,17.1
20260417,ハピナスター,69.5,51.7,34.1,17.0,17.8,17.6,17.1,17.0
20260417,タフバディ,65.9,49.3,32.6,16.1,16.6,16.7,16.5,16.1
20260417,ヨドノティアラ,75.7,55.9,36.5,17.4,19.8,19.4,19.1,17.4
20260417,スチールナイト,67.6,49.9,32.6,16.0,17.7,17.3,16.6,16.0
20260417,リオダプラタ,64.0,48.0,31.7,15.5,16.0,16.3,16.2,15.5
20260417,トップオブザキング,70.5,52.8,35.7,18.3,17.7,17.1,17.4,18.3
20260417,ミクニフラッシュ,69.7,51.7,34.0,16.6,18.0,17.7,17.4,16.6
20260417,グランドタルマエ,68.2,51.0,34.1,17.4,17.2,16.9,16.7,17.4
20260417,リアルパラダイス,64.8,47.9,31.5,15.5,16.9,16.4,16.0,15.5
20260417,カシマライフウ,69.4,51.4,33.9,17.2,18.0,17.5,16.7,17.2
20260417,フレンドモナコ,63.9,47.2,31.2,15.5,16.7,16.0,15.7,15.5
20260417,ニシノカーロ,79.9,59.2,39.3,19.6,20.7,19.9,19.7,19.6
20260417,エクラドット,66.0,48.8,31.9,15.4,17.2,16.9,16.5,15.4
20260417,レジェンドヴァーサ,68.4,51.1,34.3,17.6,17.3,16.8,16.7,17.6
20260417,グルドロッティン,69.8,52.1,33.9,16.6,17.7,18.2,17.3,16.6
20260417,ナムアミダブツ,72.2,53.0,34.6,17.3,19.2,18.4,17.3,17.3
20260417,サザンエルフ,69.7,51.4,33.6,17.3,18.3,17.8,16.3,17.3
20260417,オクタヴィアヌス,72.7,53.6,35.2,17.6,19.1,18.4,17.6,17.6
20260417,キョウエイフロイデ,62.4,45.6,30.2,14.6,16.8,15.4,15.6,14.6
20260417,ヘデントール,73.2,53.5,35.3,17.6,19.7,18.2,17.7,17.6
20260417,アンパドゥ,72.8,54.1,35.7,17.8,18.7,18.4,17.9,17.8
20260417,ウィンターベル,72.3,52.9,34.6,17.0,19.4,18.3,17.6,17.0
20260417,ロッシニアーナ,72.0,52.9,34.6,17.0,19.1,18.3,17.6,17.0
20260417,アンシュウマト,63.4,46.5,30.5,14.8,16.9,16.0,15.7,14.8
20260417,ルージュボヤージュ,67.2,49.8,32.8,15.9,17.4,17.0,16.9,15.9
20260417,アシタバスピリッツ,72.7,53.3,34.9,17.5,19.4,18.4,17.4,17.5
20260417,シャトーベスト,65.3,48.8,32.2,16.2,16.5,16.6,16.0,16.2
20260417,コスモラムバック,70.4,52.4,34.5,17.1,18.0,17.9,17.4,17.1
20260417,ユーゲットミー,72.2,53.6,35.0,17.5,18.6,18.6,17.5,17.5
20260417,サンダーストラック,71.5,52.7,34.7,17.1,18.8,18.0,17.6,17.1
20260417,シュタットパーク,73.6,53.7,35.0,17.6,19.9,18.7,17.4,17.6
20260417,アローメタル,71.9,52.7,34.3,16.6,19.2,18.4,17.7,16.6
