年月日,馬名,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1
20260529,ソラティオ,69.4,51.6,34.4,17.7,17.8,17.2,16.7,17.7
20260529,キタノエフロレス,68.7,51.1,33.6,17.0,17.6,17.5,16.6,17.0
20260529,デルマタモン,67.2,49.7,32.7,16.3,17.5,17.0,16.4,16.3
20260529,タシット,72.8,53.3,34.8,17.4,19.5,18.5,17.4,17.4
20260529,オリオアルセーリオ,70.9,51.4,33.9,17.5,19.5,17.5,16.4,17.5
20260529,ライネリーベ,69.1,50.6,33.0,15.9,18.5,17.6,17.1,15.9
20260529,コスモグラニット,73.0,53.7,35.7,17.9,19.3,18.0,17.8,17.9
20260529,ロッシニアーナ,70.2,51.7,33.9,16.8,18.5,17.8,17.1,16.8
20260529,ニシノギャルズ,68.9,51.0,33.5,16.8,17.9,17.5,16.7,16.8
20260529,ウインルナロッサ,73.3,53.5,35.4,17.4,19.8,18.1,18.0,17.4
20260529,カーニバルウェイ,73.8,54.2,35.8,18.1,19.6,18.4,17.7,18.1
20260529,エルファリス,67.2,49.0,32.0,16.0,18.2,17.0,16.0,16.0
20260529,ポッドデスペア,70.7,50.7,33.1,16.3,20.0,17.6,16.8,16.3
20260529,ハルノアメ,69.2,50.1,32.7,16.0,19.1,17.4,16.7,16.0
20260529,スカイドリーマー,71.2,51.7,33.5,16.7,19.5,18.2,16.8,16.7
20260529,カリヨンアヴォン,69.0,51.0,33.7,16.9,18.0,17.3,16.8,16.9
20260529,エコロガレル,65.2,47.5,30.9,15.3,17.7,16.6,15.6,15.3
20260529,サクラトップラック,65.0,47.4,30.9,15.1,17.6,16.5,15.8,15.1
20260529,スカイズザリミット,71.2,52.1,34.8,17.3,19.1,17.3,17.5,17.3
20260529,フィリオソラーレ,71.8,53.4,35.4,17.0,18.4,18.0,18.4,17.0
20260529,アドミ,68.9,50.5,33.5,17.3,18.4,17.0,16.2,17.3
20260529,ゴットタレント,69.3,50.9,33.3,16.2,18.4,17.6,17.1,16.2
20260529,アイファーアイドル,70.6,51.9,33.7,17.0,18.7,18.2,16.7,17.0
20260529,スミレノハナ,71.4,53.3,35.5,17.5,18.1,17.8,18.0,17.5
20260529,ヒコボシ,70.6,51.6,34.0,16.7,19.0,17.6,17.3,16.7
20260529,ゴールドドレッサ,69.1,50.8,33.7,17.1,18.3,17.1,16.6,17.1
20260529,メテオレムナント,69.3,51.7,33.9,16.9,17.6,17.8,17.0,16.9
20260529,レイズテンペスト,69.5,51.9,34.3,17.1,17.6,17.6,17.2,17.1
20260529,ジーティージェミル,71.7,52.7,34.3,17.3,19.0,18.4,17.0,17.3
20260529,ガミーヌ,69.8,50.9,33.6,16.8,18.9,17.3,16.8,16.8
20260529,ヴァルボナ,70.9,52.6,34.5,17.1,18.3,18.1,17.4,17.1
20260529,ファナティカル,69.3,51.2,33.5,16.8,18.1,17.7,16.7,16.8
20260529,モウレツ,67.9,49.9,32.3,16.1,18.0,17.6,16.2,16.1
20260529,ダイチマイスター,69.5,51.8,34.4,17.3,17.7,17.4,17.1,17.3
20260529,アゴルディーノ,70.6,51.5,33.6,16.6,19.1,17.9,17.0,16.6
20260529,モミスケ,65.5,48.5,31.7,15.3,17.0,16.8,16.4,15.3
20260529,ライーリーアース,68.3,49.8,31.9,16.0,18.5,17.9,15.9,16.0
20260529,レガメデルヴェント,65.5,48.2,31.2,15.2,17.3,17.0,16.0,15.2
20260529,サイモンルモンド,70.8,52.1,34.2,17.1,18.7,17.9,17.1,17.1
20260529,サイモンカーチス,72.1,51.6,33.4,16.2,20.5,18.2,17.2,16.2
20260529,イージーブリージー,64.7,47.7,30.9,15.0,17.0,16.8,15.9,15.0
20260529,カリーシ,64.9,47.8,31.4,15.5,17.1,16.4,15.9,15.5
20260529,クリアクォーツ,71.0,52.1,34.0,17.0,18.9,18.1,17.0,17.0
