場所,クラス,馬券種,回収率,ウェイト,配分額,レース数/年,年間投資,年間払戻
小倉,ｵｰﾌﾟﾝ,三連複,148.7,0.3992,3900,7.8,30420.0,45234.54
小倉,ｵｰﾌﾟﾝ,馬連,120.1,0.3224,3200,7.8,24960.0,29976.96
小倉,ｵｰﾌﾟﾝ,複勝,103.7,0.2784,2700,7.8,21060.0,21839.22
新潟,1000万,三連複,261.4,0.3369,3300,14.4,47520.0,124217.27999999998
新潟,1000万,三連単,236.3,0.3045,3000,14.4,43200.0,102081.6
新潟,1000万,馬連,159.0,0.2049,2000,14.4,28800.0,45792.0
新潟,1000万,複勝,119.3,0.1537,1500,14.4,21600.0,25768.8
新潟,1600万,三連単,225.4,0.3567,3500,5.3,18550.0,41811.7
新潟,1600万,三連複,147.5,0.2334,2300,5.3,12190.0,17980.25
新潟,1600万,馬連,143.6,0.2273,2200,5.3,11660.0,16743.76
新潟,1600万,複勝,115.4,0.1826,1800,5.3,9540.0,11009.16
新潟,1勝,三連単,301.2,0.3785,3700,39.8,147260.0,443547.12
新潟,1勝,三連複,248.8,0.3126,3100,39.8,123379.99999999999,306969.43999999994
新潟,1勝,馬連,138.1,0.1735,1700,39.8,67660.0,93438.46
新潟,1勝,複勝,107.7,0.1353,1300,39.8,51739.99999999999,55723.97999999999
新潟,2勝,三連複,134.6,0.3861,3800,12.3,46740.0,62912.04
新潟,2勝,馬連,108.8,0.3121,3100,12.3,38130.0,41485.44
新潟,2勝,複勝,105.2,0.3018,3000,12.3,36900.0,38818.8
新潟,3勝,三連単,389.0,0.4081,4000,5.2,20800.0,80912.0
新潟,3勝,馬連,257.2,0.2698,2600,5.2,13520.0,34773.44
新潟,3勝,三連複,198.1,0.2078,2000,5.2,10400.0,20602.4
新潟,3勝,複勝,108.9,0.1142,1100,5.2,5720.0,6229.08
新潟,500万,馬連,164.7,0.2843,2800,71.2,199360.0,328345.92
新潟,500万,三連複,157.9,0.2726,2700,71.2,192240.0,303546.96
新潟,500万,三連単,145.9,0.2519,2500,71.2,178000.0,259702.0
新潟,500万,複勝,110.8,0.1913,1900,71.2,135280.0,149890.24
新潟,OP(L),馬連,188.3,0.5765,5700,2.1,11970.0,22539.51
新潟,OP(L),複勝,138.3,0.4235,4200,2.1,8820.0,12198.06
新潟,新馬,三連複,629.9,0.3741,3700,23.2,85840.0,540706.16
新潟,新馬,三連単,612.5,0.3638,3600,23.2,83520.0,511560.0
