場所,クラス,馬券種,レース数,回収率,的中率,平均配当,Quarter-Kelly(%),推奨賭け金(200万)
京都,2勝,馬連,101,119.8,14.4,8.3,0.7,13400
京都,1600万,馬連,249,119.7,13.7,8.8,0.6,12600
福島,3勝,三連複,33,119.7,6.1,19.8,0.3,5200
阪神,500万,馬連,791,119.6,12.6,9.5,0.6,11500
函館,Ｇ３,馬連,35,119.4,4.3,27.9,0.2,3600
阪神,Ｇ１,複勝,58,119.3,58.6,2.0,4.7,93200
新潟,1000万,複勝,144,119.3,60.8,2.0,5.0,100000
福島,2勝,馬連,77,118.5,11.0,10.7,0.5,9500
福島,1600万,馬連,25,118.2,8.0,14.8,0.3,6600
福島,1勝,馬連,271,118.0,9.8,12.1,0.4,8100
阪神,Ｇ２,馬連,79,117.9,13.9,8.5,0.6,11900
福島,Ｇ３,複勝,39,117.3,55.1,2.1,3.8,76700
中京,500万,三連単,790,117.0,1.5,77.0,0.1,1100
札幌,2勝,複勝,83,116.9,58.4,2.0,4.2,84300
阪神,Ｇ３,複勝,98,116.6,54.1,2.2,3.6,71900
東京,未勝利,馬連,1714,116.2,14.8,7.9,0.6,11700
東京,Ｇ３,複勝,103,116.0,59.2,2.0,4.2,83500
中山,1600万,複勝,191,116.0,59.4,2.0,4.2,83900
京都,500万,三連複,837,115.9,9.0,12.9,0.3,6600
中京,1600万,馬連,58,115.7,8.6,13.4,0.3,6300
新潟,1600万,複勝,53,115.4,62.3,1.9,4.5,90100
函館,500万,三連単,344,114.9,1.8,62.4,0.1,1200
札幌,ｵｰﾌﾟﾝ,馬連,51,114.7,12.7,9.0,0.5,9100
阪神,1000万,馬連,419,114.6,10.7,10.7,0.4,7500
京都,Ｇ３,複勝,70,113.9,55.7,2.0,3.3,66300
京都,ｵｰﾌﾟﾝ,複勝,197,113.8,58.6,1.9,3.7,73100
中山,未勝利,馬連,1539,113.6,15.5,7.3,0.5,10700
中山,3勝,複勝,105,113.5,56.7,2.0,3.4,67200
札幌,ｵｰﾌﾟﾝ,複勝,51,113.3,64.7,1.8,4.4,88700
阪神,2勝,馬連,330,113.0,13.5,8.4,0.4,8700
中京,500万,馬連,790,113.0,9.8,11.5,0.3,6100
小倉,1600万,馬連,43,112.7,10.5,10.8,0.3,6400
京都,1勝,三連複,141,112.6,10.6,10.6,0.3,6500
小倉,1勝,三連単,342,112.6,1.3,88.9,0.0,700
新潟,ｵｰﾌﾟﾝ,複勝,122,112.5,59.0,1.9,3.4,68700
中山,2勝,複勝,230,112.4,59.3,1.9,3.5,69300
阪神,ｵｰﾌﾟﾝ,複勝,191,112.1,59.9,1.9,3.5,69500
中京,未勝利,馬連,1136,112.0,13.6,8.2,0.4,8200
函館,未勝利,馬連,642,112.0,13.2,8.5,0.4,7900
東京,OP(L),複勝,57,111.8,55.3,2.0,2.9,57400
中山,1勝,三連複,383,111.6,7.3,15.3,0.2,4000
札幌,1勝,複勝,192,111.5,64.1,1.7,3.9,77400
函館,未勝利,三連複,642,110.9,10.1,11.0,0.3,5400
東京,1勝,三連単,415,110.9,2.2,51.1,0.1,1000
新潟,500万,複勝,712,110.8,60.0,1.8,3.2,63700
札幌,500万,三連複,236,110.5,9.7,11.3,0.3,5000
中山,1000万,三連単,411,110.5,1.1,104.8,0.0,500
阪神,未勝利,馬連,1822,110.1,14.9,7.4,0.4,7900
中京,ｵｰﾌﾟﾝ,複勝,90,110.0,55.0,2.0,2.5,50000
中京,1勝,馬連,467,109.9,11.5,9.6,0.3,5700
福島,1勝,三連複,271,109.3,5.2,21.2,0.1,2200
阪神,3勝,馬連,163,109.2,10.1,10.8,0.2,4700
函館,2勝,複勝,69,109.2,64.5,1.7,3.3,66300
新潟,3勝,複勝,52,108.9,58.7,1.9,2.6,52100
中京,Ｇ３,複勝,63,108.9,50.0,2.2,1.9,37700
新潟,2勝,馬連,123,108.8,11.8,9.2,0.3,5300
東京,3勝,三連単,141,108.3,2.1,50.9,0.0,800
東京,1600万,複勝,236,107.7,56.6,1.9,2.1,42400
阪神,1勝,馬連,467,107.7,13.2,8.2,0.3,5300
新潟,1勝,複勝,398,107.7,60.6,1.8,2.5,49600
中山,OP(L),複勝,33,107.6,54.5,2.0,1.9,38900
中山,Ｇ１,複勝,32,107.5,62.5,1.7,2.6,52000
