ラベル,レース数,点数,投資,払戻,収支,回収率,的中率,的中数
三連単×ダ,3286,9858,7886400,7988640,102240,101.3,1.1,109
三連複×芝,3419,3419,10940800,9966080,-974720,91.1,6.9,235
三連複×ダ,3286,3286,10515200,8864000,-1651200,84.3,5.6,183
馬連×ダ,3286,6572,7886400,6640920,-1245480,84.2,9.4,616
複勝×芝,3419,6838,6838000,5694100,-1143900,83.3,51.4,3518
複勝×ダ,3286,6572,6572000,5462600,-1109400,83.1,51.6,3388
三連単×芝,3419,10257,8205600,6708000,-1497600,81.7,1.3,132
馬連×芝,3419,6838,8205600,6583080,-1622520,80.2,10.0,684
