ラベル,レース数,点数,投資,払戻,収支,回収率,的中率,的中数
三連単,6705,20115,16092000,14696640,-1395360,91.3,1.2,241
三連複,6705,6705,21456000,18830080,-2625920,87.8,6.2,418
複勝,6705,13410,13410000,11156700,-2253300,83.2,51.5,6906
馬連,6705,13410,16092000,13224000,-2868000,82.2,9.7,1300
